State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,CinepolisSjrSpectrum,Tamil,15:45,Vip,250₹,12,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Tamil,15:45,Normal,150₹,30,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Tamil,15:45,Premium,150₹,44,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Tamil,15:45,Executive,150₹,62,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Tamil,15:50,Premium,170₹,17,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Tamil,15:50,Executive,150₹,70,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Tamil,15:50,Normal,111₹,26,0
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,16:30,Premium,180₹,58,20
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,16:30,Executive,160₹,114,0
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,16:30,Normal,140₹,34,0
