State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Nepali,09:45,Royal,280₹,148,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Nepali,09:45,Club,250₹,68,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Nepali,09:45,Executive,250₹,34,0
WestBengal,Darjeeling,InoxRinkMallLadenLaRoad,Nepali,10:00,Royal,112₹,91,6
WestBengal,Darjeeling,InoxRinkMallLadenLaRoad,Nepali,10:00,Executive,100₹,235,0
WestBengal,Darjeeling,InoxRinkMallLadenLaRoad,Nepali,10:00,Economy,90₹,78,0
WestBengal,Siliguri,InoxCityCentreMatigara,Nepali,10:00,Royale,350₹,10,0
WestBengal,Siliguri,InoxCityCentreMatigara,Nepali,10:00,Club,280₹,176,8
WestBengal,Siliguri,InoxCityCentreMatigara,Nepali,10:00,Executive,250₹,32,0
WestBengal,Darjeeling,InoxRinkMallLadenLaRoad,Nepali,12:00,Box,190₹,4,0
WestBengal,Darjeeling,InoxRinkMallLadenLaRoad,Nepali,12:00,Royal,150₹,53,33
WestBengal,Darjeeling,InoxRinkMallLadenLaRoad,Nepali,12:00,Economy,112₹,53,0
WestBengal,Darjeeling,InoxRinkMallLadenLaRoad,Nepali,12:00,Executive,112₹,160,19
WestBengal,Kolkata,InoxSouthCityMall,Nepali,12:25,Premier,160₹,34,0
WestBengal,Kolkata,InoxSouthCityMall,Nepali,12:25,Silver,160₹,157,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Nepali,12:45,Recliner,470₹,8,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Nepali,12:45,Prime,190₹,110,1
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Nepali,12:45,Classic,150₹,48,0
WestBengal,Darjeeling,InoxRinkMallLadenLaRoad,Nepali,12:50,Royal,140₹,91,11
WestBengal,Darjeeling,InoxRinkMallLadenLaRoad,Nepali,12:50,Economy,112₹,78,0
WestBengal,Darjeeling,InoxRinkMallLadenLaRoad,Nepali,12:50,Executive,112₹,235,3
WestBengal,Siliguri,InoxCityCentreMatigara,Nepali,12:50,Royale,350₹,10,0
WestBengal,Siliguri,InoxCityCentreMatigara,Nepali,12:50,Club,280₹,176,16
WestBengal,Siliguri,InoxCityCentreMatigara,Nepali,12:50,Executive,250₹,32,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Nepali,13:45,Classic,215₹,119,6
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Nepali,14:00,Recliner,400₹,11,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Nepali,14:00,Prime,160₹,126,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Nepali,14:00,PrimeSuperior,160₹,32,2
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Nepali,14:00,Classic,120₹,42,0
