State,City,Name,Language,Time,Type,Price,Capacity,Booked
AndhraPradesh,Vijayawada,PvrRipplesVijayawada,Telugu,10:40,Recliner,295₹,13,0
AndhraPradesh,Vijayawada,PvrRipplesVijayawada,Telugu,10:40,Classic,177₹,182,20
AndhraPradesh,Visakhapatnam,InoxVarunBeachBeachRoad,Telugu,11:20,Excutive,177₹,130,0
Telangana,Hyderabad,PvrPanjaguttaHyderabad,Telugu,11:25,Classic,200₹,141,14
AndhraPradesh,Vijayawada,InoxLeplIconPatamata,Telugu,11:30,Royal,295₹,7,0
AndhraPradesh,Vijayawada,InoxLeplIconPatamata,Telugu,11:30,Club,177₹,200,2
Odisha,Berhampur,ShaktiCinemasBerhampur,Telugu,12:00,Balcony,100₹,247,222
Odisha,Berhampur,ShaktiCinemasBerhampur,Telugu,12:00,RearStall,70₹,301,277
Telangana,Hyderabad,PvrKukatpallyHyderabad,Telugu,12:05,Recliner,350₹,13,0
Telangana,Hyderabad,PvrKukatpallyHyderabad,Telugu,12:05,Classic,200₹,244,2
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Telugu,13:30,Premium,200₹,89,12
AndhraPradesh,Visakhapatnam,InoxVizagChitralayaaMall,Telugu,13:35,Executive,177₹,149,6
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,14:55,Royal,350₹,8,2
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,14:55,Executive,200₹,100,2
Odisha,Berhampur,ShaktiCinemasBerhampur,Telugu,15:00,Balcony,100₹,247,222
Odisha,Berhampur,ShaktiCinemasBerhampur,Telugu,15:00,RearStall,70₹,301,277
Odisha,Berhampur,ShaktiCinemasBerhampur,Telugu,18:00,Balcony,100₹,247,222
Odisha,Berhampur,ShaktiCinemasBerhampur,Telugu,18:00,RearStall,70₹,301,277
Odisha,Berhampur,ShaktiCinemasBerhampur,Telugu,21:00,Balcony,100₹,247,222
Odisha,Berhampur,ShaktiCinemasBerhampur,Telugu,21:00,RearStall,70₹,301,277
