City,Name,Language,Time,Type,Price,Capacity,Booked
Hyderabad,CinepolisDslVirtueMall,Telugu,08:00,Vip,413₹,10,10
Hyderabad,CinepolisDslVirtueMall,Telugu,08:00,Normal,354₹,25,0
Hyderabad,CinepolisDslVirtueMall,Telugu,08:00,Executive,354₹,133,52
Hyderabad,CinepolisDslVirtueMall,Telugu,08:15,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,08:15,Normal,354₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,08:15,Executive,354₹,196,19
Hyderabad,CinepolisDslVirtueMall,Telugu,08:35,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,08:35,Normal,354₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,08:35,Executive,354₹,178,28
Hyderabad,CinepolisDslVirtueMall,Telugu,09:00,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,09:00,Normal,354₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,09:00,Executive,354₹,142,66
Hyderabad,CinepolisDslVirtueMall,Telugu,11:45,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,11:45,Normal,354₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,11:45,Executive,354₹,178,144
Hyderabad,CinepolisDslVirtueMall,Telugu,12:05,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,12:05,Normal,354₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,12:05,Executive,354₹,196,165
Hyderabad,CinepolisDslVirtueMall,Telugu,12:25,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,12:25,Normal,354₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,12:25,Executive,354₹,142,136
Hyderabad,CinepolisDslVirtueMall,Telugu,15:20,Vip,413₹,14,13
Hyderabad,CinepolisDslVirtueMall,Telugu,15:20,Normal,354₹,35,3
Hyderabad,CinepolisDslVirtueMall,Telugu,15:20,Executive,354₹,178,174
Hyderabad,CinepolisDslVirtueMall,Telugu,15:40,Vip,413₹,14,13
Hyderabad,CinepolisDslVirtueMall,Telugu,15:40,Normal,354₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,15:40,Executive,354₹,178,172
Hyderabad,CinepolisDslVirtueMall,Telugu,16:00,Vip,413₹,14,11
Hyderabad,CinepolisDslVirtueMall,Telugu,16:00,Normal,354₹,35,4
Hyderabad,CinepolisDslVirtueMall,Telugu,16:00,Executive,354₹,160,128
Hyderabad,CinepolisDslVirtueMall,Telugu,18:45,Vip,413₹,10,9
Hyderabad,CinepolisDslVirtueMall,Telugu,18:45,Normal,354₹,25,11
Hyderabad,CinepolisDslVirtueMall,Telugu,18:45,Executive,354₹,133,131
Hyderabad,CinepolisDslVirtueMall,Telugu,18:55,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,18:55,Normal,354₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,18:55,Executive,354₹,178,169
Hyderabad,CinepolisDslVirtueMall,Telugu,19:10,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,19:10,Normal,354₹,35,2
Hyderabad,CinepolisDslVirtueMall,Telugu,19:10,Executive,354₹,178,176
Hyderabad,CinepolisDslVirtueMall,Telugu,19:30,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,19:30,Normal,354₹,35,16
Hyderabad,CinepolisDslVirtueMall,Telugu,19:30,Executive,354₹,160,156
Hyderabad,CinepolisDslVirtueMall,Telugu,22:10,Vip,413₹,10,10
Hyderabad,CinepolisDslVirtueMall,Telugu,22:10,Normal,354₹,25,25
Hyderabad,CinepolisDslVirtueMall,Telugu,22:10,Executive,354₹,133,129
Hyderabad,CinepolisDslVirtueMall,Telugu,22:20,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,22:20,Normal,354₹,35,34
Hyderabad,CinepolisDslVirtueMall,Telugu,22:20,Executive,354₹,196,195
Hyderabad,CinepolisDslVirtueMall,Telugu,22:40,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,22:40,Normal,354₹,35,31
Hyderabad,CinepolisDslVirtueMall,Telugu,22:40,Executive,354₹,178,178
