City,Name,Language,Time,Type,Price,Capacity,Booked
Hyderabad,CinepolisDslVirtueMall,Telugu,08:00,Vip,413₹,10,9
Hyderabad,CinepolisDslVirtueMall,Telugu,08:00,Normal,354₹,25,12
Hyderabad,CinepolisDslVirtueMall,Telugu,08:00,Executive,354₹,133,126
Hyderabad,CinepolisDslVirtueMall,Telugu,08:20,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,08:20,Normal,354₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,08:20,Executive,354₹,196,176
Hyderabad,CinepolisDslVirtueMall,Telugu,08:40,Vip,413₹,14,12
Hyderabad,CinepolisDslVirtueMall,Telugu,08:40,Normal,354₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,08:40,Executive,354₹,196,161
Hyderabad,CinepolisDslVirtueMall,Telugu,09:00,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,09:00,Normal,354₹,35,2
Hyderabad,CinepolisDslVirtueMall,Telugu,09:00,Executive,354₹,144,121
Hyderabad,CinepolisDslVirtueMall,Telugu,11:45,Vip,413₹,14,13
Hyderabad,CinepolisDslVirtueMall,Telugu,11:45,Normal,354₹,35,22
Hyderabad,CinepolisDslVirtueMall,Telugu,11:45,Executive,354₹,196,195
Hyderabad,CinepolisDslVirtueMall,Telugu,12:05,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,12:05,Normal,354₹,35,3
Hyderabad,CinepolisDslVirtueMall,Telugu,12:05,Executive,354₹,178,168
Hyderabad,CinepolisDslVirtueMall,Telugu,12:25,Vip,413₹,14,13
Hyderabad,CinepolisDslVirtueMall,Telugu,12:25,Normal,354₹,35,18
Hyderabad,CinepolisDslVirtueMall,Telugu,12:25,Executive,354₹,160,159
Hyderabad,CinepolisDslVirtueMall,Telugu,15:20,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,15:20,Normal,354₹,35,2
Hyderabad,CinepolisDslVirtueMall,Telugu,15:20,Executive,354₹,178,177
Hyderabad,CinepolisDslVirtueMall,Telugu,15:40,Vip,413₹,14,13
Hyderabad,CinepolisDslVirtueMall,Telugu,15:40,Normal,354₹,35,34
Hyderabad,CinepolisDslVirtueMall,Telugu,15:40,Executive,354₹,196,193
Hyderabad,CinepolisDslVirtueMall,Telugu,16:00,Vip,413₹,14,13
Hyderabad,CinepolisDslVirtueMall,Telugu,16:00,Normal,354₹,35,34
Hyderabad,CinepolisDslVirtueMall,Telugu,16:00,Executive,354₹,160,158
Hyderabad,CinepolisDslVirtueMall,Telugu,18:45,Vip,413₹,10,9
Hyderabad,CinepolisDslVirtueMall,Telugu,18:45,Normal,354₹,25,24
Hyderabad,CinepolisDslVirtueMall,Telugu,18:45,Executive,354₹,133,132
Hyderabad,CinepolisDslVirtueMall,Telugu,18:55,Vip,413₹,14,13
Hyderabad,CinepolisDslVirtueMall,Telugu,18:55,Normal,354₹,35,34
Hyderabad,CinepolisDslVirtueMall,Telugu,18:55,Executive,354₹,196,195
Hyderabad,CinepolisDslVirtueMall,Telugu,19:10,Vip,413₹,14,13
Hyderabad,CinepolisDslVirtueMall,Telugu,19:10,Normal,354₹,35,34
Hyderabad,CinepolisDslVirtueMall,Telugu,19:10,Executive,354₹,196,195
Hyderabad,CinepolisDslVirtueMall,Telugu,19:30,Vip,413₹,14,13
Hyderabad,CinepolisDslVirtueMall,Telugu,19:30,Normal,354₹,35,34
Hyderabad,CinepolisDslVirtueMall,Telugu,19:30,Executive,354₹,160,158
Hyderabad,CinepolisDslVirtueMall,Telugu,22:10,Vip,413₹,10,9
Hyderabad,CinepolisDslVirtueMall,Telugu,22:10,Normal,354₹,25,24
Hyderabad,CinepolisDslVirtueMall,Telugu,22:10,Executive,354₹,133,126
Hyderabad,CinepolisDslVirtueMall,Telugu,22:20,Vip,413₹,14,13
Hyderabad,CinepolisDslVirtueMall,Telugu,22:20,Normal,354₹,35,34
Hyderabad,CinepolisDslVirtueMall,Telugu,22:20,Executive,354₹,196,195
Hyderabad,CinepolisDslVirtueMall,Telugu,22:40,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,22:40,Normal,354₹,35,35
Hyderabad,CinepolisDslVirtueMall,Telugu,22:40,Executive,354₹,178,178
Hyderabad,CinepolisDslVirtueMall,Telugu,23:00,Vip,413₹,14,14
Hyderabad,CinepolisDslVirtueMall,Telugu,23:00,Normal,354₹,35,35
Hyderabad,CinepolisDslVirtueMall,Telugu,23:00,Executive,354₹,142,142
