City,Name,Language,Time,Type,Price,Capacity,Booked
Bangalore,PvrForumImaxKoramangala,Kannada,08:00,Prime,500₹,120,11
Bangalore,PvrForumImaxKoramangala,Kannada,08:00,Classic,450₹,227,5
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:00,Recliner,350₹,27,7
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:00,Prime,180₹,96,33
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:00,Classic,180₹,180,0
Goa,InoxOsiaGWingMargao,Kannada,09:00,Club,140₹,131,0
Goa,InoxOsiaGWingMargao,Kannada,09:00,Executive,140₹,28,0
Goa,InoxOsiaGWingMargao,Kannada,09:00,Royale,140₹,57,1
Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,09:00,Gold,400₹,20,0
Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,09:00,Executive,300₹,236,0
Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,09:00,Special,300₹,60,0
Bangalore,InoxCentralMantriJunctionJpNagar,Kannada,09:25,Royal,400₹,4,1
Bangalore,InoxCentralMantriJunctionJpNagar,Kannada,09:25,Club,236₹,234,14
Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,09:30,Royale,600₹,12,0
Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,09:30,Club,236₹,84,13
Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,09:30,Executive,236₹,160,0
Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,09:30,Recliner,250₹,14,13
Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,09:30,Classic,160₹,122,3
Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,09:30,Prime,160₹,40,40
Hubli,PvrLaxmiMallCoenRoad,Kannada,09:30,Prime,270₹,10,2
Hubli,PvrLaxmiMallCoenRoad,Kannada,09:30,ClassicPlus,170₹,138,6
Hubli,PvrLaxmiMallCoenRoad,Kannada,09:30,Classic,150₹,68,0
Mangalore,PvrForumFizaMallPandeshwar,Kannada,09:30,Recliner,300₹,13,2
Mangalore,PvrForumFizaMallPandeshwar,Kannada,09:30,Classic,150₹,133,0
Mangalore,PvrForumFizaMallPandeshwar,Kannada,09:30,Prime,150₹,69,18
Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,09:30,Prime,200₹,23,4
Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,09:30,Classic,150₹,240,15
Mysore,InoxMallOfMysoreMgRoad,Kannada,09:40,Club,236₹,223,2
Bangalore,LakshmiTheatreAC4KDolbyAtmosTavareke,Kannada,09:45,Diamond,200₹,142,71
Bangalore,LakshmiTheatreAC4KDolbyAtmosTavareke,Kannada,09:45,Gold,150₹,695,456
Bangalore,LakshmiTheatreAC4KDolbyAtmosTavareke,Kannada,09:45,Silver,150₹,216,216
Bangalore,InoxMantriSquareMalleshwaram,Kannada,09:45,Royal,400₹,8,5
Bangalore,InoxMantriSquareMalleshwaram,Kannada,09:45,Club,236₹,268,6
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:45,Recliner,350₹,28,8
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:45,Prime,180₹,130,53
Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,09:45,Classic,180₹,198,3
