State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,10:00,Recliner,220₹,7,2
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Kannada,10:00,Classic,112₹,72,0
Karnataka,Shivamogga,MallikarjunaTheatreDtsShivamogga,Kannada,10:45,Balcony,150₹,208,170
Karnataka,Shivamogga,MallikarjunaTheatreDtsShivamogga,Kannada,10:45,First,100₹,312,208
Karnataka,Gadag,SriVenkateshCinema,Kannada,11:40,Gold,150₹,244,2
Karnataka,Gadag,SriVenkateshCinema,Kannada,11:40,Platinum,150₹,46,4
Karnataka,Gadag,SriVenkateshCinema,Kannada,11:40,Silver,100₹,305,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Kannada,12:10,Recliner,300₹,11,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Kannada,12:10,Classic,150₹,96,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Kannada,12:10,Prime,150₹,49,4
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,12:25,Prime,140₹,24,2
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,12:25,Classic,110₹,220,4
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:25,Recliner,250₹,24,9
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:25,Prime,170₹,96,10
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,12:25,Classic,150₹,140,5
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,12:40,Prime,140₹,30,0
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,12:40,Classic,112₹,90,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:50,Premium,170₹,28,1
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:50,Executive,150₹,52,7
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,12:50,Normal,130₹,24,3
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,12:55,Royal,220₹,9,8
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,12:55,Club,140₹,295,27
Karnataka,Shivamogga,MallikarjunaTheatreDtsShivamogga,Kannada,14:00,Balcony,150₹,208,170
Karnataka,Shivamogga,MallikarjunaTheatreDtsShivamogga,Kannada,14:00,First,100₹,312,208
Karnataka,Gadag,SriVenkateshCinema,Kannada,14:45,Gold,150₹,244,2
Karnataka,Gadag,SriVenkateshCinema,Kannada,14:45,Platinum,150₹,46,4
Karnataka,Gadag,SriVenkateshCinema,Kannada,14:45,Silver,100₹,305,1
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,15:20,Club,140₹,200,5
Karnataka,Bangalore,FunCinemaSigmaMall,Kannada,15:20,Normal,150₹,56,0
Karnataka,Bangalore,FunCinemaSigmaMall,Kannada,15:20,Executive,150₹,137,2
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,15:30,Gold,200₹,10,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,15:30,Executive,110₹,192,4
