State,City,Name,Language,Time,Type,Price,Capacity,Booked
MadhyaPradesh,Kareli,HuesEntertainmentKareli,Hindi,00:00,Reciliner,200₹,5,0
MadhyaPradesh,Kareli,HuesEntertainmentKareli,Hindi,00:00,Platinum,150₹,72,0
MadhyaPradesh,Kareli,HuesEntertainmentKareli,Hindi,00:00,Gold,120₹,48,0
MadhyaPradesh,Kareli,HuesEntertainmentKareli,Hindi,00:00,Silver,120₹,36,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,01:30,Imperial,440₹,11,4
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,01:30,Platinum,270₹,97,2
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,01:30,Gold,240₹,248,13
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,01:30,Silver,220₹,44,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,05:10,Imperial,290₹,11,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,05:10,Platinum,170₹,53,5
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,05:10,Gold,140₹,113,3
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,05:10,Silver,120₹,36,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,05:35,Imperial,290₹,11,2
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,05:35,Platinum,170₹,97,30
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,05:35,Gold,140₹,248,6
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,05:35,Silver,120₹,44,0
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Hindi,07:00,Sofa,112₹,100,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Hindi,08:00,SilverOffline,110₹,24,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Hindi,08:00,GoldOffline,110₹,46,13
TamilNadu,Chennai,PvrGrandGaladaPallavaram,Tamil,08:10,Prime,190₹,186,121
TamilNadu,Chennai,PvrGrandGaladaPallavaram,Tamil,08:10,Classic,60₹,34,34
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:15,Sofa,112₹,100,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:15,PremierPlus,99₹,100,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:15,Premium,99₹,100,0
Kerala,Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,08:15,ClassicOffline,150₹,194,53
TamilNadu,Chennai,InoxChandraMetroMallVirugambakkam,Tamil,08:20,Silver,152₹,327,46
TamilNadu,Chennai,InoxChandraMetroMallVirugambakkam,Tamil,08:20,Premiere,60₹,39,6
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:20,Imperial,290₹,11,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:20,Platinum,170₹,53,31
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:20,Gold,140₹,113,24
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:20,Silver,120₹,36,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Hindi,08:30,PlatinumOffline,110₹,36,36
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Hindi,08:30,GoldOffline,100₹,18,18
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Hindi,08:30,SilverOffline,90₹,9,8
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Hindi,08:30,Sofa,199₹,100,0
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Hindi,08:30,Lounger,149₹,100,0
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Hindi,08:30,PremiumPlus,149₹,100,0
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Hindi,08:30,Premium,112₹,100,0
Rajasthan,Jaipur,CinepolisWorldTradePark,Hindi,08:35,Vip,300₹,19,12
Rajasthan,Jaipur,CinepolisWorldTradePark,Hindi,08:35,Normal,170₹,39,0
Rajasthan,Jaipur,CinepolisWorldTradePark,Hindi,08:35,Premium,170₹,43,25
Rajasthan,Jaipur,CinepolisWorldTradePark,Hindi,08:35,Executive,170₹,129,10
TamilNadu,Chennai,InoxChennaiCitiCentre,Tamil,08:40,Club,152₹,146,17
TamilNadu,Chennai,InoxChennaiCitiCentre,Tamil,08:40,Executive,60₹,25,25
TamilNadu,Chennai,PvrGrandMallVelachery,Tamil,08:45,Prime,190₹,214,120
TamilNadu,Chennai,PvrGrandMallVelachery,Tamil,08:45,Classic,60₹,42,35
Goa,Goa,InoxPorvorimBardez,Hindi,08:45,RoyalRecliner,270₹,13,0
Goa,Goa,InoxPorvorimBardez,Hindi,08:45,Royal,150₹,59,12
