City,Name,Language,Time,Type,Price,Capacity,Booked
Gurgaon,PvrAmbienceGurgaon,English,10:30,Prime,200₹,68,4
Gurgaon,PvrAmbienceGurgaon,English,10:30,ClassicNormal,175₹,84,0
Mumbai,PvrIconInfinitiGoldAndheriW,English,15:30,LuxeSuperior,600₹,33,22
Mumbai,PvrIconInfinitiGoldAndheriW,English,15:30,Luxe,500₹,51,5
Mumbai,InoxLaserplexCr2NarimanPoint,English,16:00,Royale,320₹,103,0
Mumbai,InoxLaserplexCr2NarimanPoint,English,16:00,Club,270₹,150,2
Mumbai,InoxAtriaMallWorli,English,16:35,Insignia,700₹,27,4
DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,16:40,Platinum,600₹,19,0
DelhiNcr,PvrDirectorsCutAmbienceVasantKunj,English,16:40,PlatinumSuperior,600₹,6,0
Mumbai,MetroInoxCinemaMGRoad,English,18:00,Insignia,700₹,42,2
Mumbai,InoxLaserplexCr2NarimanPoint,English,19:00,Insignia,700₹,70,6
DelhiNcr,PvrPromenadeVasantKunj,English,19:35,Prime,400₹,34,6
DelhiNcr,PvrPromenadeVasantKunj,English,19:35,Classic,380₹,50,0
DelhiNcr,PvrPromenadeVasantKunj,English,19:35,Prime,400₹,34,16
DelhiNcr,PvrPromenadeVasantKunj,English,19:35,Classic,380₹,50,2
Mumbai,InoxMegaplexInorbitMall,English,19:45,Kiddles,220₹,53,8
Mumbai,InoxLaserplexCr2NarimanPoint,English,22:30,Insignia,700₹,70,0
DelhiNcr,PvrSelectCityWalkGoldSaket,English,22:45,Platinum,400₹,24,0
DelhiNcr,PvrSelectCityWalkGoldSaket,English,22:45,PlatinumSuperior,400₹,16,0
