State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,10:00,Recliner,350₹,14,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,10:00,Prime,190₹,100,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,10:00,Classic,150₹,128,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:15,Recliner,280₹,13,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:15,Prime,180₹,37,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:15,Classic,160₹,85,0
Karnataka,Saligram,SriPadmambaTalkiesSaligram,Kannada,10:30,First,80₹,302,100
Karnataka,Bangalore,AshokaTheatreChikkabanavara,Kannada,10:30,Balcony,120₹,193,141
Karnataka,Bangalore,AshokaTheatreChikkabanavara,Kannada,10:30,First,100₹,283,179
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Kannada,11:00,Club,170₹,44,0
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Kannada,11:00,Executive,160₹,134,2
Karnataka,Gadag,ShriKrishnaTheatreDolbyDigital71Gadag,Kannada,12:00,Balcony,100₹,230,92
Karnataka,Gadag,ShriKrishnaTheatreDolbyDigital71Gadag,Kannada,12:00,DressCircle,80₹,537,0
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,12:55,Club,140₹,223,7
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,13:00,Classic,140₹,119,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,13:10,Classic,220₹,107,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,13:20,Prime,250₹,10,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,13:20,ClassicPlus,150₹,138,0
Karnataka,Hubli,PvrLaxmiMallCoenRoad,Kannada,13:20,Classic,110₹,68,0
Karnataka,Bangalore,AshokaTheatreChikkabanavara,Kannada,13:30,Balcony,120₹,193,141
Karnataka,Bangalore,AshokaTheatreChikkabanavara,Kannada,13:30,First,100₹,283,179
Karnataka,Saligram,SriPadmambaTalkiesSaligram,Kannada,13:30,First,80₹,302,100
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,14:00,Club,230₹,209,0
Karnataka,Gadag,ShriKrishnaTheatreDolbyDigital71Gadag,Kannada,15:00,Balcony,100₹,230,92
Karnataka,Gadag,ShriKrishnaTheatreDolbyDigital71Gadag,Kannada,15:00,DressCircle,80₹,537,0
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,15:45,Prime,200₹,28,0
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,15:45,Classic,180₹,102,0
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,16:05,Club,250₹,111,0
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,16:05,Executive,240₹,60,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,16:05,Recliner,320₹,13,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,16:05,Prime,200₹,20,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,16:05,Classic,180₹,85,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,16:10,Classic,210₹,95,2
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,16:15,Recliner,400₹,12,0
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,16:15,Classic,230₹,138,0
Karnataka,Saligram,SriPadmambaTalkiesSaligram,Kannada,16:30,First,80₹,302,100
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,18:50,Gold,350₹,11,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,18:50,Executive,180₹,234,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,18:50,Special,160₹,95,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,19:00,Recliner,450₹,14,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,19:00,Prime,240₹,80,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,19:00,Classic,220₹,128,0
Karnataka,Saligram,SriPadmambaTalkiesSaligram,Kannada,19:30,First,80₹,302,100
Karnataka,Bangalore,AshokaTheatreChikkabanavara,Kannada,19:30,Balcony,120₹,193,141
Karnataka,Bangalore,AshokaTheatreChikkabanavara,Kannada,19:30,First,100₹,283,179
Karnataka,Bangalore,SriVajreshwariTheatre2KUllal,Kannada,21:45,Balcony,120₹,200,172
Karnataka,Bangalore,SriVajreshwariTheatre2KUllal,Kannada,21:45,Second,100₹,676,612
