State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Malda,RupkothaCinemaHallMalda,Bengali,10:30,SpecialAc,130₹,82,35
WestBengal,Malda,RupkothaCinemaHallMalda,Bengali,10:30,DressCircle,60₹,99,42
WestBengal,Kolkata,InoxSouthCityMall,Bengali,11:00,Rr,330₹,16,5
WestBengal,Kolkata,InoxSouthCityMall,Bengali,11:00,Premier,200₹,32,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,11:00,Silver,200₹,151,26
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,11:05,Royal,180₹,63,6
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,11:05,Club,140₹,95,8
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,11:05,Executive,140₹,30,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:10,Executive,150₹,168,16
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:10,Economy,110₹,34,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:10,Regular,110₹,65,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,12:50,Premium,220₹,20,13
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,12:50,Executive,210₹,64,13
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,12:50,Normal,200₹,22,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,12:50,Recliner,420₹,10,5
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,12:50,Prime,250₹,11,4
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,12:50,Classic,180₹,252,47
WestBengal,CoochBehar,NewCinemaCoochBehar,Bengali,13:00,Balcony,100₹,101,59
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,13:00,Boxa,100₹,14,0
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,13:00,Boxb,100₹,14,4
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,13:00,Balcony,80₹,90,38
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,13:00,RearStall,60₹,176,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,13:30,Royal,250₹,16,7
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,13:30,Club,210₹,134,9
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,13:30,Executive,180₹,32,2
WestBengal,Kolkata,SurendraTheatre,Bengali,13:30,DressCircle,110₹,24,2
WestBengal,Kolkata,SurendraTheatre,Bengali,13:30,Balcony,50₹,46,0
WestBengal,Malda,RupkothaCinemaHallMalda,Bengali,13:30,SpecialAc,130₹,82,37
WestBengal,Malda,RupkothaCinemaHallMalda,Bengali,13:30,DressCircle,60₹,99,42
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,14:00,Royale,280₹,31,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,14:00,DressCircle,240₹,158,8
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,14:00,Galleria,200₹,36,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,14:00,Club,220₹,229,24
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,14:00,Executive,200₹,42,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:00,Rr,450₹,16,6
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:00,Silver,290₹,151,16
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:00,Premier,270₹,32,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,14:00,Royal,200₹,63,23
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,14:00,Club,180₹,90,18
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,14:00,Executive,160₹,30,4
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,14:00,Royale,280₹,31,9
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,14:00,DressCircle,240₹,158,17
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,14:00,Galleria,200₹,36,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,14:20,Vip,400₹,12,11
WestBengal,Kolkata,CinepolisLakeMall,Bengali,14:20,Premium,240₹,20,19
WestBengal,Kolkata,CinepolisLakeMall,Bengali,14:20,Executive,220₹,186,46
WestBengal,Kolkata,CinepolisLakeMall,Bengali,14:20,Normal,200₹,37,0
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,14:30,Balcony,100₹,144,87
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,14:30,RearStall,80₹,502,150
WestBengal,Kolkata,MinarCinemaACDolbyKolkata,Bengali,14:30,Balcony,120₹,211,113
WestBengal,Kolkata,RupMandirCinemaKolkata,Bengali,14:30,Platinum,100₹,48,12
WestBengal,Kolkata,RupMandirCinemaKolkata,Bengali,14:30,Gold,80₹,102,43
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,14:40,Prime,250₹,6,3
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,14:40,Classic,200₹,183,18
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,15:45,Recliner,450₹,10,5
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,15:45,Prime,270₹,11,9
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,15:45,Classic,200₹,256,110
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,15:55,Premium,220₹,23,20
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,15:55,Executive,210₹,64,50
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,15:55,Normal,200₹,22,5
WestBengal,Kolkata,AjantaCinema,Bengali,16:00,Balcony,150₹,106,67
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:35,Royal,400₹,17,2
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:35,Silver,220₹,147,54
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:35,Premier,200₹,29,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,16:40,Silver,150₹,150,26
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,16:40,Gold,150₹,43,25
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,16:40,Premium,110₹,63,6
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,16:45,Club,230₹,159,79
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,16:45,Executive,210₹,69,8
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:50,Royale,280₹,38,25
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:50,DressCircle,240₹,190,44
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:50,Galleria,200₹,76,4
WestBengal,Kolkata,InoxSouthCityMall,Bengali,17:00,Silver,290₹,156,57
WestBengal,Kolkata,InoxSouthCityMall,Bengali,17:00,Premier,270₹,34,0
WestBengal,Titagarh,LaxmiCinemaTitagarh,Bengali,17:00,Balcony,60₹,31,0
WestBengal,Titagarh,LaxmiCinemaTitagarh,Bengali,17:00,Firstclass,40₹,48,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,17:15,Gold,150₹,60,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,17:15,Diamond,150₹,115,46
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,17:15,Silver,110₹,40,5
WestBengal,Kolkata,BasusreeCinema,Bengali,17:30,Balcony,100₹,320,217
WestBengal,Kolkata,BasusreeCinema,Bengali,17:30,RearStall,70₹,700,583
WestBengal,Kolkata,CarnivalSaltLake,Bengali,18:20,Silver,150₹,190,77
WestBengal,Kolkata,CinepolisLakeMall,Bengali,18:35,Premium,240₹,22,19
WestBengal,Kolkata,CinepolisLakeMall,Bengali,18:35,Executive,220₹,54,54
WestBengal,Kolkata,CinepolisLakeMall,Bengali,18:35,Normal,200₹,22,2
WestBengal,Kolkata,AjantaCinema,Bengali,18:40,Balcony,150₹,106,67
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,18:40,Recliner,450₹,10,6
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,18:40,Prime,270₹,11,5
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,18:40,Classic,200₹,252,81
WestBengal,CoochBehar,NewCinemaCoochBehar,Bengali,19:00,Balcony,100₹,101,59
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,19:00,Boxa,100₹,14,0
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,19:00,Boxb,100₹,14,0
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,19:00,Balcony,80₹,90,38
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,19:00,RearStall,60₹,176,0
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,19:00,Balcony,50₹,264,33
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,19:00,FirstClass,30₹,513,30
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,19:10,Club,220₹,229,30
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,19:10,Executive,200₹,42,0
WestBengal,Kolkata,RupMandirCinemaKolkata,Bengali,19:30,Platinum,100₹,48,8
WestBengal,Kolkata,RupMandirCinemaKolkata,Bengali,19:30,Gold,80₹,102,43
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,19:30,Balcony,100₹,144,80
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,19:30,RearStall,80₹,502,148
WestBengal,Kolkata,BijoliCinemaKolkata,Bengali,19:30,Balcony,120₹,188,116
WestBengal,Kolkata,BijoliCinemaKolkata,Bengali,19:30,RearStall,80₹,614,9
WestBengal,Kolkata,MinarCinemaACDolbyKolkata,Bengali,19:30,Balcony,120₹,211,99
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,19:30,RoyalRecliner,450₹,8,8
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,19:30,Club,290₹,112,7
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,19:30,Royal,290₹,28,17
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,19:30,Executive,270₹,24,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,19:30,Prime,270₹,23,7
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,19:30,Classic,240₹,359,33
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,19:30,Recliner,490₹,8,4
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,19:30,Prime,240₹,110,12
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,19:30,Classic,210₹,48,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,19:35,Royal,400₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,19:35,Silver,220₹,198,34
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,19:35,Premier,200₹,55,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,19:35,Royal,200₹,63,22
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,19:35,Club,180₹,92,8
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,19:35,Executive,160₹,32,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,19:55,Executive,150₹,168,10
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,19:55,Regular,150₹,65,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,19:55,Economy,110₹,34,0
