State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:55,Diamond,110₹,132,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:55,Silver,90₹,40,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,12:55,Gold,90₹,120,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:15,Premium,190₹,21,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:15,Executive,170₹,51,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:15,Normal,150₹,21,0
WestBengal,Kolkata,CarnivalSaltLake,Bengali,13:25,Silver,99₹,190,6
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:30,Recliner,350₹,8,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:30,Prime,140₹,94,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:30,Classic,120₹,48,0
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,13:35,Club,140₹,247,1
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,13:35,Executive,140₹,88,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,14:15,Executive,99₹,168,2
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,14:15,Economy,99₹,34,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,14:15,Regular,99₹,65,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,14:15,Prime,170₹,11,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,14:15,Classic,120₹,200,7
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,14:35,Normal,150₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,14:35,Premium,150₹,20,2
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,14:35,Executive,150₹,64,5
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:45,Silver,200₹,157,19
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:45,Premier,180₹,34,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:45,Recliner,360₹,12,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:45,Prime,190₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:45,Classic,112₹,189,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:50,Recliner,360₹,12,2
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:50,Prime,190₹,11,1
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:50,Classic,112₹,189,8
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,14:50,Silver,130₹,150,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,14:50,Gold,130₹,43,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,14:50,Premium,130₹,63,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:55,Royal,170₹,40,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:55,Club,150₹,72,2
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:55,Executive,140₹,36,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,16:05,Royal,140₹,16,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,16:05,Club,112₹,134,4
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,16:05,Executive,112₹,32,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:15,RoyalRecliner,390₹,8,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:15,Royal,230₹,28,2
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:15,Club,220₹,112,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:15,Executive,180₹,24,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:15,Royal,180₹,63,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:15,Club,140₹,92,2
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:15,Executive,140₹,32,0
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,16:25,Royale,350₹,10,0
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,16:25,Club,280₹,176,17
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,16:25,Executive,250₹,32,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:40,Royale,180₹,30,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:40,DressCircle,170₹,140,1
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:40,Galleria,160₹,49,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:45,Rr,370₹,16,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:45,Silver,200₹,151,4
WestBengal,Kolkata,InoxSouthCityMall,Bengali,16:45,Premier,180₹,32,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:50,Royal,300₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:50,CoupleSeats,150₹,12,2
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:50,Premier,150₹,53,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:50,Silver,150₹,186,17
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,16:50,Prime,180₹,6,5
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,16:50,Classic,150₹,183,0
WestBengal,Howrah,InoxRDMallLiluah,Bengali,16:50,Club,112₹,155,0
WestBengal,Howrah,InoxRDMallLiluah,Bengali,16:50,Executive,112₹,54,0
Tripura,Agartala,RupasiCinemaAgartala,Bengali,17:05,Recliners,350₹,16,0
Tripura,Agartala,RupasiCinemaAgartala,Bengali,17:05,GoldClass,150₹,205,70
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,17:10,Silver,130₹,150,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,17:10,Gold,130₹,43,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,17:10,Premium,130₹,63,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,17:15,Club,160₹,229,4
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,17:15,Executive,140₹,42,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,17:15,Recliner,380₹,21,2
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,17:15,Prime,140₹,97,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,17:15,Classic,120₹,45,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:20,Recliner,360₹,12,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:20,Prime,200₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:20,Classic,140₹,189,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:25,Recliner,360₹,12,1
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:25,Prime,200₹,11,11
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,17:25,Classic,140₹,189,8
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,18:15,Royal,170₹,73,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,18:15,Club,150₹,126,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,18:15,Executive,140₹,42,0
WestBengal,Kolkata,AjantaCinema,Bengali,18:40,Recliner,200₹,13,13
WestBengal,Kolkata,AjantaCinema,Bengali,18:40,Balcony,150₹,213,152
WestBengal,Howrah,MirajCinemasAurobinoMallHowrah,Bengali,18:40,Premium,100₹,153,0
WestBengal,Howrah,MirajCinemasAurobinoMallHowrah,Bengali,18:40,Deluxe,100₹,106,0
WestBengal,Kolkata,CarnivalSaltLake,Bengali,18:40,Silver,99₹,190,9
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,18:50,Royal,180₹,63,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,18:50,Club,140₹,92,2
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,18:50,Executive,140₹,32,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,19:15,Diamond,150₹,118,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,19:15,Silver,130₹,40,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,19:15,Gold,130₹,60,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,19:15,Royale,180₹,30,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,19:15,DressCircle,170₹,140,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,19:15,Galleria,160₹,49,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,19:15,Diamond,110₹,118,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,19:15,Silver,90₹,40,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,19:15,Gold,90₹,60,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,19:15,Royale,300₹,9,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,19:15,Club,160₹,232,2
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,19:15,Executive,140₹,51,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,19:15,Normal,150₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,19:15,Premium,150₹,20,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,19:15,Executive,150₹,64,3
WestBengal,Kolkata,InoxSouthCityMall,Bengali,19:20,Rr,370₹,16,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,19:20,Silver,200₹,151,3
WestBengal,Kolkata,InoxSouthCityMall,Bengali,19:20,Premier,180₹,32,0
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,19:25,Club,140₹,159,3
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,19:25,Executive,140₹,69,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,19:30,Royal,300₹,14,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,19:30,Premier,150₹,36,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,19:30,Silver,150₹,147,4
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,19:35,Executive,99₹,168,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,19:35,Economy,99₹,34,0
WestBengal,Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,19:35,Regular,99₹,65,0
