State,City,Name,Language,Time,Type,Price,Capacity,Booked
Chhattisgarh,Raipur,InoxCityMall36GERoad,Chhattisghari,10:00,Club,80₹,32,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Chhattisghari,10:00,Gold,80₹,192,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Chhattisghari,10:00,Platinum,80₹,31,0
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,Chhattisghari,12:00,Recliner,300₹,28,0
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,Chhattisghari,12:00,Prime,130₹,259,28
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,Chhattisghari,12:00,Classic,100₹,50,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Chhattisghari,12:50,RoyalRecliner,200₹,16,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Chhattisghari,12:50,Royal,112₹,34,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Chhattisghari,12:50,Club,90₹,188,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Chhattisghari,12:50,Executive,90₹,36,0
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Chhattisghari,13:05,PrimePlus,230₹,16,8
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Chhattisghari,13:05,Prime,120₹,217,40
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Chhattisghari,13:05,Classic,112₹,52,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Chhattisghari,15:00,Prime,130₹,235,35
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Chhattisghari,15:00,Classic,100₹,30,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Chhattisghari,15:30,Club,80₹,36,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Chhattisghari,15:30,Gold,80₹,216,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Chhattisghari,15:30,Platinum,80₹,37,0
Chhattisgarh,Bhilai,PvrTreasureIslandBhilai,Chhattisghari,16:05,PrimePlus,200₹,49,0
Chhattisgarh,Bhilai,PvrTreasureIslandBhilai,Chhattisghari,16:05,Classic,120₹,36,0
Chhattisgarh,Bhilai,PvrTreasureIslandBhilai,Chhattisghari,16:05,Prime,120₹,120,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Chhattisghari,16:45,Prime,130₹,145,38
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Chhattisghari,16:45,Classic,100₹,26,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Chhattisghari,19:00,RoyalRecliner,200₹,16,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Chhattisghari,19:00,Royal,112₹,34,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Chhattisghari,19:00,Club,90₹,188,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreMowa,Chhattisghari,19:00,Executive,90₹,36,0
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,Chhattisghari,19:15,Recliner,320₹,17,0
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,Chhattisghari,19:15,Prime,140₹,258,22
Chhattisgarh,Raipur,PvrMagnetoTheMallRaipur,Chhattisghari,19:15,Classic,120₹,34,0
