State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Pune,RahulTalkies70MmShivajiNagar,Marathi,09:30,GoldClass,80₹,202,0
Maharashtra,Pune,RahulTalkies70MmShivajiNagar,Marathi,09:30,SilverClass,80₹,120,0
Maharashtra,Ahmednagar,EylexShaniSingnapurAhmednagar,Marathi,12:00,Platinum,150₹,76,67
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Marathi,12:45,Sofa,199₹,100,0
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Marathi,12:45,PremiumPlus,149₹,100,0
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Marathi,12:45,Premium,112₹,100,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,13:15,Premium,200₹,40,2
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,13:15,Normal,180₹,23,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,13:15,Executive,180₹,52,0
Maharashtra,Ahmednagar,AshaSquareMultiplexAhmednagar,Marathi,15:00,GoldenClass,150₹,100,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,19:20,Silver,210₹,49,3
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,19:20,Premiere,180₹,91,2
Maharashtra,Parbhani,MahaveerTalkiesParbhani,Marathi,21:05,Balcony,70₹,149,0
Maharashtra,Parbhani,MahaveerTalkiesParbhani,Marathi,21:05,DressCircle,50₹,208,0
Maharashtra,Parbhani,MahaveerTalkiesParbhani,Marathi,21:05,UpperStall,50₹,272,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,21:30,Gold,100₹,54,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,21:30,Silver,100₹,18,0
