State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Tamil,10:15,PremiumOffline,300₹,50,8
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Tamil,10:15,ExecutiveOffline,180₹,102,0
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Tamil,10:15,NormalOffline,100₹,17,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Tamil,11:00,DiamondSofa,200₹,4,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Tamil,11:00,Gold,150₹,170,0
TamilNadu,Ambasamudram,KalyaniTheatreFullAcAmbasamuduram,Tamil,11:30,FirstClass,100₹,239,41
TamilNadu,Kadayam,NewBombayCinemas4KRgbLaserDolbyDigital71Kadayam,Tamil,11:30,BoxA,120₹,27,0
TamilNadu,Kadayam,NewBombayCinemas4KRgbLaserDolbyDigital71Kadayam,Tamil,11:30,BoxB,120₹,25,0
TamilNadu,Kadayam,NewBombayCinemas4KRgbLaserDolbyDigital71Kadayam,Tamil,11:30,FirstClass,100₹,150,0
TamilNadu,Kadayam,NewBombayCinemas4KRgbLaserDolbyDigital71Kadayam,Tamil,11:30,SecondClass,100₹,161,0
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,12:50,Executive,152₹,190,40
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,12:50,Normal,60₹,22,22
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Tamil,13:45,ExecutiveOffline,140₹,119,25
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Tamil,13:50,Diamond,110₹,80,10
TamilNadu,Cuddalore,KamalamCinemas2KACCuddalore,Tamil,14:15,FirstClass,130₹,287,0
TamilNadu,Cuddalore,KamalamCinemas2KACCuddalore,Tamil,14:15,SecondClass,100₹,150,0
TamilNadu,Cuddalore,KamalamCinemas2KACCuddalore,Tamil,14:15,ThirdClass,55₹,64,0
TamilNadu,Ambasamudram,KalyaniTheatreFullAcAmbasamuduram,Tamil,14:30,FirstClass,100₹,239,41
Kerala,Kochi,PvrLuluKochi,Malayalam,14:30,Recliner,300₹,9,0
Kerala,Kochi,PvrLuluKochi,Malayalam,14:30,Prime,160₹,64,0
Kerala,Kochi,PvrLuluKochi,Malayalam,14:30,ClassicPlus,140₹,91,0
Kerala,Kochi,PvrLuluKochi,Malayalam,14:30,Classic,110₹,39,0
TamilNadu,Thiruppatur,AlbertComplex,Tamil,15:00,FirstClass,99₹,158,48
TamilNadu,Thiruppatur,AlbertComplex,Tamil,15:00,SecondClass,79₹,84,2
TamilNadu,Thiruppatur,AlbertComplex,Tamil,15:00,ThirdClass,50₹,28,0
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,15:20,Executive,152₹,190,40
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,15:20,Normal,60₹,22,22
TamilNadu,Thiruppatur,Devicineplex,Tamil,16:00,Quartz,152₹,735,2
TamilNadu,Thiruppatur,Devicineplex,Tamil,16:00,Zircon,60₹,103,103
TamilNadu,Thiruppatur,PvrAmpaSkywalkMallAminjikarai,Tamil,16:05,Prime,179₹,163,0
TamilNadu,Thiruppatur,PvrAmpaSkywalkMallAminjikarai,Tamil,16:05,Classic,60₹,32,32
TamilNadu,Coimbatore,BabaCinemas4KDolbyAtmos,Tamil,18:15,Elite,150₹,135,0
TamilNadu,Coimbatore,BabaCinemas4KDolbyAtmos,Tamil,18:15,Gl,120₹,357,0
TamilNadu,Kadayam,NewBombayCinemas4KRgbLaserDolbyDigital71Kadayam,Tamil,18:30,BoxA,120₹,27,0
TamilNadu,Kadayam,NewBombayCinemas4KRgbLaserDolbyDigital71Kadayam,Tamil,18:30,BoxB,120₹,25,0
