State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Doraha,NovaCinemazDoraha,Punjabi,08:00,Platinum,250₹,19,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,08:00,Gold,200₹,82,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,08:00,Silver,180₹,24,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:15,Recliner,275₹,12,12
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:15,Classic,140₹,105,105
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:15,Prime,140₹,45,45
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:20,Prime,245₹,26,2
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:20,ClassicPlus,165₹,36,3
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:20,Classic,150₹,36,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:30,Recliner,380₹,8,2
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:30,Prime,270₹,10,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:30,ClassicPlus,185₹,146,2
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:30,Classic,155₹,95,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:40,RoyaleRecliners,380₹,37,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:40,Royale,250₹,40,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:40,Club,150₹,140,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:40,Executive,150₹,53,0
Haryana,Tohana,RitzMiniplexTohana,Punjabi,09:40,Diamond,130₹,40,18
Haryana,Tohana,RitzMiniplexTohana,Punjabi,09:40,Gold,100₹,59,11
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,09:45,Recliner,450₹,27,8
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,09:45,Classic,180₹,155,8
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,09:45,Platinum,160₹,70,0
