State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Pune,CinepolisWestendMall,EnglishIMAX,09:00,Vip,320₹,13,4
Maharashtra,Pune,CinepolisWestendMall,EnglishIMAX,09:00,Premium,220₹,50,5
Maharashtra,Pune,CinepolisWestendMall,EnglishIMAX,09:00,Executive,200₹,171,4
Maharashtra,Pune,CinepolisWestendMall,EnglishIMAX,09:00,Normal,180₹,40,0
Maharashtra,Mumbai,CinepolisVivianaMall,EnglishIMAX,09:00,Premium,220₹,57,20
Maharashtra,Mumbai,CinepolisVivianaMall,EnglishIMAX,09:00,Executive,200₹,224,4
Maharashtra,Mumbai,CinepolisVivianaMall,EnglishIMAX,09:00,Normal,180₹,39,0
WestBengal,Kolkata,InoxSouthCityMall,EnglishIMAX,12:00,Silver,330₹,243,2
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,EnglishIMAX,13:10,Club,420₹,59,4
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,EnglishIMAX,13:10,Executive,400₹,228,5
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,EnglishIMAX,13:30,Club,420₹,184,1
Delhi,DelhiNcr,PvrImaxSelectCityWalkSaket,EnglishIMAX,13:45,ReclinersNormal,500₹,17,0
Delhi,DelhiNcr,PvrImaxSelectCityWalkSaket,EnglishIMAX,13:45,Prime,299₹,139,0
Delhi,DelhiNcr,PvrImaxSelectCityWalkSaket,EnglishIMAX,13:45,ClassicNormal,299₹,132,0
Delhi,DelhiNcr,PvrImaxSelectCityWalkSaket,EnglishIMAX,13:45,LoungerNormal,299₹,11,0
Karnataka,Bangalore,PvrVrImaxWhitefieldRoad,EnglishIMAX,13:45,3DPrime,290₹,64,2
Karnataka,Bangalore,PvrVrImaxWhitefieldRoad,EnglishIMAX,13:45,3DClassic,260₹,184,1
Maharashtra,Mumbai,PvrIconPhoenixImaxLowerParel,EnglishIMAX,13:50,Recliner,470₹,16,6
Maharashtra,Mumbai,PvrIconPhoenixImaxLowerParel,EnglishIMAX,13:50,Prime,320₹,329,21
Maharashtra,Mumbai,PvrIconPhoenixImaxLowerParel,EnglishIMAX,13:50,Classic,250₹,57,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,EnglishIMAX,14:00,Royal,340₹,95,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,EnglishIMAX,14:00,Club,330₹,170,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,EnglishIMAX,14:00,Executive,310₹,33,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,EnglishIMAX,14:00,Royal,340₹,95,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,EnglishIMAX,14:00,Club,330₹,170,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,EnglishIMAX,14:00,Executive,310₹,33,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,EnglishIMAX,14:15,Silver,350₹,100,2
Maharashtra,Mumbai,InoxMegaplexInorbitMall,EnglishIMAX,14:15,Executive,330₹,56,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,EnglishIMAX,14:15,Premiere,330₹,146,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,EnglishIMAX,16:25,Premium,300₹,71,4
Maharashtra,Mumbai,CinepolisSeawoodsLT,EnglishIMAX,16:25,Executive,280₹,103,1
Maharashtra,Mumbai,CinepolisSeawoodsLT,EnglishIMAX,16:25,Normal,260₹,53,0
Karnataka,Bangalore,CinepolisForumShantiniketan,EnglishIMAX,16:25,Premium,360₹,52,0
Karnataka,Bangalore,CinepolisForumShantiniketan,EnglishIMAX,16:25,Executive,350₹,126,0
Karnataka,Bangalore,CinepolisForumShantiniketan,EnglishIMAX,16:25,Normal,340₹,41,0
Karnataka,Bangalore,PvrForumImaxKoramangala,EnglishIMAX,16:25,3DPrime,280₹,105,0
Karnataka,Bangalore,PvrForumImaxKoramangala,EnglishIMAX,16:25,3DClassic,250₹,227,0
Haryana,Gurgaon,PvrPaytmImaxAmbienceGurgaon,EnglishIMAX,17:20,Lounger,199₹,9,0
Haryana,Gurgaon,PvrPaytmImaxAmbienceGurgaon,EnglishIMAX,17:20,ClassicImax,199₹,165,2
Haryana,Gurgaon,PvrPaytmImaxAmbienceGurgaon,EnglishIMAX,17:20,PrimeImax,199₹,114,12
UttarPradesh,Noida,PvrLogixCityCentreImaxNoida,EnglishIMAX,17:20,Recliner,690₹,20,0
UttarPradesh,Noida,PvrLogixCityCentreImaxNoida,EnglishIMAX,17:20,Prime,350₹,288,8
Maharashtra,Pune,CinepolisWestendMall,EnglishIMAX,17:45,Vip,450₹,13,0
Maharashtra,Pune,CinepolisWestendMall,EnglishIMAX,17:45,Premium,350₹,50,1
Maharashtra,Pune,CinepolisWestendMall,EnglishIMAX,17:45,Executive,300₹,161,10
Maharashtra,Pune,CinepolisWestendMall,EnglishIMAX,17:45,Normal,200₹,40,0
Maharashtra,Mumbai,CinepolisVivianaMall,EnglishIMAX,17:45,Premium,290₹,57,7
Maharashtra,Mumbai,CinepolisVivianaMall,EnglishIMAX,17:45,Executive,270₹,224,3
Maharashtra,Mumbai,CinepolisVivianaMall,EnglishIMAX,17:45,Normal,250₹,39,0
Karnataka,Bangalore,PvrPaytmImaxVegaCityBannerghattaRoad,EnglishIMAX,20:05,3DPrime,310₹,43,0
Karnataka,Bangalore,PvrPaytmImaxVegaCityBannerghattaRoad,EnglishIMAX,20:05,3DClassic,280₹,250,6
