State,City,Name,Language,Time,Type,Price,Capacity,Booked
Assam,Guwahati,CinepolisCentralMall,Assamese,11:25,Vip,350₹,2,2
Assam,Guwahati,CinepolisCentralMall,Assamese,11:25,Premium,170₹,41,9
Assam,Guwahati,CinepolisCentralMall,Assamese,11:25,Executive,150₹,116,2
Assam,Guwahati,CinepolisCentralMall,Assamese,11:25,Normal,130₹,24,0
Assam,Jorhat,InoxAbsMallJorhat,Assamese,11:25,Gold,280₹,12,0
Assam,Jorhat,InoxAbsMallJorhat,Assamese,11:25,Club,200₹,68,8
Assam,Jorhat,InoxAbsMallJorhat,Assamese,11:25,Executive,140₹,32,11
Assam,Jorhat,InoxAbsMallJorhat,Assamese,11:25,Premier,100₹,32,0
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,13:00,Gold,120₹,54,15
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,13:00,Silver,100₹,24,0
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,13:10,Business,290₹,14,6
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,13:10,Platinum,240₹,192,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,13:10,Gold,190₹,51,18
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,13:10,Silver,100₹,34,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,13:15,Business,340₹,17,6
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,13:15,Platinum,280₹,22,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,13:15,Executive,240₹,150,31
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,13:15,Gold,190₹,85,19
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,13:15,Silver,100₹,50,26
Assam,Jorhat,InoxAbsMallJorhat,Assamese,13:45,Royal,300₹,14,2
Assam,Jorhat,InoxAbsMallJorhat,Assamese,13:45,Club,210₹,55,9
Assam,Jorhat,InoxAbsMallJorhat,Assamese,13:45,Executive,150₹,32,15
Assam,Jorhat,InoxAbsMallJorhat,Assamese,13:45,Premier,100₹,32,17
Assam,Guwahati,GoldCinemaNarengi,Assamese,14:00,Diamond,180₹,94,2
Assam,Guwahati,GoldCinemaNarengi,Assamese,14:00,Gold,140₹,58,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,14:00,Silver,120₹,66,0
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,15:15,Gold,120₹,54,15
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,15:15,Silver,100₹,24,0
Assam,Jorhat,InoxAbsMallJorhat,Assamese,16:30,Royal,300₹,14,7
Assam,Jorhat,InoxAbsMallJorhat,Assamese,16:30,Club,210₹,55,52
Assam,Jorhat,InoxAbsMallJorhat,Assamese,16:30,Executive,150₹,32,32
Assam,Jorhat,InoxAbsMallJorhat,Assamese,16:30,Premier,100₹,32,18
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,18:10,Business,290₹,14,8
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,18:10,Platinum,240₹,192,31
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,18:10,Gold,190₹,51,9
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,18:10,Silver,100₹,34,3
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:15,Business,250₹,60,10
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:15,Platinum,200₹,75,13
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:15,Gold,180₹,90,6
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:15,Silver,130₹,30,0
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,18:15,Business,340₹,17,9
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,18:15,Platinum,280₹,22,16
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,18:15,Executive,240₹,150,82
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,18:15,Gold,190₹,85,59
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,18:15,Silver,100₹,50,25
Assam,Guwahati,CinepolisCentralMall,Assamese,19:50,Vip,400₹,2,0
Assam,Guwahati,CinepolisCentralMall,Assamese,19:50,Premium,200₹,41,39
Assam,Guwahati,CinepolisCentralMall,Assamese,19:50,Executive,180₹,116,33
Assam,Guwahati,CinepolisCentralMall,Assamese,19:50,Normal,160₹,24,0
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,20:15,Business,340₹,16,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,20:15,Executive,240₹,94,32
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,20:15,Gold,190₹,59,8
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,20:15,Silver,100₹,58,12
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,20:25,Business,290₹,14,10
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,20:25,Platinum,240₹,192,13
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,20:25,Gold,190₹,51,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,20:25,Silver,100₹,34,0
