State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,BijoliCinemaKolkata,Bengali,12:30,Balcony,100₹,188,111
WestBengal,Kolkata,BijoliCinemaKolkata,Bengali,12:30,RearStall,80₹,614,112
WestBengal,CoochBehar,NewCinemaCoochBehar,Bengali,13:00,Balcony,80₹,101,59
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:00,Royal,170₹,40,4
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:00,Club,150₹,72,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:00,Executive,140₹,36,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:05,Recliner,460₹,14,2
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:05,Prime,280₹,12,1
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,14:05,Classic,230₹,154,26
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,14:20,Royale,240₹,31,19
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,14:20,DressCircle,230₹,158,29
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,14:20,Galleria,210₹,36,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:20,Silver,250₹,157,64
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:20,Premier,230₹,34,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,14:35,Premium,240₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,14:35,Executive,220₹,134,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,14:35,Normal,200₹,34,0
WestBengal,Kolkata,AjantaCinema,Bengali,15:20,Recliner,200₹,13,13
WestBengal,Kolkata,AjantaCinema,Bengali,15:20,Balcony,150₹,213,156
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,15:45,Royale,400₹,9,8
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,15:45,Club,220₹,232,23
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,15:45,Executive,200₹,51,0
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,16:00,Balcony,50₹,264,33
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,16:00,FirstClass,30₹,513,30
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,16:00,Royale,320₹,10,5
WestBengal,Siliguri,InoxCityCentreMatigara,Bengali,16:00,Club,250₹,176,12
