State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,10:15,Recliner,350₹,13,10
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,10:15,Prime,190₹,100,40
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,10:15,Classic,150₹,128,16
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:40,Recliner,280₹,9,9
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:40,Prime,180₹,20,12
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:40,Classic,160₹,85,12
Karnataka,Gulbarga,InoxOrchidMallGulbarga,Kannada,11:00,Club,160₹,71,0
Karnataka,Gulbarga,InoxOrchidMallGulbarga,Kannada,11:00,Executive,150₹,96,0
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,11:00,Club,160₹,200,41
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,11:00,Club,200₹,209,27
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,13:25,Club,180₹,223,4
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,14:50,Gold,230₹,79,21
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,14:50,Premier,200₹,180,74
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,15:50,Prime,180₹,25,20
Karnataka,Mysore,PvrGarudaMallAlbertVictorRoad,Kannada,15:50,Classic,140₹,240,118
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,16:15,Recliner,550₹,13,12
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,16:15,Prime,290₹,100,97
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,16:15,Classic,270₹,128,99
