City,Name,Language,Time,Type,Price,Capacity,Booked
Durg,FunCinemasApsaraTalkies,Cantonese,12:00,Balcony,80₹,100,0
Durg,FunCinemasApsaraTalkies,Cantonese,12:00,Reserve,50₹,100,0
Raipur,InoxCityMall36GERoad,Cantonese,12:15,Gold,130₹,290,6
Raipur,InoxCityMall36GERoad,Cantonese,12:15,Platinum,130₹,15,7
Raipur,InoxCityMall36GERoad,Cantonese,12:15,Club,110₹,42,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,12:30,Platinum,150₹,100,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,12:30,Diamond,150₹,100,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,12:30,Gold,100₹,100,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,12:30,Silver,50₹,100,0
Raipur,CinemaxCityCenterPandri,Cantonese,13:15,Recliner,390₹,12,12
Raipur,CinemaxCityCenterPandri,Cantonese,13:15,Prime,170₹,140,36
Raipur,CinemaxCityCenterPandri,Cantonese,13:15,Classic,140₹,24,1
Raigarh,CarnivalGrandMallNewMarketRoad,Cantonese,14:00,Platinum,200₹,78,0
Raigarh,CarnivalGrandMallNewMarketRoad,Cantonese,14:00,Gold,170₹,60,2
Raigarh,CarnivalGrandMallNewMarketRoad,Cantonese,14:00,Silver,110₹,59,0
Durg,FunCinemasApsaraTalkies,Cantonese,15:00,Balcony,80₹,100,0
Durg,FunCinemasApsaraTalkies,Cantonese,15:00,Reserve,50₹,100,0
Bhilai,MirajCinemasBhilai,Cantonese,15:00,Executive,170₹,93,0
Bhilai,MirajCinemasBhilai,Cantonese,15:00,Special,150₹,39,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,15:30,Platinum,150₹,100,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,15:30,Diamond,150₹,100,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,15:30,Gold,100₹,100,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,15:30,Silver,50₹,100,0
Raipur,PvrMagnetoTheMallRaipur,Cantonese,16:10,Recliner,430₹,22,0
Raipur,PvrMagnetoTheMallRaipur,Cantonese,16:10,Prime,180₹,192,33
Raipur,PvrMagnetoTheMallRaipur,Cantonese,16:10,Classic,150₹,38,0
Bhilai,PvrTreasureIslandBhilai,Cantonese,16:10,PrimePlus,230₹,41,13
Bhilai,PvrTreasureIslandBhilai,Cantonese,16:10,Prime,200₹,79,2
Bhilai,PvrTreasureIslandBhilai,Cantonese,16:10,Classic,170₹,30,1
Raipur,CinemaxCityCenterPandri,Cantonese,16:25,Recliner,390₹,12,12
Raipur,CinemaxCityCenterPandri,Cantonese,16:25,Prime,170₹,140,50
Raipur,CinemaxCityCenterPandri,Cantonese,16:25,Classic,140₹,24,0
Bilaspur,PvrRamaMagnetoMallBilaspur,Cantonese,17:40,PrimePlus,370₹,10,5
Bilaspur,PvrRamaMagnetoMallBilaspur,Cantonese,17:40,Prime,220₹,58,17
Bilaspur,PvrRamaMagnetoMallBilaspur,Cantonese,17:40,Classic,170₹,36,3
Durg,FunCinemasApsaraTalkies,Cantonese,18:00,Balcony,80₹,100,0
Durg,FunCinemasApsaraTalkies,Cantonese,18:00,Reserve,50₹,100,0
Raipur,InoxAmbujaCityCentreMowa,Cantonese,18:00,RoyalRecliner,200₹,16,3
Raipur,InoxAmbujaCityCentreMowa,Cantonese,18:00,Royal,130₹,36,12
Raipur,InoxAmbujaCityCentreMowa,Cantonese,18:00,Club,110₹,192,40
Raipur,InoxAmbujaCityCentreMowa,Cantonese,18:00,Executive,110₹,36,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,18:30,Platinum,150₹,100,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,18:30,Diamond,150₹,100,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,18:30,Gold,100₹,100,0
Korba,CinemoodMultiplexDolbyAtmosSoundCityC,Cantonese,18:30,Silver,50₹,100,0
Durg,FunCinemasApsaraTalkies,Cantonese,21:00,Balcony,80₹,100,0
Durg,FunCinemasApsaraTalkies,Cantonese,21:00,Reserve,50₹,100,0
