State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Thanjavur,GvComplexThanjavur,Tamil,11:00,I,120₹,138,12
TamilNadu,Kadayam,PvrAmpaSkywalkMallAminjikarai,Tamil,12:15,Prime,190₹,130,1
TamilNadu,Kadayam,PvrAmpaSkywalkMallAminjikarai,Tamil,12:15,Classic,60₹,17,17
TamilNadu,Kadayam,PvrGrandGaladaPallavaram,Tamil,12:40,Prime,190₹,152,46
TamilNadu,Kadayam,PvrGrandGaladaPallavaram,Tamil,12:40,Classic,60₹,28,28
TamilNadu,Thanjavur,GvComplexThanjavur,Tamil,14:15,I,120₹,138,12
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,15:45,Club,190₹,159,0
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,15:45,Executive,60₹,21,0
TamilNadu,Kadayam,CinepolisBsrMall,Tamil,16:05,Executive,152₹,117,16
TamilNadu,Kadayam,CinepolisBsrMall,Tamil,16:05,Normal,60₹,17,17
TamilNadu,Thanjavur,GvComplexThanjavur,Tamil,18:15,I,120₹,138,12
TamilNadu,Kadayam,PvrSklsGalaxyMallRedHills,Tamil,19:05,Prime,179₹,81,12
TamilNadu,Kadayam,PvrSklsGalaxyMallRedHills,Tamil,19:05,Classic,60₹,16,16
TamilNadu,Thanjavur,GvComplexThanjavur,Tamil,22:00,I,120₹,138,12
TamilNadu,Kadayam,InoxTheMarinaMallOmr,Tamil,22:00,Club,190₹,126,20
TamilNadu,Kadayam,InoxTheMarinaMallOmr,Tamil,22:00,Executive,60₹,16,10
TamilNadu,Kadayam,PvrGrandMallVelachery,Tamil,22:20,Prime,190₹,130,50
TamilNadu,Kadayam,PvrGrandMallVelachery,Tamil,22:20,Classic,60₹,40,40
