State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:00,RoyaleRecliners,300₹,10,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:00,Royale,170₹,59,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:00,Club,160₹,93,0
Maharashtra,Aurangabad,InoxProzoneMallChilkalthana,Marathi,10:00,Executive,150₹,36,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,10:00,Recliner,250₹,12,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,10:00,PrimePlus,200₹,15,4
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,10:00,Classic,150₹,80,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,10:00,Prime,150₹,129,0
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,11:00,Prime,180₹,98,98
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,11:00,Classic,160₹,26,26
Maharashtra,Aurangabad,MohanNovaCinemazSarafaRoad,Marathi,11:45,Platinum,150₹,100,0
Maharashtra,Aurangabad,MohanNovaCinemazSarafaRoad,Marathi,11:45,Gold,150₹,100,0
Maharashtra,Aurangabad,MohanNovaCinemazSarafaRoad,Marathi,11:45,Silver,150₹,100,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,11:45,Royale,230₹,6,1
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,11:45,Club,130₹,157,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,11:45,Executive,130₹,42,0
Maharashtra,Ahmednagar,AshaSquareMultiplexAhmednagar,Marathi,12:00,GoldenClass,150₹,342,4
Maharashtra,Pune,VikasCinemaManchar,Marathi,12:00,1stClass,100₹,156,0
Maharashtra,Pune,VikasCinemaManchar,Marathi,12:00,2ndClass,80₹,196,0
Maharashtra,Pen,CarnivalMoreshwarChinchpada,Marathi,12:30,Platinum,130₹,96,0
Maharashtra,Pen,CarnivalMoreshwarChinchpada,Marathi,12:30,Gold,110₹,42,0
Maharashtra,Mumbai,BharatChitraMandirKurlaW,Marathi,12:30,Sofa,150₹,18,0
Maharashtra,Mumbai,BharatChitraMandirKurlaW,Marathi,12:30,Premium,100₹,181,0
Maharashtra,Ahmednagar,EylexShaniSingnapurAhmednagar,Marathi,12:30,Platinum,150₹,76,67
Maharashtra,Malegaon,CinemaxMalegaon,Marathi,12:30,Recliner,110₹,54,25
Maharashtra,Malegaon,CinemaxMalegaon,Marathi,12:30,Prime,95₹,349,50
Maharashtra,Malegaon,CinemaxMalegaon,Marathi,12:30,Classic,75₹,58,0
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,13:00,Recliner,320₹,14,11
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,13:00,Prime,170₹,139,28
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,13:00,Classic,140₹,34,1
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,13:10,Vip,440₹,14,8
