State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Kochi,PvrLuluKochi,Malayalam,09:20,Recliner,240₹,10,8
Kerala,Kochi,PvrLuluKochi,Malayalam,09:20,Prime,125₹,108,10
Kerala,Kochi,PvrLuluKochi,Malayalam,09:20,ClassicPlus,110₹,138,9
Kerala,Kochi,PvrLuluKochi,Malayalam,09:20,Classic,89₹,69,0
Karnataka,Bangalore,PvrForumMallKoramangala,Malayalam,09:25,Recliner,250₹,12,1
Karnataka,Bangalore,PvrForumMallKoramangala,Malayalam,09:25,Classic,112₹,138,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Malayalam,09:30,Royale,220₹,9,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Malayalam,09:30,Club,160₹,70,4
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Malayalam,09:30,Executive,150₹,128,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Malayalam,09:45,Recliner,220₹,12,2
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Malayalam,09:45,Classic,112₹,150,1
Karnataka,Bangalore,BalajiDigital2KCinemaTavarekere,Malayalam,10:00,Diamond,150₹,296,189
Karnataka,Bangalore,BalajiDigital2KCinemaTavarekere,Malayalam,10:00,Gold,120₹,442,314
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Malayalam,10:00,Recliner,220₹,7,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Malayalam,10:00,Classic,112₹,63,0
Kerala,Kochi,PvrLuluGoldKochi,Malayalam,10:00,Gold,400₹,54,4
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,10:00,Platinum,100₹,230,27
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Malayalam,10:00,Recliner,220₹,7,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Malayalam,10:00,Classic,112₹,72,1
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,10:15,Normal,100₹,40,0
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,10:15,Premium,100₹,44,26
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,10:15,Executive,100₹,174,2
Kerala,Payyanur,AradhanaArchanaMovieHousePayyanur,Malayalam,10:30,Royal,110₹,532,2
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,10:30,Vip,150₹,6,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,10:30,Normal,100₹,24,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,10:30,Premium,100₹,63,2
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,10:30,Executive,100₹,23,0
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,10:35,Recliner,220₹,14,2
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,10:35,ClassicPlus,129₹,115,43
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,10:35,Classic,100₹,53,0
Kerala,Trivandrum,MtCineplex4KDolbyAtmosPothencode,Malayalam,11:00,Platinum,130₹,350,0
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,11:00,FirstClass,140₹,202,89
Telangana,Hyderabad,CinepolisCcplMall,Malayalam,11:00,Executive,150₹,121,0
Telangana,Hyderabad,CinepolisMantraMall,Malayalam,11:00,Vip,250₹,7,7
Telangana,Hyderabad,CinepolisMantraMall,Malayalam,11:00,Normal,150₹,141,0
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,11:00,Recliner,250₹,9,0
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,11:00,PlatinumClass,112₹,156,0
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,11:00,FirstClass,140₹,202,202
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Malayalam,11:00,Recliner,300₹,14,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Malayalam,11:00,Classic,150₹,140,4
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Malayalam,11:00,Prime,150₹,108,2
Karnataka,Bangalore,PvrCentralSpiritMallBellandur,Malayalam,11:05,Prime,140₹,32,0
Karnataka,Bangalore,PvrCentralSpiritMallBellandur,Malayalam,11:05,Classic,112₹,50,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:15,RoyalRecliner,200₹,14,14
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:15,Club,130₹,256,4
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:15,Royal,130₹,32,8
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:15,Executive,100₹,36,0
Telangana,Hyderabad,CinepolisCcplMall,Malayalam,11:15,Executive,150₹,126,3
Gujarat,Surat,CinepolisImperialSquareMall,Malayalam,11:30,Normal,140₹,22,0
Gujarat,Surat,CinepolisImperialSquareMall,Malayalam,11:30,Premium,140₹,33,0
Gujarat,Surat,CinepolisImperialSquareMall,Malayalam,11:30,Executive,140₹,79,0
Kerala,Kunnamkulam,RhCinemaKunnamkulam,Malayalam,11:30,Platinum,130₹,241,0
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,11:30,LittleClass,125₹,500,284
Kerala,Valanchery,KarthikaMoviesAC4KDolbyAtmos,Malayalam,11:30,ReclinerCircle,220₹,19,0
Kerala,Valanchery,KarthikaMoviesAC4KDolbyAtmos,Malayalam,11:30,UpperCircle,110₹,339,2
Kerala,Manjeri,LadderCinemasManjeri,Malayalam,11:45,Executive,150₹,126,2
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Malayalam,11:55,Recliner,220₹,12,5
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Malayalam,11:55,Classic,112₹,119,11
Karnataka,Bangalore,PvrForumMallKoramangala,Malayalam,11:55,Recliner,250₹,12,6
Karnataka,Bangalore,PvrForumMallKoramangala,Malayalam,11:55,Classic,112₹,156,23
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Malayalam,11:55,Recliner,220₹,12,5
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Malayalam,11:55,Classic,112₹,136,12
Kerala,Kochi,SaritaCinemasKochi,Malayalam,12:00,Saphire,150₹,42,42
Kerala,Kochi,SaritaCinemasKochi,Malayalam,12:00,EmeraldCircle,150₹,370,342
Kerala,Kochi,SaritaCinemasKochi,Malayalam,12:00,Ruby,150₹,821,821
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,12:00,Platinum,180₹,36,0
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,12:00,Gold,129₹,388,0
Kerala,Koottanad,SapthaTharangCinemaCityCentralMall,Malayalam,12:00,Diamond,200₹,13,0
Kerala,Koottanad,SapthaTharangCinemaCityCentralMall,Malayalam,12:00,Golden,110₹,150,0
Kerala,Kochi,PvrLuluKochi,Malayalam,12:00,Recliner,240₹,10,5
Kerala,Kochi,PvrLuluKochi,Malayalam,12:00,Prime,125₹,108,59
Kerala,Kochi,PvrLuluKochi,Malayalam,12:00,ClassicPlus,110₹,138,21
Kerala,Kochi,PvrLuluKochi,Malayalam,12:00,Classic,89₹,69,0
Karnataka,Bangalore,PvrVegaGoldBannerghattaRoad,Malayalam,12:00,GoldPrime,400₹,6,0
Karnataka,Bangalore,PvrVegaGoldBannerghattaRoad,Malayalam,12:00,Gold,350₹,24,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Malayalam,12:00,Prime,150₹,117,27
Maharashtra,Mumbai,PvrMarketCityKurlaW,Malayalam,12:00,Classic,130₹,90,0
Kerala,Chalakudy,SurabhiMovies4KChalakudy,Malayalam,12:00,Gold,129₹,625,50
Kerala,Kunnamkulam,ThavoosTheatreAC2KDolbyDigital71Kunnamkulam,Malayalam,12:00,Balcony,129₹,112,0
Kerala,Kunnamkulam,ThavoosTheatreAC2KDolbyDigital71Kunnamkulam,Malayalam,12:00,FirstClass,110₹,364,0
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,12:15,Platinum,270₹,12,0
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,12:15,Gold,129₹,405,20
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Malayalam,12:40,Club,202₹,134,4
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Malayalam,12:40,Executive,63₹,22,0
Kerala,Pattambi,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,12:45,Platinum,250₹,20,0
Kerala,Pattambi,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,12:45,Gold,150₹,185,0
Gujarat,Vadodara,CinepolisInorbitMall,Malayalam,12:50,Normal,140₹,24,0
Gujarat,Vadodara,CinepolisInorbitMall,Malayalam,12:50,Premium,140₹,26,0
Gujarat,Vadodara,CinepolisInorbitMall,Malayalam,12:50,Executive,140₹,93,0
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,13:00,FirstClass,140₹,202,89
Kerala,Kochi,PvrLuluGoldKochi,Malayalam,13:00,Gold,400₹,56,8
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,13:00,Vip,150₹,6,3
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,13:00,Normal,100₹,24,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,13:00,Premium,100₹,63,9
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,13:00,Executive,100₹,23,3
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,13:00,Platinum,100₹,230,22
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Malayalam,13:15,Gold,180₹,110,16
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Malayalam,13:15,Silver,130₹,240,15
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,13:15,Recliner,250₹,14,0
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,13:15,ClassicPlus,140₹,115,42
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,13:15,Classic,110₹,53,1
Karnataka,Bangalore,CinepolisSjrSpectrum,Malayalam,13:15,Vip,150₹,14,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Malayalam,13:15,Normal,100₹,42,0
