State,City,Name,Language,Time,Type,Price,Capacity,Booked
MadhyaPradesh,Bhopal,DdxCinemaBhopal,Hindi,09:30,Box,150₹,8,0
MadhyaPradesh,Bhopal,DdxCinemaBhopal,Hindi,09:30,Gold,100₹,89,0
UttarPradesh,PratapgarhUttarPradesh,NirmalDdPlexStationRoad,Hindi,09:45,Diamond,200₹,45,0
UttarPradesh,PratapgarhUttarPradesh,NirmalDdPlexStationRoad,Hindi,09:45,Gold,150₹,194,0
UttarPradesh,Sultanpur,ShubhamDdPlexKhairabad,Hindi,10:15,Diamond,200₹,28,0
UttarPradesh,Sultanpur,ShubhamDdPlexKhairabad,Hindi,10:15,Gold,150₹,168,0
UttarPradesh,Bulandshahr,SuncityCinemaBulandshahr,Hindi,10:30,Platinum,250₹,259,0
UttarPradesh,Bulandshahr,SuncityCinemaBulandshahr,Hindi,10:30,Gold,180₹,259,0
UttarPradesh,Mughalsarai,IpCinemasIpMughalMultiplexMughalsarai,Hindi,10:30,Diamond,200₹,5,0
UttarPradesh,Mughalsarai,IpCinemasIpMughalMultiplexMughalsarai,Hindi,10:30,Gold,150₹,194,0
UttarPradesh,Mughalsarai,IpCinemasIpMughalMultiplexMughalsarai,Hindi,10:30,Silver,100₹,105,0
WestBengal,Malda,RupkothaCinemaHallMalda,Hindi,10:30,SpecialAc,150₹,82,35
WestBengal,Malda,RupkothaCinemaHallMalda,Hindi,10:30,DressCircle,80₹,99,59
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,11:00,Recliner,300₹,24,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,11:00,Prime,140₹,146,102
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,11:00,Classic,110₹,46,0
Chhattisgarh,Rajnandgaon,EosSilverScreenMultiplexRajnandgaon,Hindi,11:30,Platinum,120₹,89,15
UttarPradesh,Ghaziabad,ApsaraCinemaGhaziabad,Hindi,12:00,Gold,110₹,340,146
UttarPradesh,Jaunpur,KewalDdPlexRizwikhan,Hindi,12:00,Diamond,200₹,33,0
UttarPradesh,Jaunpur,KewalDdPlexRizwikhan,Hindi,12:00,Gold,150₹,128,0
Maharashtra,Gondia,PlatinumPlazaPalChowk,Hindi,12:15,Gold,150₹,52,0
Maharashtra,Gondia,PlatinumPlazaPalChowk,Hindi,12:15,Platinum,150₹,62,0
WestBengal,Jalpaiguri,CinebazzUkilpara,Hindi,13:00,Regular,80₹,11,0
WestBengal,Jalpaiguri,CinebazzUkilpara,Hindi,13:00,Premium,80₹,55,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,13:10,Classic,230₹,78,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,13:10,Classic,230₹,78,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,13:10,Classic,250₹,89,84
WestBengal,Kolkata,SurendraTheatre,Hindi,13:30,DressCircle,110₹,24,4
WestBengal,Kolkata,SurendraTheatre,Hindi,13:30,Balcony,50₹,46,0
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,13:45,Recliner,400₹,12,4
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,13:45,Executive,200₹,26,8
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,13:45,Silver,150₹,46,9
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Hindi,14:30,Balcony,100₹,144,80
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Hindi,14:30,RearStall,80₹,502,148
WestBengal,Jalpaiguri,CinebazzUkilpara,Hindi,16:00,Regular,80₹,11,0
WestBengal,Jalpaiguri,CinebazzUkilpara,Hindi,16:00,Premium,80₹,55,0
UttarPradesh,Ghaziabad,PvrOpulentGhaziabad,Hindi,16:30,Recliner,320₹,8,8
UttarPradesh,Ghaziabad,PvrOpulentGhaziabad,Hindi,16:30,Prime,200₹,108,18
UttarPradesh,Ghaziabad,PvrOpulentGhaziabad,Hindi,16:30,Classic,170₹,111,50
UttarPradesh,Ghaziabad,PvrEdmGhaziabad,Hindi,16:40,Classic,180₹,187,154
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Hindi,17:00,Gold,200₹,100,0
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Hindi,17:00,Silver,170₹,100,0
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Hindi,17:00,Seasonal,110₹,100,0
MadhyaPradesh,Bhopal,DdxCinemaBhopal,Hindi,17:00,Box,150₹,8,0
MadhyaPradesh,Bhopal,DdxCinemaBhopal,Hindi,17:00,Gold,110₹,89,0
Chhattisgarh,Rajnandgaon,EosSilverScreenMultiplexRajnandgaon,Hindi,17:30,Platinum,120₹,89,15
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,17:55,Recliner,450₹,20,10
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,17:55,Prime,300₹,111,67
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,17:55,PrimePlus,300₹,42,42
Delhi,DelhiNcr,PvrPacificSubhashNagar,Hindi,17:55,Classic,250₹,36,7
HimachalPradesh,Palampur,PearlNovaCinemaKasoti,Hindi,18:00,Platinum,220₹,24,0
HimachalPradesh,Palampur,PearlNovaCinemaKasoti,Hindi,18:00,Gold,160₹,126,0
HimachalPradesh,Palampur,PearlNovaCinemaKasoti,Hindi,18:00,Silver,100₹,28,27
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Hindi,18:30,FirstClass,60₹,100,0
Maharashtra,Rahuri,VitthaMadhavPicturePalace,Hindi,18:30,SecondClass,50₹,100,0
WestBengal,Jalpaiguri,CinebazzUkilpara,Hindi,19:00,Regular,80₹,11,0
WestBengal,Jalpaiguri,CinebazzUkilpara,Hindi,19:00,Premium,80₹,55,0
HimachalPradesh,Palampur,PearlNovaCinemaKasoti,Hindi,20:30,Platinum,220₹,100,0
HimachalPradesh,Palampur,PearlNovaCinemaKasoti,Hindi,20:30,Gold,160₹,100,0
HimachalPradesh,Palampur,PearlNovaCinemaKasoti,Hindi,20:30,Silver,100₹,100,0
Maharashtra,Gondia,PlatinumPlazaPalChowk,Hindi,21:15,Gold,150₹,52,0
Maharashtra,Gondia,PlatinumPlazaPalChowk,Hindi,21:15,Platinum,150₹,62,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,Hindi,21:40,Prime,450₹,34,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,Hindi,21:40,Classic,400₹,50,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,Hindi,21:40,Classic,300₹,50,50
Delhi,DelhiNcr,PvrPromenadeVasantKunj,Hindi,21:40,Prime,300₹,34,29
