City,Name,Language,Time,Type,Price,Capacity,Booked
Nagpur,InoxJaswantTuliMallKampteeRoad,Marathi,09:00,Club,90₹,240,4
Nagpur,InoxJaswantTuliMallKampteeRoad,Marathi,09:00,Executive,90₹,68,0
Nagpur,SudamaTheatreNagpur,Marathi,09:00,Balcony,150₹,100,0
Nagpur,SudamaTheatreNagpur,Marathi,09:00,DressCircle,100₹,100,0
Nagpur,SudamaTheatreNagpur,Marathi,09:00,ReserveClass,80₹,100,0
Gurgaon,PvrMgfMallGurgaon,Marathi,10:05,Recliner,275₹,8,0
Gurgaon,PvrMgfMallGurgaon,Marathi,10:05,Classic,175₹,72,0
Gurgaon,PvrMgfMallGurgaon,Marathi,10:05,Prime,175₹,39,0
Mumbai,CinepolisVivianaMall,Marathi,10:10,Normal,140₹,25,0
Mumbai,CinepolisVivianaMall,Marathi,10:10,Premium,140₹,43,27
Mumbai,CinepolisVivianaMall,Marathi,10:10,Executive,140₹,97,8
Pune,PvrIconPavillionMallShivajinagar,Marathi,11:00,Recliner,400₹,8,2
Pune,PvrIconPavillionMallShivajinagar,Marathi,11:00,Classic,200₹,28,0
Pune,PvrIconPavillionMallShivajinagar,Marathi,11:00,Prime,200₹,134,20
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,11:50,Recliner,190₹,12,2
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,11:50,Prime,110₹,108,0
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,11:50,Classic,100₹,36,0
Nagpur,CarnivalSangamNagpur,Marathi,12:15,Gold,150₹,368,1
Nagpur,CarnivalSangamNagpur,Marathi,12:15,Silver,130₹,84,0
Nashik,CinemaxCityCenterNasik,Marathi,12:30,Recliner,260₹,14,12
Nashik,CinemaxCityCenterNasik,Marathi,12:30,Prime,140₹,139,44
Nashik,CinemaxCityCenterNasik,Marathi,12:30,Classic,120₹,34,1
Goa,InoxOsiaGWingMargao,Marathi,12:55,Royale,170₹,57,0
Goa,InoxOsiaGWingMargao,Marathi,12:55,Club,150₹,131,0
Goa,InoxOsiaGWingMargao,Marathi,12:55,Executive,112₹,28,0
Mumbai,CinepolisAndheri,Marathi,13:00,Platinum,170₹,26,4
Mumbai,CinepolisAndheri,Marathi,13:00,Premium,120₹,32,2
Mumbai,CinepolisAndheri,Marathi,13:00,Normal,100₹,32,0
Mumbai,CinepolisAndheri,Marathi,13:00,Executive,100₹,96,2
Latur,PvrLatur,Marathi,13:10,ClassicPlus,110₹,219,2
Latur,PvrLatur,Marathi,13:10,Classic,110₹,44,0
Latur,PvrLatur,Marathi,13:10,Prime,110₹,98,3
Mumbai,InoxThakurMallDahisarE,Marathi,13:10,Gold,230₹,31,0
Mumbai,InoxThakurMallDahisarE,Marathi,13:10,Executive,140₹,69,0
Mumbai,InoxThakurMallDahisarE,Marathi,13:10,Premier,140₹,280,5
Pune,InoxBundGarden,Marathi,13:15,DressCircle,140₹,194,4
Pune,InoxBundGarden,Marathi,13:15,Galleria,112₹,55,2
Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,13:20,Club,140₹,84,2
Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,13:20,Executive,140₹,28,0
Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,13:20,Royale,140₹,21,4
Mumbai,PvrDynamicJuhu,Marathi,13:25,Classic,140₹,84,0
Mumbai,PvrDynamicJuhu,Marathi,13:25,Prime,140₹,219,21
Mumbai,CinepolisVipVivianaMall,Marathi,13:30,Vip,400₹,74,4
Mumbai,MovietimeHubMallGoregaonE,Marathi,13:30,Gold,120₹,196,26
Mumbai,MovietimeStarCityMatungaW,Marathi,13:30,Premium,100₹,366,2
Mumbai,CinepolisVivianaMall,Marathi,13:50,Normal,180₹,25,0
Mumbai,CinepolisVivianaMall,Marathi,13:50,Premium,180₹,43,24
Mumbai,CinepolisVivianaMall,Marathi,13:50,Executive,180₹,97,20
Mumbai,MaxusCinemasKurla,Marathi,14:00,Royal,200₹,100,0
Aurangabad,InoxRelianceMallAurangabad,Marathi,14:10,RoyaleRecliners,300₹,31,0
Aurangabad,InoxRelianceMallAurangabad,Marathi,14:10,Club,130₹,116,0
Aurangabad,InoxRelianceMallAurangabad,Marathi,14:10,Royale,130₹,36,11
Aurangabad,InoxRelianceMallAurangabad,Marathi,14:10,Executive,112₹,54,0
Pune,PvrIconPavillionMallShivajinagar,Marathi,14:40,Recliner,500₹,8,6
Pune,PvrIconPavillionMallShivajinagar,Marathi,14:40,Classic,250₹,28,0
Pune,PvrIconPavillionMallShivajinagar,Marathi,14:40,Prime,250₹,134,29
Ambernath,StarMirajCinemasAmbernath,Marathi,15:00,Platinum,130₹,70,6
Pune,AlakaTalkiesSadashivPeth,Marathi,15:00,Balcony,100₹,100,0
Pune,AlakaTalkiesSadashivPeth,Marathi,15:00,Stall,90₹,100,0
Mumbai,BharatChitraMandirKurlaW,Marathi,15:00,Sofa,150₹,100,0
Mumbai,BharatChitraMandirKurlaW,Marathi,15:00,Premium,100₹,100,0
Mumbai,CinepolisSeawoodsLT,Marathi,15:00,Vip,420₹,14,0
Mumbai,CinepolisSeawoodsLT,Marathi,15:00,Premium,220₹,36,9
Mumbai,CinepolisSeawoodsLT,Marathi,15:00,Executive,200₹,66,0
Mumbai,CinepolisSeawoodsLT,Marathi,15:00,Normal,180₹,30,0
Mumbai,PlazaCinemaDadarW,Marathi,15:00,BoxSofa,400₹,25,0
Mumbai,PlazaCinemaDadarW,Marathi,15:00,Sofa,350₹,54,5
Mumbai,PlazaCinemaDadarW,Marathi,15:00,Platinum,180₹,208,34
Mumbai,PlazaCinemaDadarW,Marathi,15:00,Gold,150₹,161,25
Mumbai,PlazaCinemaDadarW,Marathi,15:00,Silver,130₹,184,0
Mumbai,CarnivalRMallMulundW,Marathi,15:10,ReclinerOffline,200₹,13,9
Mumbai,CarnivalRMallMulundW,Marathi,15:10,GoldOffline,130₹,114,18
Mumbai,CarnivalRMallMulundW,Marathi,15:10,SilverOffline,110₹,95,0
Mumbai,CarnivalRMallMulundW,Marathi,15:10,SpecialOffline,110₹,18,0
Mumbai,CinepolisVivianaMall,Marathi,15:15,Normal,180₹,25,0
Mumbai,CinepolisVivianaMall,Marathi,15:15,Premium,180₹,43,38
Mumbai,CinepolisVivianaMall,Marathi,15:15,Executive,180₹,97,13
Surat,PvrRahulRajMallDumasRoad,Marathi,15:20,Recliner,360₹,24,0
Surat,PvrRahulRajMallDumasRoad,Marathi,15:20,Prime,180₹,87,19
Surat,PvrRahulRajMallDumasRoad,Marathi,15:20,ClassicPlus,160₹,30,15
Surat,PvrRahulRajMallDumasRoad,Marathi,15:20,Classic,140₹,30,0
Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,15:20,Executive,112₹,40,0
Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,15:20,Premier,112₹,160,2
Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,15:20,Silver,112₹,81,4
Kalyan,InoxMetroJunctionMallKalyan,Marathi,15:30,Gold,270₹,19,13
Mumbai,PvrGrowelsKandivaliE,Marathi,15:30,Classic,150₹,32,0
Mumbai,PvrGrowelsKandivaliE,Marathi,15:30,Prime,150₹,164,29
Mumbai,PvrOrionPanvel,Marathi,15:30,PrimePlus,210₹,34,4
Mumbai,PvrOrionPanvel,Marathi,15:30,Prime,180₹,115,26
Mumbai,PvrOrionPanvel,Marathi,15:30,Classic,160₹,28,0
Ahmedabad,PvrArvedTranscube,Marathi,15:30,Classic,130₹,39,0
Ahmedabad,PvrArvedTranscube,Marathi,15:30,Prime,130₹,96,19
Pune,PvrMarketCityVimanNagar,Marathi,15:35,PrimePlus,250₹,10,4
Pune,PvrMarketCityVimanNagar,Marathi,15:35,Classic,180₹,52,4
Pune,PvrMarketCityVimanNagar,Marathi,15:35,Prime,180₹,119,18
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,15:40,ReclinerOffline,200₹,16,8
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,15:40,PlatinumOffline,160₹,112,4
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,15:40,GoldOffline,140₹,65,5
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,15:40,SilverOffline,120₹,48,0
Mumbai,CarnivalAnnexMallBorivali,Marathi,15:45,Silver,150₹,115,5
Mumbai,CarnivalAnnexMallBorivali,Marathi,15:45,Premier,130₹,80,2
Mumbai,MaxusCinemasBorivaliW,Marathi,15:45,Sofa,199₹,100,0
Mumbai,MaxusCinemasBorivaliW,Marathi,15:45,PremiumPlus,149₹,100,0
Mumbai,MaxusCinemasBorivaliW,Marathi,15:45,Premium,112₹,100,0
Pune,CinepolisSeasonsMall,Marathi,15:50,Premium,240₹,40,1
Pune,CinepolisSeasonsMall,Marathi,15:50,Normal,220₹,23,0
Pune,CinepolisSeasonsMall,Marathi,15:50,Executive,220₹,52,1
Mumbai,PvrIconOberoiGoregaonE,Marathi,15:50,Recliner,310₹,34,3
Mumbai,PvrIconOberoiGoregaonE,Marathi,15:50,Prime,190₹,156,11
Mumbai,PvrIconOberoiGoregaonE,Marathi,15:50,Classic,110₹,47,0
Noida,PvrLogixCityCentreNoida,Marathi,15:55,Classic,250₹,76,0
Nandurbar,MirajCinemasNandurbar,Marathi,16:00,Gold,250₹,15,0
Nandurbar,MirajCinemasNandurbar,Marathi,16:00,Executive,130₹,222,0
Nandurbar,MirajCinemasNandurbar,Marathi,16:00,Special,100₹,34,0
Pune,CinepolisWestendMall,Marathi,16:00,Normal,280₹,21,0
Pune,CinepolisWestendMall,Marathi,16:00,Premium,280₹,45,31
Pune,CinepolisWestendMall,Marathi,16:00,Executive,280₹,48,16
Chandrapur,MirajCinemaChandrapur,Marathi,16:00,Gold,130₹,30,3
Chandrapur,MirajCinemaChandrapur,Marathi,16:00,Special,130₹,70,0
