State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,16:15,Recliner,650₹,8,2
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,16:15,Classic,350₹,28,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,16:15,Prime,350₹,148,35
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,16:35,Vip,440₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,16:35,Premium,240₹,20,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,16:35,Executive,220₹,57,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,16:35,Normal,200₹,17,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,19:55,Premium,250₹,46,31
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,19:55,Executive,230₹,104,10
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,19:55,Normal,210₹,27,0
