State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Latur,PvrLatur,Marathi,11:15,ClassicPlus,110₹,219,0
Maharashtra,Latur,PvrLatur,Marathi,11:15,Classic,110₹,44,0
Maharashtra,Latur,PvrLatur,Marathi,11:15,Prime,110₹,98,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,12:45,Prime,250₹,166,25
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,12:45,Classic,180₹,56,0
Maharashtra,Ambernath,StarMirajCinemasAmbernath,Marathi,13:00,Platinum,160₹,193,3
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,13:00,Royale,210₹,71,11
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,13:00,Club,190₹,85,2
Maharashtra,Pune,InoxElproCitySquarePune,Marathi,13:00,Executive,170₹,34,0
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Marathi,13:15,Gold,150₹,197,0
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Marathi,13:15,Silver,130₹,40,0
Maharashtra,Mumbai,MirajAnupamCinemasGoregaon,Marathi,13:15,Gold,100₹,217,8
Maharashtra,Mumbai,MirajAnupamCinemasGoregaon,Marathi,13:15,Executive,100₹,28,0
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,13:15,PrimePlus,190₹,34,0
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,13:15,Prime,170₹,115,19
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,13:15,Classic,130₹,28,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Marathi,13:40,Club,230₹,129,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Marathi,13:40,Royale,230₹,81,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Marathi,13:40,Executive,210₹,30,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,13:45,PrimePlus,290₹,10,4
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,13:45,Prime,220₹,118,16
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,13:45,Classic,200₹,51,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,13:45,PrimePlus,290₹,10,2
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,13:45,Prime,220₹,119,5
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,13:45,Classic,200₹,52,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,14:00,ReclinerOffline,200₹,12,2
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,14:00,GoldOffline,130₹,140,2
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,14:00,SilverOffline,110₹,80,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,14:00,SpecialOffline,110₹,40,0
Maharashtra,Mumbai,CarnivalImaxWadala,Marathi,14:25,PremiumOffline,140₹,54,0
Maharashtra,Mumbai,CarnivalImaxWadala,Marathi,14:25,GoldOffline,110₹,84,0
Maharashtra,Mumbai,CarnivalImaxWadala,Marathi,14:25,PlatinumOffline,110₹,218,0
Maharashtra,Mumbai,CarnivalImaxWadala,Marathi,14:25,PremiumOffline,150₹,54,0
Maharashtra,Mumbai,CarnivalImaxWadala,Marathi,14:25,GoldOffline,120₹,84,0
Maharashtra,Mumbai,CarnivalImaxWadala,Marathi,14:25,PlatinumOffline,120₹,218,1
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,14:40,ClassicPlus,110₹,120,17
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,14:40,Classic,110₹,51,0
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,14:40,Prime,110₹,55,7
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,14:50,Mhraja,150₹,44,6
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,14:55,Club,140₹,114,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,14:55,Executive,140₹,42,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,14:55,Royal,140₹,53,0
Maharashtra,Solapur,CarnivalBhagwatSolapur,Marathi,15:15,Platinum,140₹,92,0
Maharashtra,Solapur,CarnivalBhagwatSolapur,Marathi,15:15,Gold,120₹,114,0
Maharashtra,Solapur,CarnivalBhagwatSolapur,Marathi,15:15,Silver,100₹,76,0
Maharashtra,Solapur,CarnivalBhagwatSolapur,Marathi,15:15,Platinum,140₹,92,2
Maharashtra,Solapur,CarnivalBhagwatSolapur,Marathi,15:15,Gold,120₹,114,5
Maharashtra,Solapur,CarnivalBhagwatSolapur,Marathi,15:15,Silver,100₹,76,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,15:35,Vip,400₹,10,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,15:35,Normal,150₹,36,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,15:35,Executive,150₹,71,3
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,15:40,Normal,200₹,29,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,15:40,Premium,200₹,34,2
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,15:40,Executive,200₹,79,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,16:00,Sofa,180₹,17,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,16:00,Silver,150₹,42,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,16:00,Gold,150₹,128,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Marathi,16:00,Prime,320₹,155,155
Maharashtra,Mumbai,PvrMarketCityKurlaW,Marathi,16:00,Classic,280₹,85,85
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,16:15,Royale,330₹,6,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,16:15,Club,200₹,231,1
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,16:15,Executive,200₹,32,0
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,16:15,Gold,120₹,100,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Marathi,16:15,Premier,210₹,179,2
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Marathi,16:15,Execuitve,200₹,37,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Marathi,16:15,Silver,200₹,105,6
Maharashtra,Pune,CinepolisWestendMall,Marathi,16:40,Normal,250₹,23,0
Maharashtra,Pune,CinepolisWestendMall,Marathi,16:40,Premium,250₹,49,11
Maharashtra,Pune,CinepolisWestendMall,Marathi,16:40,Executive,250₹,63,2
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,16:45,Recliner,400₹,8,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,16:45,Prime,250₹,148,14
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,16:45,Classic,230₹,28,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,16:45,Recliner,400₹,8,8
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,16:45,Prime,250₹,148,28
