State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,09:30,Platinum,150₹,110,26
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,09:30,GoldOffline,130₹,188,0
Kerala,Kariyad,CarnivalCinemasKariyad,Malayalam,09:40,GoldLounge,270₹,32,6
Kerala,Kariyad,CarnivalCinemasKariyad,Malayalam,09:40,ExecutiveOffline,140₹,96,6
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,09:40,Silver,210₹,103,6
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,09:40,ExecutiveOffline,180₹,72,3
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,09:40,NormalOffline,100₹,18,0
Kerala,Kollam,CarnivalRpMallKollam,Malayalam,10:00,PremiumOffline,150₹,108,21
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,Recliner,290₹,14,7
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,Prime,160₹,125,48
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,ClassicPlus,140₹,108,12
Kerala,Kochi,PvrLuluKochi,Malayalam,10:00,Classic,110₹,54,1
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,10:00,Platinum,100₹,111,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:10,RoyalRecliner,270₹,10,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:10,Royal,170₹,20,17
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:10,Club,140₹,155,5
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:10,Executive,110₹,26,0
Kerala,Kanhangad,DeepthiCinemasAC2KDolbyAtmosKanhangad,Malayalam,10:15,GoldClass,140₹,143,0
Kerala,Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,10:20,ClassicOffline,150₹,118,16
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,10:30,GoldOffline,350₹,13,0
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,10:30,SilverOffline,180₹,151,30
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,10:30,ExecutiveOffline,100₹,13,0
TamilNadu,Chennai,PvrAmpaSkywalkMallAminjikarai,Malayalam,10:55,Prime,189₹,116,8
