State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Payyanur,AradhanaArchanaMovieHousePayyanur,Malayalam,10:30,Royal,110₹,532,0
Kerala,Ponnani,AlankarCinemasACPonnani,Malayalam,11:00,Diamond,120₹,153,32
Kerala,Valanchery,SreekumarAndPavithraTheatreAC2K,Malayalam,11:30,FirstClass,110₹,161,0
Kerala,Kochi,SaritaCinemasKochi,Malayalam,12:00,BlueCircle,150₹,227,218
Kerala,Kochi,SaritaCinemasKochi,Malayalam,12:00,BlueCircle,150₹,227,218
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,13:00,Platinum,270₹,5,0
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,13:00,Gold,129₹,239,60
Kerala,Payyanur,AradhanaArchanaMovieHousePayyanur,Malayalam,13:30,Royal,110₹,532,0
Kerala,Manjeri,LadderCinemasManjeri,Malayalam,16:30,Executive,150₹,80,25
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,16:35,ClassicPlus,190₹,81,68
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,16:35,Classic,140₹,36,7
Telangana,Hyderabad,InoxGsmMallHyderabad,Malayalam,17:30,Royal,250₹,8,2
Telangana,Hyderabad,InoxGsmMallHyderabad,Malayalam,17:30,Executive,150₹,98,15
Telangana,Hyderabad,PvrIrrumManzilKhairatabad,Malayalam,17:40,Recliner,250₹,10,9
Telangana,Hyderabad,PvrIrrumManzilKhairatabad,Malayalam,17:40,Classic,150₹,94,24
Maharashtra,Mumbai,PvrMarketCityKurlaW,Malayalam,18:45,Prime,220₹,155,21
Maharashtra,Mumbai,PvrMarketCityKurlaW,Malayalam,18:45,Classic,190₹,85,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,19:00,RoyalRecliner,350₹,10,10
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,19:00,Club,190₹,66,42
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,19:00,Royal,190₹,13,12
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,19:00,Executive,130₹,22,2
Kerala,Kochi,PvrLuluKochi,Malayalam,19:25,Recliner,350₹,9,8
Kerala,Kochi,PvrLuluKochi,Malayalam,19:25,Prime,190₹,64,48
Kerala,Kochi,PvrLuluKochi,Malayalam,19:25,ClassicPlus,160₹,91,60
Kerala,Kochi,PvrLuluKochi,Malayalam,19:25,Classic,140₹,39,0
Kerala,Payyanur,AradhanaArchanaMovieHousePayyanur,Malayalam,19:30,Royal,110₹,532,3
Kerala,Kottarakkara,MinervaCinemazACDts,Malayalam,20:30,Executive,200₹,13,5
Kerala,Kottarakkara,MinervaCinemazACDts,Malayalam,20:30,Diamond,140₹,210,71
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,21:15,Mini,125₹,250,152
Karnataka,Bangalore,CinepolisSjrSpectrum,Malayalam,22:20,Vip,300₹,12,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Malayalam,22:20,Normal,180₹,28,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Malayalam,22:20,Premium,180₹,41,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Malayalam,22:20,Executive,180₹,59,0
