State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,CarnivalSaltLake,Bengali,10:50,Silver,89₹,190,2
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,12:00,Royale,300₹,9,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,12:00,Club,130₹,232,2
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,12:00,Executive,130₹,51,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,12:00,Royal,300₹,14,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,12:00,Premier,112₹,36,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,12:00,Silver,112₹,146,3
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,12:00,Prime,290₹,11,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,12:00,Classic,190₹,200,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,12:05,Vip,380₹,12,2
WestBengal,Kolkata,CinepolisLakeMall,Bengali,12:05,Premium,190₹,20,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,12:05,Executive,170₹,186,4
WestBengal,Kolkata,CinepolisLakeMall,Bengali,12:05,Normal,150₹,37,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,12:10,DressCircle,140₹,140,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,12:10,Galleria,140₹,49,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,12:10,Royale,140₹,30,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,12:20,Recliner,350₹,12,2
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,12:20,Prime,180₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,12:20,Classic,130₹,189,0
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,14:05,Club,140₹,159,0
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,14:05,Executive,140₹,69,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:30,Silver,220₹,157,3
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:30,Premier,200₹,34,0
Tripura,Agartala,RupasiCinemaAgartala,Bengali,14:45,Recliners,350₹,16,0
Tripura,Agartala,RupasiCinemaAgartala,Bengali,14:45,GoldClass,150₹,205,73
WestBengal,Arambagh,SudhanilCinemaHall,Bengali,15:00,Balcony,40₹,400,86
WestBengal,Arambagh,SudhanilCinemaHall,Bengali,15:00,RearStall,30₹,434,63
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,15:15,Silver,110₹,192,4
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,15:15,Gold,110₹,36,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Bengali,15:15,Premium,110₹,84,0
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,16:20,Club,140₹,229,3
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,16:20,Executive,140₹,42,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,16:20,Royal,140₹,16,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,16:20,Club,112₹,134,1
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,16:20,Executive,112₹,32,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:45,Royal,300₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:45,Premier,140₹,55,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,16:45,Silver,140₹,198,2
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:45,Royal,180₹,63,2
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:45,Club,140₹,95,9
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:45,Executive,140₹,30,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:50,RoyalRecliner,390₹,8,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:50,Royal,230₹,28,0
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:50,Club,220₹,112,1
WestBengal,Kolkata,InoxQuestMallBallygunge,Bengali,16:50,Executive,180₹,24,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,17:00,Premium,180₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,17:00,Executive,160₹,134,3
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,17:00,Normal,140₹,34,0
