State,City,Name,Language,Time,Type,Price,Capacity,Booked
UttarPradesh,Ghaziabad,JamMultiplexShipraMallInox,English,09:00,Executive,200₹,181,1
UttarPradesh,Ghaziabad,JamMultiplexShipraMallInox,English,09:00,Classic,180₹,120,0
Maharashtra,Pune,InoxElproCitySquarePune,English,09:05,Royale,190₹,45,0
Maharashtra,Pune,InoxElproCitySquarePune,English,09:05,Club,170₹,78,0
Maharashtra,Pune,InoxElproCitySquarePune,English,09:05,Executive,170₹,26,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Vip,420₹,13,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Premium,220₹,57,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Executive,200₹,70,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,English,09:10,Normal,180₹,32,0
Goa,Goa,InoxOldGmcDbRoad,English,09:35,Royal,190₹,95,0
Goa,Goa,InoxOldGmcDbRoad,English,09:35,Club,180₹,90,0
Goa,Goa,InoxOldGmcDbRoad,English,09:35,Executive,180₹,36,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,09:40,Royale,200₹,37,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,09:40,Club,190₹,98,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Hindi,09:40,Executive,190₹,24,0
Gujarat,Ahmedabad,TimeCinemaAhmedabadCgSquareMall,English,09:50,Sofa220,220₹,84,0
Maharashtra,Mumbai,InoxAtriaMallWorli,English,10:00,Insignia,420₹,30,0
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,10:00,Royale,220₹,100,0
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,10:00,Club,200₹,128,2
Chandigarh,Chandigarh,PvrElanteMallChandigarh,English,10:00,Recliner,500₹,26,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,English,10:00,Classic,230₹,157,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,10:00,Kiddles,180₹,53,0
Gujarat,Ahmedabad,PvrArvedTranscube,Hindi,10:00,Classic,180₹,39,0
Gujarat,Ahmedabad,PvrArvedTranscube,Hindi,10:00,Prime,180₹,96,13
Maharashtra,Pune,InoxBundGarden,English,10:10,Royale,320₹,34,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,10:10,Recliner,289₹,6,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,10:10,Classic,189₹,108,0
Haryana,Gurgaon,PvrMgfMallGurgaon,English,10:10,Prime,189₹,90,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,10:15,Recliner,300₹,8,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,10:15,Classic,140₹,34,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,10:15,Prime,140₹,100,16
Delhi,DelhiNcr,PvrSelectCityWalkGoldSaket,English,10:30,DboxPlatinum,700₹,16,0
Delhi,DelhiNcr,PvrSelectCityWalkGoldSaket,English,10:30,Platinum,400₹,24,0
Maharashtra,Mumbai,PvrGrowelsKandivaliE,English,10:30,Classic,130₹,32,0
Maharashtra,Mumbai,PvrGrowelsKandivaliE,English,10:30,Prime,130₹,164,17
Punjab,Ludhiana,PvrPavilionMallLudhiana,English,10:30,Prime,149₹,10,4
Punjab,Ludhiana,PvrPavilionMallLudhiana,English,10:30,Classic,99₹,231,0
Maharashtra,Pune,CinepolisSeasonsMall,English,10:30,Normal,170₹,29,0
Maharashtra,Pune,CinepolisSeasonsMall,English,10:30,Premium,170₹,35,2
Maharashtra,Pune,CinepolisSeasonsMall,English,10:30,Executive,170₹,83,0
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,10:35,Normal,200₹,42,0
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,10:35,Premium,200₹,32,0
Delhi,DelhiNcr,CinepolisDlfAvenue,Hindi,10:35,Executive,200₹,56,0
Karnataka,Bangalore,CinepolisEtaNammaMall,English,10:35,Normal,150₹,9,0
Karnataka,Bangalore,CinepolisEtaNammaMall,English,10:35,Premium,150₹,33,2
Karnataka,Bangalore,CinepolisEtaNammaMall,English,10:35,Executive,150₹,81,0
Maharashtra,Mumbai,PvrMarketCityGoldKurlaW,English,10:45,GoldPremium,420₹,22,11
Maharashtra,Mumbai,PvrMarketCityGoldKurlaW,English,10:45,GoldStar,380₹,55,0
Maharashtra,Pune,PvrMarketCityGoldVimanNagar,English,10:45,GoldPrime,500₹,22,0
Maharashtra,Pune,PvrMarketCityGoldVimanNagar,English,10:45,GoldClassic,450₹,24,8
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,10:50,Insignia,370₹,42,0
Haryana,Gurgaon,PvrMegaMallGurgaon,English,11:00,Recliner,289₹,13,0
Haryana,Gurgaon,PvrMegaMallGurgaon,English,11:00,Classic,189₹,72,0
Haryana,Gurgaon,PvrMegaMallGurgaon,English,11:00,Prime,189₹,42,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,English,11:00,RoyalRecliner,300₹,15,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,English,11:00,Royal,180₹,66,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,English,11:00,Club,160₹,139,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,English,11:00,Executive,140₹,30,0
Haryana,Gurgaon,PvrAmbienceGurgaon,English,11:10,ClassicNormal,200₹,84,0
Haryana,Gurgaon,PvrAmbienceGurgaon,English,11:10,Prime,200₹,38,2
Gujarat,Surat,PvrRahulRajPlayHouseDumasRoad,Hindi,11:15,Recliner,320₹,20,5
Gujarat,Surat,PvrRahulRajPlayHouseDumasRoad,Hindi,11:15,Prime,180₹,111,11
Gujarat,Surat,PvrRahulRajPlayHouseDumasRoad,Hindi,11:15,Classic,180₹,26,0
Gujarat,Surat,PvrRahulRajPlayHouseDumasRoad,Hindi,11:15,ClassicPlus,180₹,12,0
