City,Name,Language,Time,Type,Price,Capacity,Booked
Hyderabad,PlatinumCinemasGachibowli,Telugu,09:00,PlatinumPremiumRecliner,350₹,18,0
Hyderabad,PlatinumCinemasGachibowli,Telugu,09:00,PlatinumRecliners,350₹,32,0
Hyderabad,PvrRkCineplexHyderabad,Telugu,09:50,Recliner,250₹,22,4
Hyderabad,PvrRkCineplexHyderabad,Telugu,09:50,Classic,150₹,248,0
Hyderabad,PvrInorbitCyberabad,Telugu,10:00,Classic,150₹,161,15
Hyderabad,PvrIrrumManzilKhairatabad,Telugu,10:00,Recliner,250₹,10,2
Hyderabad,PvrIrrumManzilKhairatabad,Telugu,10:00,Classic,150₹,94,14
Hyderabad,PvrKukatpallyHyderabad,Telugu,10:00,Recliner,250₹,12,0
Hyderabad,PvrKukatpallyHyderabad,Telugu,10:00,Classic,150₹,232,58
Visakhapatnam,InoxCmrCentralMaddilapalem,Telugu,10:00,Executive,177₹,151,4
Hyderabad,MirajShaliniShivaniCinemasKothapet,Telugu,10:00,Executive,200₹,94,2
Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,10:10,Classic,150₹,144,17
Bangalore,PvrForumMallKoramangala,Telugu,10:15,Classic,112₹,154,3
Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Telugu,10:20,Recliner,220₹,12,0
Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Telugu,10:20,Classic,112₹,119,0
Visakhapatnam,InoxVizagChitralayaaMall,Telugu,10:20,Executive,177₹,116,2
Hyderabad,InoxGvkOneBanjaraHills,Telugu,10:30,Royal,250₹,7,1
Hyderabad,InoxGvkOneBanjaraHills,Telugu,10:30,Executive,150₹,123,2
Visakhapatnam,InoxVarunBeachBeachRoad,Telugu,10:35,Excutive,177₹,130,0
Hyderabad,PvrIconHitechMadhapur,Telugu,10:40,Classic,150₹,140,21
Madanapalle,SaiChitraTheatreACRamGopalNaiduColony,Telugu,11:00,Reserved,112₹,266,0
Madanapalle,SaiChitraTheatreACRamGopalNaiduColony,Telugu,11:00,First,112₹,162,0
Madanapalle,SaiChitraTheatreACRamGopalNaiduColony,Telugu,11:00,Second,89₹,118,0
Visakhapatnam,KameswariDolbyAtmosAndKinneraTheatre,Telugu,11:00,PremiumCl,145₹,301,101
Visakhapatnam,KameswariDolbyAtmosAndKinneraTheatre,Telugu,11:00,NonPremiumCl,100₹,126,0
Visakhapatnam,Sarada4KVizag,Telugu,11:00,PremiumClass,145₹,231,205
Visakhapatnam,Sarada4KVizag,Telugu,11:00,NonPremiumClass,100₹,178,178
Visakhapatnam,SriLakshminarasimhaPicturePalace,Telugu,11:00,Premium,145₹,162,108
Visakhapatnam,SriLakshminarasimhaPicturePalace,Telugu,11:00,NonPremium,100₹,63,63
Suryapet,NavyaTheatreSuryapet,Telugu,11:00,UpperBalcony,100₹,225,159
Suryapet,NavyaTheatreSuryapet,Telugu,11:00,LowerBalcony,100₹,183,183
Suryapet,NavyaTheatreSuryapet,Telugu,11:00,SecondClass,70₹,130,104
Anakapalle,SriSairamMovieLandAnakapalle,Telugu,11:00,Balcony,147₹,279,0
Anakapalle,SriSairamMovieLandAnakapalle,Telugu,11:00,SecondClass,147₹,67,0
Anakapalle,SriSairamMovieLandAnakapalle,Telugu,11:00,ThirdClass,100₹,94,0
Eluru,VMaxEluru,Telugu,11:00,Recliner,250₹,25,17
Eluru,VMaxEluru,Telugu,11:00,FristClass,150₹,173,80
Eluru,VMaxEluru,Telugu,11:00,LowClass,50₹,46,0
Srikakulam,KinneraComplexSrikakulam,Telugu,11:00,Premium,147₹,159,37
Srikakulam,KinneraComplexSrikakulam,Telugu,11:00,NonPremium,100₹,100,2
Bobbili,TbrCinemasBobbili,Telugu,11:00,Platinum,112₹,256,0
Bobbili,TbrCinemasBobbili,Telugu,11:00,Silver,90₹,79,0
Addanki,VnsCineComplexAddanki,Telugu,11:00,Balcony,110₹,183,0
Hyderabad,CinepolisDslVirtueMall,Telugu,11:00,Vip,350₹,14,4
Hyderabad,CinepolisDslVirtueMall,Telugu,11:00,Normal,200₹,35,0
Hyderabad,CinepolisDslVirtueMall,Telugu,11:00,Executive,200₹,141,1
Ramachandrapuram,AnnapuranaTheatreACDtsRamachandrapuram,Telugu,11:15,FirstClass,100₹,303,67
Ramachandrapuram,AnnapuranaTheatreACDtsRamachandrapuram,Telugu,11:15,SecondClass,80₹,45,45
Ramachandrapuram,AnnapuranaTheatreACDtsRamachandrapuram,Telugu,11:15,ThirdClass,50₹,82,82
Guntur,NaazCinemasGuntur,Telugu,11:15,GoldClass,110₹,368,67
Guntur,NaazCinemasGuntur,Telugu,11:15,EliteClass,70₹,123,7
Rajahmundry,AshokaTheatre2KACDtsRajahmundry,Telugu,11:15,PremuimCl,112₹,434,35
Rajahmundry,AshokaTheatre2KACDtsRajahmundry,Telugu,11:15,NonPremiumCl,75₹,145,110
Guntur,JleCinemasGuntur,Telugu,11:20,Elite,295₹,17,0
Guntur,JleCinemasGuntur,Telugu,11:20,Gold,177₹,123,0
Kakinada,DeviMultiplexKakinada,Telugu,11:30,FirstClass,112₹,324,46
Kakinada,DeviMultiplexKakinada,Telugu,11:30,SecondClass,75₹,111,5
Vijayawada,SakuntalaAC2KDolbySurroundVijayawada,Telugu,11:30,Balcony,100₹,264,16
Vijayawada,SakuntalaAC2KDolbySurroundVijayawada,Telugu,11:30,Balcony,100₹,44,0
Vijayawada,SakuntalaAC2KDolbySurroundVijayawada,Telugu,11:30,SecondClass,100₹,40,0
Vijayawada,SakuntalaAC2KDolbySurroundVijayawada,Telugu,11:30,ThirdClass,78₹,103,9
Ponnur,PvsTheatrePonnur,Telugu,11:30,FirstClass,80₹,225,0
Ponnur,PvsTheatrePonnur,Telugu,11:30,SecondClass,50₹,75,75
Draksharamam,SuryaCinemax2KACDtsDraksharamam,Telugu,11:30,FirstClass,100₹,254,254
Gudivada,BommarilluCinemas,Telugu,11:30,BalconyPlatinumGate,112₹,88,18
Gudivada,BommarilluCinemas,Telugu,11:30,ChairDiamondGate,112₹,138,138
Gudivada,BommarilluCinemas,Telugu,11:30,ThirdClassGoldenGate,90₹,53,53
Bangalore,InnovativeMultiplexMarathahalli,Telugu,11:40,Premium,150₹,89,12
Hyderabad,InoxMaheshwariParmeshwariMallKachiguda,Telugu,11:40,Executive,150₹,149,3
Guntur,HollywoodBollywoodTheaters,Telugu,11:45,Reserved,112₹,183,11
Guntur,HollywoodBollywoodTheaters,Telugu,11:45,SecondClass,78₹,101,0
Warangal,DeviParadiseACDtsWarangal,Telugu,11:45,UpperBalcony,110₹,198,165
Warangal,DeviParadiseACDtsWarangal,Telugu,11:45,LowerBalcony,110₹,251,220
Warangal,DeviParadiseACDtsWarangal,Telugu,11:45,Reserved,80₹,285,285
Warangal,DeviParadiseACDtsWarangal,Telugu,11:45,FirstClass,80₹,103,103
Vizianagaram,InoxNcsMallBochuPeta,Telugu,11:45,Exclusive,177₹,240,0
Vijayawada,InoxLeplIconPatamata,Telugu,11:55,Royal,295₹,7,0
Vijayawada,InoxLeplIconPatamata,Telugu,11:55,Club,177₹,200,0
Bangalore,PvrVegaBannerghattaRoad,Telugu,12:10,Classic,150₹,107,21
Hyderabad,PlatinumCinemasGachibowli,Telugu,12:30,PlatinumPremiumRecliner,350₹,18,4
Hyderabad,PlatinumCinemasGachibowli,Telugu,12:30,PlatinumRecliners,350₹,16,0
Vijayawada,CinepolisPvpSquare,Telugu,12:35,Normal,177₹,185,15
Bangalore,PvrCentralSpiritMallBellandur,Telugu,12:45,Prime,190₹,32,0
Bangalore,PvrCentralSpiritMallBellandur,Telugu,12:45,Classic,170₹,36,0
Kakinada,InoxSrmtMallRamanayyapeta,Telugu,12:50,Executive,112₹,131,31
Vijayawada,CapitalCinemasTrendsetmall,Telugu,13:00,Gold,295₹,17,7
Vijayawada,CapitalCinemasTrendsetmall,Telugu,13:00,Executive,177₹,257,9
Bangalore,PvrVrGoldWhitefieldRoad,Telugu,13:10,GoldPrime,400₹,7,0
Bangalore,PvrVrGoldWhitefieldRoad,Telugu,13:10,Gold,350₹,14,0
Bangalore,PvrOrionMallDrRajkumarRoad,Telugu,13:20,Recliner,250₹,17,8
Bangalore,PvrOrionMallDrRajkumarRoad,Telugu,13:20,Prime,170₹,100,0
Bangalore,PvrOrionMallDrRajkumarRoad,Telugu,13:20,Classic,150₹,128,0
Hyderabad,PvrPanjaguttaHyderabad,Telugu,13:25,Classic,150₹,141,34
Bangalore,PvrArenaMallDoddanakundi,Telugu,13:30,Prime,140₹,28,0
Bangalore,PvrArenaMallDoddanakundi,Telugu,13:30,Classic,112₹,90,0
Hyderabad,CinepolisCcplMall,Telugu,13:40,Executive,150₹,116,6
Vijayawada,PvrRipplesVijayawada,Telugu,13:45,Recliner,295₹,13,4
Vijayawada,PvrRipplesVijayawada,Telugu,13:45,Classic,177₹,182,19
Hyderabad,CinepolisMantraMall,Telugu,13:45,Vip,350₹,9,2
Hyderabad,CinepolisMantraMall,Telugu,13:45,Normal,200₹,195,0
Vijayawada,CinepolisPowerOneMall,Telugu,13:55,Normal,147₹,28,0
Vijayawada,CinepolisPowerOneMall,Telugu,13:55,Premium,147₹,73,24
Vijayawada,CinepolisPowerOneMall,Telugu,13:55,Executive,147₹,62,0
Jaggampeta,NageshwaraACDtsJaggampeta,Telugu,14:00,FirstClass,100₹,317,60
Madanapalle,SaiChitraTheatreACRamGopalNaiduColony,Telugu,14:00,Reserved,112₹,266,0
