State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrGrowelsKandivaliE,Gujarathi,12:00,Recliner,300₹,12,0
Maharashtra,Mumbai,PvrGrowelsKandivaliE,Gujarathi,12:00,Prime,180₹,196,37
Maharashtra,Mumbai,PvrGrowelsKandivaliE,Gujarathi,12:00,Classic,160₹,30,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarathi,12:05,RoyalRecliner,470₹,12,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarathi,12:05,Royal,230₹,37,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarathi,12:05,Club,210₹,63,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Gujarathi,12:05,Executive,190₹,36,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,12:05,RoyalRecliner,470₹,12,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,12:05,Royal,230₹,37,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,12:05,Club,210₹,63,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Gujarathi,12:05,Executive,190₹,36,0
Gujarat,Bhuj,NyCinemaBhuj,Gujarathi,12:30,Ey,250₹,12,0
Gujarat,Bhuj,NyCinemaBhuj,Gujarathi,12:30,Pr,200₹,68,0
Gujarat,Bhuj,NyCinemaBhuj,Gujarathi,12:30,Ex,180₹,54,0
Gujarat,Bhuj,NyCinemaBhuj,Gujarathi,12:30,No,150₹,36,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,14:50,Platinum,190₹,6,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,14:50,Gold,140₹,95,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Gujarathi,14:50,Silver,100₹,16,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,15:25,Imperial,340₹,6,6
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,15:25,Platinum,190₹,38,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,15:25,Gold,160₹,143,1
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,15:25,Silver,140₹,32,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Gujarathi,17:00,PlatinumOffline,240₹,13,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Gujarathi,17:00,GoldOffline,160₹,140,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Gujarathi,17:00,SilverOffline,150₹,100,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Gujarathi,17:00,SpecialOffline,150₹,40,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,17:10,Recliner,550₹,7,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,17:10,PrimePlus,250₹,66,9
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,17:10,Prime,200₹,65,9
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,17:10,Classic,175₹,39,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Gujarathi,18:00,Silver,180₹,98,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Gujarathi,18:00,Executive,170₹,36,0
Gujarat,Vadodara,InoxSevenSeasMallFatehgunj,Gujarathi,18:00,Premiere,170₹,126,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,19:15,Recliner,360₹,24,5
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,19:15,Prime,170₹,72,11
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,19:15,ClassicPlus,150₹,30,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,19:15,Classic,140₹,30,0
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,19:45,Prime,190₹,96,13
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,19:45,Classic,150₹,39,9
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,19:50,Premium,260₹,32,14
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,19:50,Executive,240₹,46,3
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,19:50,Normal,220₹,29,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,19:55,Premium,190₹,33,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,19:55,Normal,170₹,22,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,19:55,Executive,170₹,81,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarathi,20:00,Recliner,400₹,8,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarathi,20:00,Classic,180₹,39,0
Gujarat,Vadodara,PvrTransCubeVadodara,Gujarathi,20:00,Prime,180₹,90,19
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Gujarathi,20:15,Gold,220₹,24,0
Maharashtra,Mumbai,CinepolisVivianaMall,Gujarathi,20:55,Premium,280₹,46,16
Maharashtra,Mumbai,CinepolisVivianaMall,Gujarathi,20:55,Executive,260₹,106,0
Maharashtra,Mumbai,CinepolisVivianaMall,Gujarathi,20:55,Normal,240₹,27,0
