State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Vadodara,CinemarcAkota,Gujarathi,08:50,Gold,70₹,25,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,08:50,Silver,70₹,87,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,08:50,Premier,70₹,12,0
Gujarat,Vadodara,MirajCinemasSwcMallTandalja,Gujarathi,09:15,Executive,80₹,93,1
Gujarat,Vadodara,MirajCinemasSwcMallTandalja,Gujarathi,09:15,Special,80₹,72,0
Gujarat,Surat,ValentineMultiplexPipload,Gujarathi,09:25,Executive,110₹,136,19
Gujarat,Surat,ValentineMultiplexPipload,Gujarathi,09:25,Royal,90₹,105,3
Gujarat,Rajkot,InoxRWorldRajkot,Gujarathi,09:30,Platinum,170₹,172,7
Gujarat,Surat,CityPlusMultiplexDumasRoad,Gujarathi,10:05,Executive,300₹,10,0
Gujarat,Surat,CityPlusMultiplexDumasRoad,Gujarathi,10:05,Gold,100₹,10,0
Gujarat,Surat,CityPlusMultiplexDumasRoad,Gujarathi,10:05,GoldStar,80₹,10,0
Gujarat,Vadodara,PvrDeepVadodara,Gujarathi,10:15,PrimePlus,100₹,116,19
Gujarat,Vadodara,PvrDeepVadodara,Gujarathi,10:15,Prime,90₹,78,0
Gujarat,Vadodara,PvrDeepVadodara,Gujarathi,10:15,Classic,90₹,76,0
Gujarat,Rajkot,RajshreeTalkiesRajkot,Gujarathi,10:30,Balcony,150₹,208,0
Gujarat,Rajkot,RajshreeTalkiesRajkot,Gujarathi,10:30,Upper,100₹,550,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,10:35,RedLounge,340₹,26,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,10:35,Gold,100₹,48,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,10:35,Platinum,100₹,133,0
Gujarat,Rajkot,CosmoplexMultiplexKalawadRoad,Gujarathi,10:45,Crew,170₹,10,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,10:50,Recliner,350₹,8,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,10:50,PrimePlus,150₹,66,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,10:50,Prime,100₹,65,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Gujarathi,10:50,Classic,90₹,39,0
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,11:00,Prime,100₹,100,16
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,11:00,Classic,80₹,33,0
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarathi,11:30,ClassicPlus,100₹,22,0
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarathi,11:30,Classic,100₹,22,0
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarathi,11:30,Prime,100₹,85,4
Gujarat,Anand,PvrMarutiSolarisAnand,Gujarathi,11:30,PrimePlus,100₹,38,17
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,11:35,RoyalRecliners,250₹,6,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,11:35,Royal,170₹,29,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,11:35,Club,160₹,55,0
Gujarat,Rajkot,InoxRelianceMegaMallRajkot,Gujarathi,11:35,Executive,140₹,22,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,12:35,Imperial,260₹,6,5
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,12:35,Platinum,140₹,38,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,12:35,Gold,112₹,143,2
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,12:35,Silver,90₹,32,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Gujarathi,12:35,Club,130₹,60,0
