State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:45,Recliner,260₹,24,5
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:45,Prime,140₹,76,11
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:45,Classic,120₹,38,0
Gujarat,Surat,PvrRahulRajMallDumasRoad,Gujarathi,09:45,ClassicPlus,120₹,38,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Gujarathi,14:15,Gold,140₹,24,0
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,19:45,Club,110₹,122,122
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,19:45,Executive,110₹,34,34
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,19:45,Royal,110₹,54,54
Gujarat,Surat,InoxVrSuratDumasRoad,Gujarathi,19:45,RoyalRecliner,110₹,12,12
Gujarat,Surat,InoxDrWorldParvatPatiya,Gujarathi,19:55,Executive,90₹,99,99
Gujarat,Surat,InoxRelianceMegaMallUdhna,Gujarathi,20:00,Club,90₹,80,80
Gujarat,Surat,InoxRelianceMegaMallUdhna,Gujarathi,20:00,Executive,90₹,28,28
Gujarat,Surat,InoxRelianceMegaMallUdhna,Gujarathi,20:00,RoyalRecliner,90₹,9,9
Gujarat,Surat,InoxRelianceMegaMallUdhna,Gujarathi,20:00,Royal,90₹,58,58
Gujarat,Surat,InoxDrWorldParvatPatiya,Gujarathi,20:05,Club,90₹,55,55
Gujarat,Surat,InoxDrWorldParvatPatiya,Gujarathi,20:05,Executive,90₹,11,11
Gujarat,Surat,InoxDrWorldParvatPatiya,Gujarathi,20:05,Royal,90₹,22,22
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,22:05,Premium,240₹,50,3
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,22:05,Executive,220₹,78,0
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,22:05,Normal,200₹,36,0
