State,City,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Kochi,PvrLuluKochi,Malayalam,09:20,Recliner,350₹,10,9
Kerala,Kochi,PvrLuluKochi,Malayalam,09:20,Prime,190₹,108,104
Kerala,Kochi,PvrLuluKochi,Malayalam,09:20,ClassicPlus,160₹,138,102
Kerala,Kochi,PvrLuluKochi,Malayalam,09:20,Classic,140₹,69,6
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Malayalam,09:30,Club,202₹,142,13
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Malayalam,09:30,Executive,63₹,19,6
Kerala,Kochi,PvrLuluGoldKochi,Malayalam,09:30,Gold,400₹,56,36
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Malayalam,09:30,Classic,220₹,107,78
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,09:40,ClassicPlus,150₹,141,113
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,09:40,Classic,129₹,36,12
Kerala,Kollam,CarnivalRpMallKollam,Malayalam,09:45,PremiumOffline,150₹,108,50
Kerala,Perinthalmanna,PlazaCinemasPerinthalmanna,Malayalam,10:00,Platinum,120₹,161,6
Kerala,Perinthalmanna,PlazaCinemasPerinthalmanna,Malayalam,10:00,Executive,110₹,288,13
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Malayalam,10:00,Classic,220₹,95,51
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,10:00,Platinum,100₹,151,53
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,10:10,Premium,200₹,53,42
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,10:10,Executive,180₹,102,22
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,10:10,Normal,160₹,30,0
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,10:15,Platinum,150₹,110,38
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,10:15,GoldOffline,130₹,188,4
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:20,Silver,210₹,97,31
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:20,ExecutiveOffline,180₹,193,13
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:20,NormalOffline,100₹,17,0
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,10:20,ClassicPlus,150₹,81,76
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,10:20,Classic,129₹,36,7
Kerala,Kanhangad,DeepthiCinemasAC2KDolbyAtmosKanhangad,Malayalam,10:30,GoldClass,140₹,185,19
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,10:30,ExecutiveOffline,140₹,145,15
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:30,RoyalRecliner,270₹,15,4
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:30,Royal,170₹,26,20
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:30,Club,140₹,221,79
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:30,Executive,110₹,36,0
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,10:30,ExecutiveOffline,140₹,145,38
Kerala,Payyanur,SumangaliCinemasPayyanur,Malayalam,10:30,GoldenCircle,130₹,192,53
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,10:30,SilverOffline,180₹,147,16
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,10:30,ExecutiveOffline,100₹,26,0
Kerala,Kodungallur,CarnivalMughalMallStarNagar,Malayalam,10:30,Vip,200₹,10,0
Kerala,Kodungallur,CarnivalMughalMallStarNagar,Malayalam,10:30,ExecutiveOffline,100₹,172,2
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Malayalam,10:45,Recliner,250₹,34,10
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Malayalam,10:45,Prime,120₹,156,37
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Malayalam,10:45,Classic,110₹,47,0
Kerala,Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,10:45,ClassicOffline,150₹,194,21
Kerala,Manjeri,KairaliCinemasDolbyAtmosManjeri,Malayalam,11:00,LuxusCircle,130₹,309,6
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,PlatinumRecliner,300₹,45,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,Gold,150₹,482,4
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,11:00,GoldLounge,400₹,36,15
Kerala,Muvattupuzha,CarnivalGrandCentreMallAramanaJunction,Malayalam,11:10,ExecutiveOffline,130₹,155,23
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,11:15,Balcony,110₹,254,5
Kerala,Trivandrum,KrishnaTheatreKazhakuttom,Malayalam,11:15,Reserved,129₹,252,105
Kerala,Valanchery,SreekumarAndPavithraTheatreAC2K,Malayalam,11:30,FirstClass,110₹,334,3
Kerala,Cherthala,EvmGrandCinemasCherthala,Malayalam,11:30,Gold,129₹,281,114
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,11:30,ParadiseClass,125₹,359,264
Kerala,Kunnamkulam,BavanaMoviesHouseACKunnamkulam,Malayalam,11:45,Balcony,130₹,219,2
Kerala,Kunnamkulam,BavanaMoviesHouseACKunnamkulam,Malayalam,11:45,FirstClass,110₹,300,0
Kerala,Manjeri,LadderCinemasManjeri,Malayalam,11:45,Executive,150₹,110,24
Kerala,Koothattukulam,VCinemasKoothattukulam,Malayalam,12:00,Gold,290₹,6,0
Kerala,Koothattukulam,VCinemasKoothattukulam,Malayalam,12:00,Silver,140₹,159,6
Kerala,Chalakudy,SurabhiMovies4KChalakudy,Malayalam,12:00,Gold,129₹,625,44
Maharashtra,Mumbai,CinepolisMagnetMall,Malayalam,12:05,Vip,400₹,5,0
Maharashtra,Mumbai,CinepolisMagnetMall,Malayalam,12:05,Normal,150₹,30,0
Maharashtra,Mumbai,CinepolisMagnetMall,Malayalam,12:05,Premium,150₹,46,22
Maharashtra,Mumbai,CinepolisMagnetMall,Malayalam,12:05,Executive,150₹,34,0
Kerala,Ashtamichira,MahalakshmiCinemasAshtamichira,Malayalam,12:15,Diamond,120₹,137,0
Kerala,Ashtamichira,MahalakshmiCinemasAshtamichira,Malayalam,12:15,Gold,100₹,220,0
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,12:15,Platinum,270₹,12,0
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,12:15,Gold,129₹,405,47
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,12:25,Vip,450₹,9,9
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,12:25,Premium,240₹,32,28
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,12:25,Executive,220₹,56,48
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,12:25,Normal,200₹,24,4
Maharashtra,Mumbai,CinepolisVivianaMall,Malayalam,12:25,Premium,240₹,46,39
Maharashtra,Mumbai,CinepolisVivianaMall,Malayalam,12:25,Executive,220₹,106,50
Maharashtra,Mumbai,CinepolisVivianaMall,Malayalam,12:25,Normal,200₹,27,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Malayalam,12:30,Recliner,420₹,12,11
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Malayalam,12:30,Classic,240₹,119,72
Kerala,Kochi,PvrLuluGoldKochi,Malayalam,12:35,Gold,450₹,56,53
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:45,ClassicPlus,190₹,141,133
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:45,Classic,160₹,36,5
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,12:45,FirstClass,140₹,202,92
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,12:45,Platinum,140₹,84,17
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,12:45,Gold,110₹,402,16
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,12:45,Executive,80₹,88,0
Kerala,Perinthalmanna,PlazaCinemasPerinthalmanna,Malayalam,13:00,Platinum,120₹,161,29
Kerala,Perinthalmanna,PlazaCinemasPerinthalmanna,Malayalam,13:00,Executive,110₹,288,15
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Malayalam,13:00,Gold,230₹,110,44
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Malayalam,13:00,Silver,180₹,240,51
Gujarat,Vadodara,CinepolisInorbitMall,Malayalam,13:00,Normal,150₹,24,0
Gujarat,Vadodara,CinepolisInorbitMall,Malayalam,13:00,Premium,150₹,29,25
Gujarat,Vadodara,CinepolisInorbitMall,Malayalam,13:00,Executive,150₹,81,26
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,13:00,Premium,280₹,59,29
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,13:00,Executive,260₹,94,13
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,13:00,Normal,240₹,34,0
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,13:00,Premium,280₹,59,56
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,13:00,Executive,260₹,94,75
Karnataka,Bangalore,CinepolisOrionEastMall,Malayalam,13:00,Normal,240₹,34,1
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:00,Silver,210₹,97,31
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:00,ExecutiveOffline,180₹,193,64
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,13:00,NormalOffline,100₹,17,0
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,13:00,Platinum,160₹,110,64
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,13:00,GoldOffline,150₹,188,9
Kerala,Kochi,PvrLuluKochi,Malayalam,13:05,Recliner,350₹,13,12
Kerala,Kochi,PvrLuluKochi,Malayalam,13:05,Prime,200₹,143,142
Kerala,Kochi,PvrLuluKochi,Malayalam,13:05,ClassicPlus,180₹,133,130
Kerala,Kochi,PvrLuluKochi,Malayalam,13:05,Classic,140₹,57,49
Maharashtra,Pune,CinepolisWestendMall,Malayalam,13:10,Normal,250₹,21,0
Maharashtra,Pune,CinepolisWestendMall,Malayalam,13:10,Premium,250₹,45,42
Maharashtra,Pune,CinepolisWestendMall,Malayalam,13:10,Executive,250₹,48,30
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:10,RoyalRecliner,350₹,14,10
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:10,Club,190₹,256,86
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:10,Royal,190₹,32,31
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:10,Executive,130₹,36,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,13:15,Vip,340₹,13,13
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,13:15,Premium,240₹,57,56
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,13:15,Executive,220₹,70,63
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,13:15,Normal,200₹,32,0
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,13:15,SilverOffline,180₹,168,23
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,13:15,ExecutiveOffline,100₹,28,0
Delhi,DelhiNcr,CinepolisJanakCinema,Malayalam,13:15,Premium,220₹,18,12
Delhi,DelhiNcr,CinepolisJanakCinema,Malayalam,13:15,Executive,200₹,111,10
Delhi,DelhiNcr,CinepolisJanakCinema,Malayalam,13:15,Normal,180₹,26,0
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,13:15,SilverOffline,180₹,147,33
