State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,00:25,Imperial,240₹,6,2
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,00:25,Platinum,112₹,38,5
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,00:25,Gold,90₹,143,16
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,00:25,Silver,70₹,32,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:00,Sofa,112₹,35,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:00,PremierPlus,99₹,258,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:00,Premium,99₹,42,0
UttarPradesh,Kanpur,JugulPalaceCinemaKrishnaNagar,Hindi,08:15,Balcony,110₹,20,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:30,Sofa,112₹,35,1
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:30,PremierPlus,99₹,258,1
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,08:30,Premium,99₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,08:45,Normal,150₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,08:45,Premium,150₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,08:45,Executive,150₹,135,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,08:45,RoyalRecliners,320₹,28,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,08:45,Royal,200₹,138,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,08:45,Club,190₹,250,2
Goa,Goa,InoxOldGmcDbRoad,Hindi,08:45,Executive,190₹,50,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,08:50,Silver,99₹,192,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,08:50,Gold,99₹,36,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,08:50,Premium,99₹,84,0
Maharashtra,Mumbai,CarnivalAnnexMallBorivali,Hindi,08:50,Silver,110₹,167,0
Maharashtra,Mumbai,CarnivalAnnexMallBorivali,Hindi,08:50,Premier,110₹,69,0
Gujarat,Rajkot,InoxRWorldRajkot,Hindi,08:55,Gold,180₹,133,6
Gujarat,Rajkot,InoxRWorldRajkot,Hindi,08:55,Silver,160₹,41,0
Gujarat,Vadodara,CinemarcAkota,Hindi,09:00,Gold,70₹,26,0
Gujarat,Vadodara,CinemarcAkota,Hindi,09:00,Silver,70₹,87,0
Gujarat,Vadodara,CinemarcAkota,Hindi,09:00,Premier,70₹,12,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,09:00,DressCircle,150₹,100,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,09:00,Galleria,150₹,28,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,09:00,Royal,150₹,33,2
WestBengal,Kolkata,InoxHindGaneshChandraAvenue,Hindi,09:00,Silver,200₹,181,0
WestBengal,Kolkata,InoxHindGaneshChandraAvenue,Hindi,09:00,Executive,130₹,37,0
WestBengal,Kolkata,InoxHindGaneshChandraAvenue,Hindi,09:00,Premium,130₹,107,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Hindi,09:00,Recliner,450₹,8,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Hindi,09:00,Prime,170₹,94,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Hindi,09:00,Classic,140₹,48,0
