City,Name,Language,Time,Type,Price,Capacity,Booked
Surat,InoxVrSuratDumasRoad,Hindi,08:45,RoyalRecliner,230₹,12,0
Surat,InoxVrSuratDumasRoad,Hindi,08:45,Royal,140₹,54,0
Surat,InoxVrSuratDumasRoad,Hindi,08:45,Club,112₹,122,0
Surat,InoxVrSuratDumasRoad,Hindi,08:45,Executive,112₹,34,0
Siliguri,InoxCityCentreMatigara,Hindi,09:00,Royale,320₹,10,0
Siliguri,InoxCityCentreMatigara,Hindi,09:00,Club,250₹,176,12
Siliguri,InoxCityCentreMatigara,Hindi,09:00,Executive,230₹,32,0
Thane,MaxusCinemasMaxusMallBhayandar,Hindi,09:00,Sofa,112₹,100,0
Thane,MaxusCinemasMaxusMallBhayandar,Hindi,09:00,Premium,99₹,100,0
Thane,MaxusCinemasMaxusMallBhayandar,Hindi,09:00,PremiumPlus,99₹,100,0
Noida,PvrLogixCityCentreNoida,Hindi,09:00,Classic,190₹,84,0
DelhiNcr,CinepolisSmartBharatMall,Hindi,09:00,Premium,170₹,30,0
DelhiNcr,CinepolisSmartBharatMall,Hindi,09:00,Classic,170₹,65,0
Kolkata,InoxQuestMallBallygunge,Hindi,09:00,RoyalRecliner,280₹,63,6
Kolkata,InoxSouthCityMall,Hindi,09:00,Rr,280₹,67,0
Goa,InoxOsiaGWingMargao,Hindi,09:00,Club,112₹,131,0
Goa,InoxOsiaGWingMargao,Hindi,09:00,Executive,112₹,28,0
Goa,InoxOsiaGWingMargao,Hindi,09:00,Royale,112₹,57,0
Raipur,InoxCityMall36GERoad,Hindi,09:00,Club,80₹,36,0
Raipur,InoxCityMall36GERoad,Hindi,09:00,Gold,80₹,216,0
Raipur,InoxCityMall36GERoad,Hindi,09:00,Platinum,80₹,37,2
Mumbai,InoxRaghuleelaMallVashi,Hindi,09:00,Executive,112₹,32,0
Mumbai,InoxRaghuleelaMallVashi,Hindi,09:00,Premier,112₹,101,0
Mumbai,InoxRaghuleelaMallVashi,Hindi,09:00,Silver,112₹,37,2
Mumbai,MovietimeChembur,Hindi,09:00,Silver,100₹,75,0
Jaipur,InoxPinkSquareMallRajaPark,Hindi,09:00,Royale,230₹,15,0
Jaipur,InoxPinkSquareMallRajaPark,Hindi,09:00,Club,100₹,131,2
Jaipur,InoxPinkSquareMallRajaPark,Hindi,09:00,Executive,100₹,66,0
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:00,RoyaleRecliners,190₹,19,0
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:00,Club,112₹,168,0
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:00,Executive,112₹,42,0
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:00,Royale,112₹,43,0
Kalyan,InoxMetroJunctionMallKalyan,Hindi,09:05,Gold,240₹,18,0
Kolkata,PvrDiamondPlazaJassore,Hindi,09:10,Recliner,350₹,14,0
Kolkata,PvrDiamondPlazaJassore,Hindi,09:10,Prime,180₹,12,0
Kolkata,PvrDiamondPlazaJassore,Hindi,09:10,Classic,130₹,176,1
Udaipur,PvrCelebrationMallUdaipur,Hindi,09:10,Recliner,220₹,12,0
Udaipur,PvrCelebrationMallUdaipur,Hindi,09:10,PrimePlus,140₹,39,13
Udaipur,PvrCelebrationMallUdaipur,Hindi,09:10,Prime,100₹,156,0
Udaipur,PvrCelebrationMallUdaipur,Hindi,09:10,Classic,90₹,52,0
Pune,InoxBundGarden,Hindi,09:10,Royale,200₹,34,1
Jamnagar,InoxCrystalMallJamnagar,Hindi,09:15,Royal,112₹,34,0
