State,City,Name,Language,Time,Type,Price,Capacity,Booked
UttarPradesh,Noida,PvrLogixCityCentreNoida,Malayalam,09:40,Classic,280₹,78,2
UttarPradesh,Noida,PvrLogixCityCentreNoida,Malayalam,09:40,Classic,280₹,89,33
Kerala,Perinthalmanna,VismayaCinemasPerinthalmanna,Malayalam,09:50,Platinum,100₹,111,6
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,10:00,PremiumLounge,250₹,65,26
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,10:00,GoldOffline,350₹,13,2
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,10:00,SilverOffline,180₹,167,37
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,10:00,ExecutiveOffline,100₹,13,0
Kerala,Kanhangad,DeepthiCinemasAC2KDolbyAtmosKanhangad,Malayalam,10:30,GoldClass,140₹,204,2
Kerala,Thiruvalla,ChilankaTheatreACDts2KThiruvalla,Malayalam,10:30,Balcony,130₹,277,50
Kerala,Pattambi,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,10:45,Platinum,250₹,20,0
Kerala,Pattambi,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,10:45,Gold,150₹,185,1
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,10:45,Recliner,250₹,9,0
Kerala,SultanBathery,AiswaryaAthulyaCineplexSulthanBathery,Malayalam,10:45,PlatinumClass,112₹,156,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,PlatinumRecliner,300₹,13,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,11:00,Gold,150₹,225,4
Kerala,Manjeri,CinePalaceSreeDeviCinePalaceDolbyAtmosManjeri,Malayalam,11:20,Screen2,150₹,148,29
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:30,RoyalRecliner,200₹,10,9
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:30,Club,130₹,155,3
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:30,Royal,130₹,20,9
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,11:30,Executive,100₹,26,0
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,11:30,Mini,125₹,250,152
Kerala,Manjeri,LadderCinemasManjeri,Malayalam,11:30,Executive,150₹,80,12
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:15,ClassicPlus,190₹,104,29
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,12:15,Classic,140₹,54,0
Maharashtra,Pune,CinepolisSeasonsMall,Malayalam,12:25,Premium,200₹,40,19
Maharashtra,Pune,CinepolisSeasonsMall,Malayalam,12:25,Normal,180₹,23,0
Maharashtra,Pune,CinepolisSeasonsMall,Malayalam,12:25,Executive,180₹,52,7
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,12:45,Gold,110₹,204,15
Kerala,Kochi,PvrLuluKochi,Malayalam,13:00,Recliner,350₹,14,14
Kerala,Kochi,PvrLuluKochi,Malayalam,13:00,Prime,190₹,125,106
Kerala,Kochi,PvrLuluKochi,Malayalam,13:00,ClassicPlus,160₹,108,64
Kerala,Kochi,PvrLuluKochi,Malayalam,13:00,Classic,140₹,54,0
Kerala,Angamaly,CarnivalKsrtComplexSalemErnakulamHighway,Malayalam,13:00,GoldOffline,130₹,203,48
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,13:00,ExecutiveOffline,160₹,132,45
Kerala,Kodungallur,CarnivalMughalMallStarNagar,Malayalam,13:00,ExecutiveOffline,140₹,225,29
Haryana,Gurgaon,PvrMgfMallGurgaon,Malayalam,13:10,Recliner,320₹,8,0
Haryana,Gurgaon,PvrMgfMallGurgaon,Malayalam,13:10,Classic,220₹,59,12
Haryana,Gurgaon,PvrMgfMallGurgaon,Malayalam,13:10,Prime,220₹,52,27
Kerala,Thiruvalla,ChilankaTheatreACDts2KThiruvalla,Malayalam,14:00,Balcony,130₹,277,54
Kerala,Kanhangad,DeepthiCinemasAC2KDolbyAtmosKanhangad,Malayalam,14:15,GoldClass,140₹,204,1
Kerala,Edappal,GovindaCinemasEdappal,Malayalam,14:30,Diamond,110₹,143,5
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,14:30,PlatinumRecliner,300₹,13,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,14:30,Gold,150₹,225,0
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,14:45,Mini,125₹,250,152
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:50,RoyalRecliner,290₹,10,5
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:50,Club,170₹,155,21
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:50,Royal,170₹,20,8
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,14:50,Executive,130₹,26,0
Kerala,Ashtamichira,MahalakshmiCinemasAshtamichira,Malayalam,15:00,GreenCircle,120₹,106,0
Kerala,Kochi,PvrLuluKochi,Malayalam,15:25,Recliner,350₹,10,10
Kerala,Kochi,PvrLuluKochi,Malayalam,15:25,Prime,190₹,68,68
Kerala,Kochi,PvrLuluKochi,Malayalam,15:25,ClassicPlus,160₹,91,89
Kerala,Kochi,PvrLuluKochi,Malayalam,15:25,Classic,140₹,39,7
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,15:30,Platinum,180₹,25,4
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,15:30,Gold,129₹,182,19
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,15:40,Vip,420₹,14,12
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,15:40,Premium,220₹,80,79
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,15:40,Executive,200₹,94,73
Maharashtra,Mumbai,CinepolisSeawoodsLT,Malayalam,15:40,Normal,180₹,49,48
Kerala,Thalayolaparambu,CarnivalThalayolaparambu,Malayalam,15:45,Gold,110₹,204,51
Kerala,Karunagappally,CarnivalHJComplexLalajiJunction,Malayalam,15:50,ClassicOffline,150₹,194,54
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,16:05,PremiumLounge,250₹,65,37
Kerala,Thalassery,CarnivalDowntownThalassery,Malayalam,16:15,ExecutiveOffline,160₹,136,40
Kerala,Kariyad,CarnivalCinemasKariyad,Malayalam,16:15,GoldLounge,290₹,32,25
Kerala,Kariyad,CarnivalCinemasKariyad,Malayalam,16:15,ExecutiveOffline,190₹,96,39
Kerala,Muvattupuzha,CarnivalGrandCentreMallAramanaJunction,Malayalam,16:20,ExecutiveOffline,150₹,96,56
Kerala,Payyanur,RajadhaniCinemasPayyanur,Malayalam,16:30,PlatinumCircle,130₹,88,19
Kerala,Kanhangad,DeepthiCinemasAC2KDolbyAtmosKanhangad,Malayalam,17:15,GoldClass,140₹,204,0
Kerala,Thiruvalla,ChilankaTheatreACDts2KThiruvalla,Malayalam,17:30,Balcony,130₹,277,50
Kerala,Thalassery,LibertyParadiseComplexThalassery,Malayalam,18:00,Mini,125₹,250,158
Kerala,Koothattukulam,VCinemasKoothattukulam,Malayalam,18:00,Gold,290₹,6,0
Kerala,Koothattukulam,VCinemasKoothattukulam,Malayalam,18:00,Silver,140₹,159,13
Kerala,Ashtamichira,MahalakshmiCinemasAshtamichira,Malayalam,18:15,GreenCircle,120₹,106,4
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,18:15,FirstClass,110₹,129,67
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,18:15,PlatinumRecliner,300₹,13,4
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,18:15,Gold,150₹,225,26
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,18:20,RoyalRecliner,290₹,10,5
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,18:20,Club,170₹,155,22
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,18:20,Royal,170₹,20,11
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,18:20,Executive,130₹,26,0
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,18:45,Platinum,270₹,5,1
Kerala,Chalakudy,DCinemaasChalakudy,Malayalam,18:45,Gold,129₹,238,86
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,18:45,Silver,210₹,103,82
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,18:45,ExecutiveOffline,180₹,72,14
Kerala,Trivandrum,CarnivalMallOfTravancoreEanchakkal,Malayalam,18:45,NormalOffline,100₹,18,0
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,18:55,ClassicPlus,190₹,104,101
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,18:55,Classic,140₹,54,6
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,19:00,Platinum,180₹,25,0
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,19:00,Gold,129₹,182,9
Kerala,Payyanur,RajadhaniCinemasPayyanur,Malayalam,19:30,PlatinumCircle,130₹,88,53
Kerala,Kunnamkulam,BavanaMoviesHouseACKunnamkulam,Malayalam,19:50,LuxuryClass,220₹,13,0
Kerala,Kunnamkulam,BavanaMoviesHouseACKunnamkulam,Malayalam,19:50,PlatinumCircle,130₹,159,6
Kerala,Kanhangad,DeepthiCinemasAC2KDolbyAtmosKanhangad,Malayalam,20:15,GoldClass,140₹,204,0
Kerala,Thiruvalla,ChilankaTheatreACDts2KThiruvalla,Malayalam,21:00,Balcony,130₹,277,55
Kerala,Ashtamichira,MahalakshmiCinemasAshtamichira,Malayalam,21:30,GreenCircle,120₹,106,0
Kerala,Kattanam,GanamTheatreComplexACKattanam,Malayalam,21:30,FirstClass,110₹,129,69
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,21:30,PlatinumRecliner,300₹,13,0
Kerala,Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmos,Malayalam,21:30,Gold,150₹,225,4
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,21:40,Vip,350₹,9,6
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,21:40,Premium,240₹,32,27
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,21:40,Executive,220₹,56,2
Karnataka,Bangalore,CinepolisForumShantiniketan,Malayalam,21:40,Normal,200₹,24,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,21:50,RoyalRecliner,290₹,10,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,21:50,Club,170₹,155,25
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,21:50,Royal,170₹,20,14
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,21:50,Executive,130₹,26,0
Kerala,Kollam,CarnivalRpMallKollam,Malayalam,22:00,PremiumOffline,180₹,96,20
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,22:00,Platinum,180₹,25,0
Kerala,Amballur,ChandvsreeramaMoviesAmballur,Malayalam,22:00,Gold,129₹,182,4
Kerala,Trivandrum,CarnivalGreenfieldCinemaKaryavattom,Malayalam,22:05,ExecutiveOffline,180₹,132,43
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,22:20,ClassicPlus,190₹,81,41
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,22:20,Classic,140₹,36,0
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,22:40,GoldOffline,350₹,13,0
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,22:40,SilverOffline,180₹,167,28
Kerala,Trivandrum,CarnivalArtechMallVanchyoor,Malayalam,22:40,ExecutiveOffline,100₹,13,0
Kerala,Kochi,PvrLuluKochi,Malayalam,22:45,Recliner,350₹,13,8
Kerala,Kochi,PvrLuluKochi,Malayalam,22:45,Prime,190₹,92,48
Kerala,Kochi,PvrLuluKochi,Malayalam,22:45,ClassicPlus,160₹,126,27
Kerala,Kochi,PvrLuluKochi,Malayalam,22:45,Classic,140₹,54,0
