State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,10:35,Recliner,350₹,11,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,10:35,Prime,190₹,19,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,10:35,Classic,150₹,80,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,10:35,Recliner,350₹,11,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,10:35,Prime,190₹,19,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,10:35,Classic,150₹,80,0
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,10:50,Club,160₹,200,0
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,Kannada,12:50,Royal,390₹,4,0
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,Kannada,12:50,Club,290₹,234,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,12:50,Recliner,320₹,13,13
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,12:50,Prime,200₹,20,20
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,12:50,Classic,180₹,85,85
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,13:15,Vip,400₹,12,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,13:15,Normal,250₹,28,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,13:15,Premium,250₹,41,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,13:15,Executive,250₹,59,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,13:20,Royal,390₹,10,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,13:20,Club,290₹,260,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,15:50,Recliner,400₹,10,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,15:50,Prime,230₹,80,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,15:50,Classic,210₹,128,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,19:05,Normal,200₹,10,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,19:05,Premium,200₹,34,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,19:05,Executive,200₹,82,0
