State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Kadayam,CinepolisBsrMall,Telugu,09:10,Executive,162₹,124,13
TamilNadu,Kadayam,CinepolisBsrMall,Telugu,09:10,Normal,63₹,17,17
Karnataka,Bangalore,PvrVrWhitefieldRoad,Telugu,09:10,Recliner,350₹,16,0
Karnataka,Bangalore,PvrVrWhitefieldRoad,Telugu,09:10,Classic,200₹,153,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Telugu,09:15,Royale,230₹,6,1
Maharashtra,Pune,InoxAmanoraMallHadapsar,Telugu,09:15,Club,130₹,157,10
Maharashtra,Pune,InoxAmanoraMallHadapsar,Telugu,09:15,Executive,130₹,42,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,09:15,Recliner,300₹,14,2
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,09:15,Prime,190₹,40,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,09:15,Classic,170₹,125,1
TamilNadu,Kadayam,InoxTheMarinaMallOmr,Telugu,09:20,Club,202₹,126,23
TamilNadu,Kadayam,InoxTheMarinaMallOmr,Telugu,09:20,Executive,63₹,16,16
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,09:30,RoyalRecliners,240₹,14,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,09:30,Royal,140₹,99,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,09:30,Club,130₹,102,0
Gujarat,Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Telugu,09:30,Executive,130₹,34,0
Karnataka,Bangalore,PvrForumMallKoramangala,Telugu,09:30,Recliner,350₹,12,0
Karnataka,Bangalore,PvrForumMallKoramangala,Telugu,09:30,Classic,210₹,166,5
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,Telugu,09:35,Royal,500₹,13,2
Karnataka,Bangalore,InoxCentralMantriJunctionJpNagar,Telugu,09:35,Club,250₹,312,3
Karnataka,Bangalore,CinepolisForumShantiniketan,Telugu,09:40,Vip,400₹,11,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Telugu,09:40,Premium,200₹,30,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Telugu,09:40,Executive,180₹,60,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Telugu,09:40,Normal,160₹,26,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Telugu,09:40,Normal,160₹,10,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Telugu,09:40,Premium,160₹,34,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Telugu,09:40,Executive,160₹,82,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Telugu,09:45,Premium,250₹,17,2
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Telugu,09:45,Executive,230₹,67,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Telugu,09:45,Normal,210₹,26,0
AndhraPradesh,Vijayawada,InoxLeplIconPatamata,Telugu,09:45,Royal,295₹,15,3
AndhraPradesh,Vijayawada,InoxLeplIconPatamata,Telugu,09:45,Club,177₹,313,13
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Telugu,09:45,Royal,500₹,9,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Telugu,09:45,Club,250₹,297,4
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Telugu,09:45,Royale,500₹,12,2
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Telugu,09:45,Club,250₹,84,7
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Telugu,09:45,Executive,210₹,160,5
AndhraPradesh,Vijayawada,InoxUrvasiComplexGandhiNagar,Telugu,09:50,Club,177₹,536,5
Telangana,Hyderabad,MirajShaliniShivaniCinemasKothapet,Telugu,09:50,Gold,350₹,29,0
Telangana,Hyderabad,MirajShaliniShivaniCinemasKothapet,Telugu,09:50,Executive,195₹,579,10
Karnataka,Bangalore,InoxBrookefieldMallKundalahalli,Telugu,09:55,Club,250₹,20,0
Karnataka,Bangalore,InoxBrookefieldMallKundalahalli,Telugu,09:55,Executive,210₹,85,0
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Telugu,09:55,Silver,250₹,86,0
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Telugu,09:55,Premiere,210₹,120,0
Karnataka,Bangalore,PvrCentralSpiritMallBellandur,Telugu,09:55,Recliner,350₹,20,0
Karnataka,Bangalore,PvrCentralSpiritMallBellandur,Telugu,09:55,Prime,220₹,50,5
Karnataka,Bangalore,PvrCentralSpiritMallBellandur,Telugu,09:55,Classic,200₹,172,6
Karnataka,Bangalore,SandhyaDigital4KAtmosMadivala,Telugu,10:00,Gold,150₹,520,13
