State,City,Name,Language,Time,Type,Price,Capacity,Booked
Haryana,Gurgaon,PvrAmbienceGurgaon,English,09:05,Prime,250₹,49,0
Haryana,Gurgaon,PvrAmbienceGurgaon,English,09:05,ClassicNormal,200₹,119,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,09:55,ReclinersNormal,600₹,10,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,09:55,ClassicSuperior,300₹,34,3
Delhi,DelhiNcr,PvrSelectCityWalkSaket,English,09:55,ClassicNormal,250₹,120,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,10:05,RoyalRecliner,280₹,12,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,10:05,Club,140₹,63,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,10:05,Royal,140₹,37,4
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,10:05,Executive,112₹,36,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,10:05,RoyalRecliner,280₹,12,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,10:05,Club,140₹,63,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,10:05,Royal,140₹,37,4
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,English,10:05,Executive,112₹,36,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,10:30,Recliner,250₹,34,3
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,10:30,Prime,130₹,147,7
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,10:30,Classic,110₹,45,0
Maharashtra,Mumbai,PvrDynamicJuhu,English,11:15,Lounger,160₹,12,0
Maharashtra,Mumbai,PvrDynamicJuhu,English,11:15,Prime,140₹,264,31
Maharashtra,Mumbai,PvrMarketCityKurlaW,English,11:15,Prime,170₹,117,23
Maharashtra,Mumbai,PvrMarketCityKurlaW,English,11:15,Classic,150₹,90,0
Haryana,Gurgaon,CinepolisAiriaMall,English,11:50,DoubleSofa,220₹,24,0
Haryana,Gurgaon,CinepolisAiriaMall,English,11:50,Lounger,200₹,8,0
Haryana,Gurgaon,CinepolisAiriaMall,English,11:50,Normal,180₹,22,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,English,12:00,Recliner,350₹,14,6
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,English,12:00,Prime,190₹,80,6
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,English,12:00,Classic,170₹,128,2
Haryana,Gurgaon,PvrMgfMallGurgaon,English,12:45,Prime,300₹,35,6
Haryana,Gurgaon,PvrMgfMallGurgaon,English,12:45,Classic,250₹,130,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,13:55,Prime,470₹,16,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,13:55,Classic,440₹,117,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,13:55,Prime,470₹,16,3
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,13:55,Classic,440₹,117,0
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,13:55,Prime,470₹,22,3
Delhi,DelhiNcr,PvrPromenadeVasantKunj,English,13:55,Classic,440₹,130,2
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,14:35,Kiddles,230₹,53,37
Karnataka,Bangalore,CinepolisForumShantiniketan,English,14:45,SingleSofa,300₹,6,4
Karnataka,Bangalore,CinepolisForumShantiniketan,English,14:45,Lounger,280₹,9,2
Karnataka,Bangalore,CinepolisForumShantiniketan,English,14:45,DoubleSofa,250₹,24,0
Karnataka,Bangalore,CinepolisForumShantiniketan,English,14:45,Normal,200₹,57,5
UttarPradesh,Noida,PvrLogixCityCentrePlayHouseNoida,English,14:55,Classic,290₹,38,7
Karnataka,Bangalore,PvrPlayHousePhoenixMarketcityMallWhit,English,15:10,Recliner,350₹,8,2
Karnataka,Bangalore,PvrPlayHousePhoenixMarketcityMallWhit,English,15:10,Classic,190₹,104,9
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,English,15:55,Kiddles,370₹,36,32
Haryana,Gurgaon,CinepolisAiriaMall,English,16:25,DoubleSofa,300₹,24,2
Haryana,Gurgaon,CinepolisAiriaMall,English,16:25,Lounger,280₹,8,0
Haryana,Gurgaon,CinepolisAiriaMall,English,16:25,Normal,260₹,22,0
Karnataka,Bangalore,PvrPlayHouseForumMallKoramangala,English,17:00,Classic,210₹,103,18
Maharashtra,Mumbai,PvrIconInfinitiGoldAndheriW,English,17:20,Luxe,400₹,51,9
Maharashtra,Mumbai,PvrIconInfinitiGoldAndheriW,English,17:20,LuxeSuperior,400₹,33,26
Karnataka,Bangalore,PvrVegaPlayHouseBannerghattaRoad,English,19:35,Classic,220₹,62,28
Haryana,Gurgaon,CinepolisAiriaMall,English,21:00,DoubleSofa,300₹,24,9
Haryana,Gurgaon,CinepolisAiriaMall,English,21:00,Lounger,280₹,8,0
Haryana,Gurgaon,CinepolisAiriaMall,English,21:00,Normal,260₹,22,7
