State,City,Name,Language,Time,Type,Price,Capacity,Booked
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,09:40,Executive,152₹,190,44
TamilNadu,Coimbatore,FunCinemaRepublicMall,Tamil,09:40,Normal,60₹,22,22
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,10:25,Premium,150₹,65,22
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,10:25,Executive,130₹,145,0
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,10:25,Normal,110₹,38,0
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,10:25,Premium,180₹,65,28
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,10:25,Executive,160₹,145,0
Karnataka,Bangalore,CinepolisOrionEastMall,Tamil,10:25,Normal,140₹,38,0
TamilNadu,Karaikudi,SathianCinemasAC2KDolbyAtmosKaraikudi,Tamil,10:30,Balcony,110₹,40,40
TamilNadu,Karaikudi,SathianCinemasAC2KDolbyAtmosKaraikudi,Tamil,10:30,FirstClass,110₹,76,32
TamilNadu,Karaikudi,SathianCinemasAC2KDolbyAtmosKaraikudi,Tamil,10:30,SecondClass,110₹,313,0
TamilNadu,Karaikudi,SathianCinemasAC2KDolbyAtmosKaraikudi,Tamil,10:30,ThirdClass,110₹,66,0
TamilNadu,Villupuram,KalyanCinemasACDts,Tamil,11:15,Balcony,164₹,155,29
TamilNadu,Villupuram,KalyanCinemasACDts,Tamil,11:15,FirstClass,119₹,285,29
TamilNadu,Surandai,NatarajTheatreUfoAC2KSurandai,Tamil,11:30,AC,150₹,51,0
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Tamil,11:40,Box1,150₹,12,0
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Tamil,11:40,Box2,150₹,14,14
TamilNadu,Chennai,MuruganCinemas4KDolbyAtmosAmbattur,Tamil,11:40,FirstClass,110₹,400,63
TamilNadu,Thiruppatur,AlbertComplex,Tamil,12:00,Box,109₹,28,28
TamilNadu,Thiruppatur,AlbertComplex,Tamil,12:00,Balcony,109₹,328,114
TamilNadu,Thiruppatur,AlbertComplex,Tamil,12:00,FirstClass,99₹,384,128
TamilNadu,Thiruppatur,AlbertComplex,Tamil,12:00,SecondClass,79₹,288,96
TamilNadu,Thiruppatur,AlbertComplex,Tamil,12:00,ThirdClass,50₹,64,64
TamilNadu,Thiruppatur,PvrHeritageRslEcrChennai,Tamil,12:25,Prime,165₹,128,23
TamilNadu,Thiruppatur,PvrHeritageRslEcrChennai,Tamil,12:25,Classic,60₹,15,15
TamilNadu,Thiruppatur,PvrHeritageRslEcrChennai,Tamil,12:25,Prime,165₹,128,0
TamilNadu,Thiruppatur,PvrHeritageRslEcrChennai,Tamil,12:25,Classic,60₹,15,15
TamilNadu,Thiruppatur,PvrGrandGaladaPallavaram,Tamil,12:30,Prime,165₹,154,0
TamilNadu,Thiruppatur,PvrGrandGaladaPallavaram,Tamil,12:30,Classic,60₹,34,30
Maharashtra,Mumbai,PvrMarketCityKurlaW,Tamil,12:30,Classic,149₹,85,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Tamil,12:30,Prime,149₹,155,24
TamilNadu,Thiruppatur,PvrGrandMallVelachery,Tamil,12:40,Prime,165₹,214,2
TamilNadu,Thiruppatur,PvrGrandMallVelachery,Tamil,12:40,Classic,60₹,42,42
TamilNadu,Thiruppatur,PvrSklsGalaxyMallRedHills,Tamil,12:40,Prime,165₹,135,34
TamilNadu,Thiruppatur,PvrSklsGalaxyMallRedHills,Tamil,12:40,Classic,60₹,22,22
TamilNadu,Thiruppatur,Devicineplex,Tamil,13:00,Quartz,152₹,277,2
TamilNadu,Thiruppatur,Devicineplex,Tamil,13:00,Zircon,60₹,31,31
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Tamil,13:10,Premium,150₹,89,12
TamilNadu,Thiruppatur,PvrAmpaSkywalkMallAminjikarai,Tamil,13:30,Prime,179₹,219,21
TamilNadu,Thiruppatur,PvrAmpaSkywalkMallAminjikarai,Tamil,13:30,Classic,60₹,32,32
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Tamil,13:35,Classic,150₹,152,13
TamilNadu,Karaikudi,SathianCinemasAC2KDolbyAtmosKaraikudi,Tamil,14:15,Balcony,110₹,40,40
TamilNadu,Karaikudi,SathianCinemasAC2KDolbyAtmosKaraikudi,Tamil,14:15,FirstClass,110₹,76,36
TamilNadu,Karaikudi,SathianCinemasAC2KDolbyAtmosKaraikudi,Tamil,14:15,SecondClass,110₹,313,0
TamilNadu,Karaikudi,SathianCinemasAC2KDolbyAtmosKaraikudi,Tamil,14:15,ThirdClass,110₹,66,0
TamilNadu,Sethiyathope,SriVasaviTheatreSethiyathope,Tamil,15:00,FirstClass,60₹,440,364
TamilNadu,Thiruppatur,BharathTheatre4KRgbLaserDolbyAtmos,Tamil,15:00,FirstClass,130₹,647,3
TamilNadu,Thiruppatur,CinepolisBsrMall,Tamil,15:30,Executive,152₹,122,0
TamilNadu,Thiruppatur,CinepolisBsrMall,Tamil,15:30,Normal,60₹,17,0
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,15:45,Club,178₹,136,7
TamilNadu,Madurai,InoxVishaalDeMalMadurai,Tamil,15:45,Executive,60₹,12,12
TamilNadu,Thiruppatur,Devicineplex,Tamil,16:00,Quartz,152₹,277,0
TamilNadu,Thiruppatur,Devicineplex,Tamil,16:00,Zircon,60₹,31,31
Karnataka,Bangalore,CinepolisForumShantiniketan,Tamil,16:05,Vip,400₹,9,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Tamil,16:05,Premium,200₹,30,3
Karnataka,Bangalore,CinepolisForumShantiniketan,Tamil,16:05,Executive,180₹,60,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Tamil,16:05,Normal,160₹,26,0
TamilNadu,Vellore,PvrVelocitySilkMillGandhiNagar,Tamil,16:30,Prime,165₹,136,10
TamilNadu,Vellore,PvrVelocitySilkMillGandhiNagar,Tamil,16:30,Classic,60₹,17,17
Telangana,Hyderabad,PvrKukatpallyHyderabad,Tamil,16:35,Recliner,250₹,12,0
