State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Siliguri,NewCinemaSiliguri,Bengali,10:45,Sofa,100₹,96,26
WestBengal,Siliguri,NewCinemaSiliguri,Bengali,10:45,Special,60₹,102,28
WestBengal,Siliguri,NewCinemaSiliguri,Bengali,10:45,FirstClass,40₹,285,0
WestBengal,Arambagh,SudhanilCinemaHall,Bengali,15:00,Balcony,40₹,400,86
WestBengal,Arambagh,SudhanilCinemaHall,Bengali,15:00,RearStall,30₹,434,63
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Bengali,17:20,Box,220₹,46,24
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Bengali,17:20,Balcony,70₹,102,54
WestBengal,Bakhrahat,UmaTalkiesBakhrahat,Bengali,17:20,SpecialClass,70₹,80,80
WestBengal,Arambagh,SudhanilCinemaHall,Bengali,18:00,Balcony,40₹,400,86
WestBengal,Arambagh,SudhanilCinemaHall,Bengali,18:00,RearStall,30₹,434,63
