State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,BalajiDigital2KCinemaTavarekere,Malayalam,10:00,Diamond,150₹,296,189
Karnataka,Bangalore,BalajiDigital2KCinemaTavarekere,Malayalam,10:00,Gold,120₹,442,314
Kerala,Payyanur,SumangaliCinemasPayyanur,Malayalam,10:30,DiamondCircle,130₹,141,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,RoyalRecliner,270₹,10,3
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,Royal,170₹,20,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,Club,140₹,155,102
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,10:40,Executive,110₹,26,26
Kerala,Kochi,PvrLuluKochi,Malayalam,12:55,Recliner,350₹,14,3
Kerala,Kochi,PvrLuluKochi,Malayalam,12:55,Prime,190₹,125,72
Kerala,Kochi,PvrLuluKochi,Malayalam,12:55,ClassicPlus,160₹,108,25
Kerala,Kochi,PvrLuluKochi,Malayalam,12:55,Classic,140₹,54,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:30,RoyalRecliner,350₹,10,5
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:30,Club,190₹,155,91
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:30,Royal,190₹,20,13
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,13:30,Executive,130₹,26,26
Kerala,Payyanur,SumangaliCinemasPayyanur,Malayalam,13:30,DiamondCircle,130₹,141,0
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,15:50,ClassicPlus,170₹,81,44
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,15:50,Classic,140₹,36,0
Kerala,Kochi,PvrLuluKochi,Malayalam,19:20,Recliner,350₹,14,4
Kerala,Kochi,PvrLuluKochi,Malayalam,19:20,Prime,190₹,125,42
Kerala,Kochi,PvrLuluKochi,Malayalam,19:20,ClassicPlus,160₹,108,0
Kerala,Kochi,PvrLuluKochi,Malayalam,19:20,Classic,140₹,54,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,19:40,RoyalRecliner,350₹,10,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,19:40,Club,190₹,155,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,19:40,Royal,190₹,20,3
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,19:40,Executive,130₹,26,0
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,22:00,ClassicPlus,170₹,104,22
Kerala,Kochi,PvrOberonMallErnakulam,Malayalam,22:00,Classic,140₹,54,0
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Malayalam,22:00,Prime,202₹,136,24
Kerala,Angadipuram,PvrHeritageRslEcrChennai,Malayalam,22:00,Classic,63₹,16,16
