State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Vadodara,CinemarcVip,Gujarathi,09:00,Sofa,110₹,19,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,09:00,Gold,90₹,20,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,09:00,Silver,90₹,87,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,09:00,Premium,80₹,13,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:00,RedLounge,340₹,26,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:00,Gold,110₹,48,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:00,Platinum,110₹,133,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:00,RedLounge,340₹,26,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:00,Gold,110₹,48,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:00,Platinum,110₹,133,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:05,RedLounge,340₹,26,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:05,Gold,110₹,48,0
Gujarat,Anand,RajshivalayCinemasAnand,Gujarathi,09:05,Platinum,110₹,133,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:15,Sofa,90₹,26,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:15,Silver,80₹,87,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:15,Premier,70₹,12,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,09:15,Imperial,260₹,6,3
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,09:15,Platinum,140₹,38,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,09:15,Gold,112₹,143,1
Gujarat,Surat,InoxRajImperialVarachhaRoad,Gujarathi,09:15,Silver,90₹,32,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:25,Sofa,90₹,38,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:25,Silver,80₹,72,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:25,Premier,80₹,15,0
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:25,Sofa,90₹,38,2
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:25,Silver,80₹,72,2
Gujarat,Vadodara,CinemarcAkota,Gujarathi,09:25,Premier,80₹,15,0
Gujarat,Rajkot,CosmoplexMultiplexKalawadRoad,Gujarathi,09:30,Crew,200₹,10,0
Gujarat,Surat,ValentineMultiplexPipload,Gujarathi,10:00,Executive,120₹,136,19
Gujarat,Surat,ValentineMultiplexPipload,Gujarathi,10:00,Royal,100₹,105,0
