State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,09:30,Recliner,400₹,14,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,09:30,Classic,200₹,140,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,09:30,Prime,200₹,99,6
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,09:40,Normal,180₹,46,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,09:40,Premium,180₹,87,2
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,09:40,Executive,180₹,225,3
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Tulu,12:30,Recliner,280₹,7,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Tulu,12:30,Classic,170₹,63,0
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Tulu,12:30,Recliner,280₹,7,5
Karnataka,Bangalore,PvrPhoenixMarketcityMallWhitefieldRoad,Tulu,12:30,Classic,170₹,72,18
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,12:45,Normal,200₹,46,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,12:45,Premium,200₹,87,40
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,12:45,Executive,200₹,225,6
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,12:45,Recliner,400₹,14,2
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,12:45,Classic,200₹,140,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,12:45,Prime,200₹,99,25
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Tulu,12:55,Royal,300₹,14,10
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Tulu,12:55,Club,180₹,52,8
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Tulu,12:55,Executive,150₹,85,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Tulu,15:45,Royale,350₹,12,3
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Tulu,15:45,Club,210₹,84,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Tulu,15:45,Executive,200₹,160,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,15:50,Normal,200₹,46,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,15:50,Premium,200₹,87,19
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,15:50,Executive,200₹,225,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,16:00,Recliner,400₹,14,2
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,16:00,Classic,200₹,140,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,16:00,Prime,200₹,108,42
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Tulu,16:20,Recliner,350₹,17,3
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Tulu,16:20,Prime,190₹,80,20
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Tulu,16:20,Classic,170₹,128,1
Karnataka,Bangalore,CinepolisForumShantiniketan,Tulu,18:45,Vip,400₹,10,5
Karnataka,Bangalore,CinepolisForumShantiniketan,Tulu,18:45,Premium,220₹,64,34
Karnataka,Bangalore,CinepolisForumShantiniketan,Tulu,18:45,Executive,200₹,24,0
Karnataka,Bangalore,CinepolisForumShantiniketan,Tulu,18:45,Normal,180₹,24,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,18:55,Normal,200₹,46,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,18:55,Premium,200₹,87,52
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,18:55,Executive,200₹,225,7
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Tulu,18:55,Premium,236₹,22,8
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Tulu,18:55,Executive,220₹,50,6
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Tulu,18:55,Normal,200₹,24,0
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Tulu,19:05,Royal,300₹,14,14
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Tulu,19:05,Club,180₹,52,29
Karnataka,Manipal,InoxCentralCinemasLaxmindraNagar,Tulu,19:05,Executive,150₹,85,5
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,19:15,Recliner,400₹,14,14
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,19:15,Classic,200₹,140,0
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,19:15,Prime,200₹,108,73
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,22:00,Normal,200₹,46,0
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,22:00,Premium,200₹,87,72
Karnataka,Mangalore,CinepolisCityCentreMall,Tulu,22:00,Executive,200₹,225,43
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Tulu,22:10,Classic,236₹,118,56
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Tulu,22:20,Club,230₹,209,20
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,22:30,Recliner,400₹,14,5
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,22:30,Classic,200₹,140,3
Karnataka,Mangalore,PvrForumFizaMallPandeshwar,Tulu,22:30,Prime,200₹,108,85
