State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,09:00,RoyalRecliner,190₹,8,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,09:00,Club,112₹,55,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,09:00,Executive,112₹,16,0
Gujarat,Surat,InoxRelianceMegaMallUdhna,Hindi,09:00,Royal,112₹,38,3
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,09:00,Executive,90₹,38,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,09:00,Premier,90₹,158,2
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,09:00,Silver,90₹,79,2
WestBengal,Kolkata,PvrDiamondPlazaJassore,Hindi,09:00,Recliner,330₹,12,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Hindi,09:00,Prime,170₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Hindi,09:00,Classic,112₹,80,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,09:00,Vip,300₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,09:00,Premium,200₹,80,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,09:00,Executive,180₹,94,5
Maharashtra,Thane,InoxKorumMallThaneW,Hindi,09:00,Royal,250₹,24,2
Maharashtra,Thane,InoxKorumMallThaneW,Hindi,09:00,Club,130₹,237,2
Maharashtra,Thane,InoxKorumMallThaneW,Hindi,09:00,Executive,112₹,75,0
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,09:00,Gold,112₹,148,0
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,09:00,Premiere,112₹,51,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,09:00,Couple,149₹,30,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Hindi,09:00,Recliner,149₹,72,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:00,Normal,110₹,32,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:00,Premium,110₹,43,2
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:00,Executive,110₹,94,0
UttarPradesh,Jaunpur,KewalDdPlexRizwikhan,Hindi,09:00,Platinum,300₹,8,0
UttarPradesh,Jaunpur,KewalDdPlexRizwikhan,Hindi,09:00,Diamond,250₹,24,0
UttarPradesh,Jaunpur,KewalDdPlexRizwikhan,Hindi,09:00,Gold,200₹,96,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,09:05,Executive,130₹,32,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,09:05,Premiere,130₹,125,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,09:05,Silver,130₹,76,0
WestBengal,Kolkata,PvrManiSquareMallPXlEmBypassRoad,Hindi,09:05,Recliner,320₹,27,27
WestBengal,Kolkata,PvrManiSquareMallPXlEmBypassRoad,Hindi,09:05,Classic,130₹,71,71
WestBengal,Kolkata,PvrManiSquareMallPXlEmBypassRoad,Hindi,09:05,Prime,130₹,279,279
Delhi,DelhiNcr,DtCinemasSavitri,Hindi,09:05,Premium,100₹,144,0
Delhi,DelhiNcr,DtCinemasSavitri,Hindi,09:05,Executive,100₹,113,0
Delhi,DelhiNcr,DtCinemasSavitri,Hindi,09:05,Kids,100₹,39,39
Gujarat,Vadodara,CinemarcVip,Hindi,09:10,Sofa,90₹,35,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:10,Gold,70₹,37,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:10,Silver,70₹,158,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:10,Premium,70₹,46,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:10,Sofa,90₹,35,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:10,Gold,70₹,37,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:10,Silver,70₹,158,0
Gujarat,Vadodara,CinemarcVip,Hindi,09:10,Premium,70₹,46,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,09:10,Royale,190₹,4,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,09:10,Club,112₹,228,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Hindi,09:10,Executive,112₹,32,0
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,09:10,Royale,130₹,45,2
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,09:10,Club,110₹,78,0
Maharashtra,Pune,InoxElproCitySquarePune,Hindi,09:10,Executive,110₹,26,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Hindi,09:10,Premier,140₹,156,0
Maharashtra,Kalyan,InoxMetroJunctionMallKalyan,Hindi,09:10,Silver,140₹,94,0
