State,City,Name,Language,Time,Type,Price,Capacity,Booked
AndhraPradesh,Anantapur,GowriCinemaAnantapur,Telugu,08:30,Platinum,148₹,472,175
AndhraPradesh,Anantapur,GowriCinemaAnantapur,Telugu,08:30,Gold,112₹,170,49
Telangana,Hyderabad,PlatinumCinemasGachibowli,Telugu,09:00,PlatinumPremiumRecliner,400₹,18,18
Telangana,Hyderabad,PlatinumCinemasGachibowli,Telugu,09:00,PlatinumRecliners,400₹,40,4
AndhraPradesh,Vijayawada,CapitalCinemasTrendsetmall,Telugu,09:00,Gold,295₹,26,24
AndhraPradesh,Vijayawada,CapitalCinemasTrendsetmall,Telugu,09:00,Executive,177₹,377,94
Telangana,Hyderabad,PlatinumCinemasGachibowli,Telugu,09:00,PlatinumPremiumRecliner,400₹,18,17
Telangana,Hyderabad,PlatinumCinemasGachibowli,Telugu,09:00,PlatinumRecliners,400₹,40,18
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Telugu,09:10,Classic,150₹,95,17
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Telugu,09:10,Recliner,330₹,10,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Telugu,09:10,Prime,170₹,80,18
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Telugu,09:10,Classic,150₹,128,3
Karnataka,Bangalore,PvrVrWhitefieldRoad,Telugu,09:20,Recliner,330₹,14,0
Karnataka,Bangalore,PvrVrWhitefieldRoad,Telugu,09:20,Prime,210₹,17,3
Karnataka,Bangalore,PvrVrWhitefieldRoad,Telugu,09:20,Classic,190₹,115,4
Maharashtra,Pune,InoxAmanoraMallHadapsar,Telugu,09:25,Royale,230₹,8,2
Maharashtra,Pune,InoxAmanoraMallHadapsar,Telugu,09:25,Club,130₹,224,1
Maharashtra,Pune,InoxAmanoraMallHadapsar,Telugu,09:25,Executive,130₹,36,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,09:25,Recliner,300₹,14,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,09:25,Prime,160₹,40,2
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Telugu,09:25,Classic,140₹,105,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Telugu,09:30,Recliner,270₹,24,2
Maharashtra,Mumbai,PvrCitiMallAndheriW,Telugu,09:30,Classic,110₹,46,0
