State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Pune,RahulTalkies70MmShivajiNagar,Marathi,11:45,GoldClass,100₹,208,0
Maharashtra,Pune,RahulTalkies70MmShivajiNagar,Marathi,11:45,SilverClass,100₹,120,0
Maharashtra,Ahmednagar,EylexShaniSingnapurAhmednagar,Marathi,12:00,Platinum,150₹,76,67
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,12:10,Royale,280₹,2,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,12:10,Club,180₹,109,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,12:10,Executive,180₹,21,0
Maharashtra,Mumbai,BharatChitraMandirKurlaW,Marathi,12:30,Sofa,150₹,18,0
Maharashtra,Mumbai,BharatChitraMandirKurlaW,Marathi,12:30,Premium,100₹,181,0
Maharashtra,Mumbai,PlazaCinemaDadarW,Marathi,12:30,BoxSofa,350₹,25,0
Maharashtra,Mumbai,PlazaCinemaDadarW,Marathi,12:30,Sofa,300₹,54,0
Maharashtra,Mumbai,PlazaCinemaDadarW,Marathi,12:30,Platinum,180₹,208,23
Maharashtra,Mumbai,PlazaCinemaDadarW,Marathi,12:30,Gold,150₹,161,24
Maharashtra,Mumbai,PlazaCinemaDadarW,Marathi,12:30,Silver,130₹,184,0
Maharashtra,Khopoli,GoldCinemaKhopoli,Marathi,12:30,Gold,150₹,70,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,12:30,Vip,400₹,10,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,12:30,Normal,150₹,36,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,12:30,Executive,150₹,71,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:45,Royal,300₹,24,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:45,Club,200₹,150,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:45,Executive,180₹,75,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,12:45,Premium,200₹,35,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,12:45,Normal,180₹,29,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,12:45,Executive,180₹,83,0
Maharashtra,Ambernath,StarMirajCinemasAmbernath,Marathi,12:45,Platinum,150₹,70,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,12:50,Executive,140₹,38,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,12:50,Premier,140₹,158,0
