State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,NyCinemasMulund,Marathi,11:00,Pr,140₹,7,0
Maharashtra,Mumbai,NyCinemasMulund,Marathi,11:00,Cl,110₹,135,0
Maharashtra,Pune,CinepolisWestendMall,Marathi,12:00,Normal,180₹,23,0
Maharashtra,Pune,CinepolisWestendMall,Marathi,12:00,Premium,180₹,49,0
Maharashtra,Pune,CinepolisWestendMall,Marathi,12:00,Executive,180₹,64,0
Maharashtra,Mumbai,BharatChitraMandirKurlaW,Marathi,12:30,Sofa,150₹,100,0
Maharashtra,Mumbai,BharatChitraMandirKurlaW,Marathi,12:30,Premium,100₹,100,0
Maharashtra,Khopoli,GoldCinemaKhopoli,Marathi,12:30,Gold,150₹,100,0
Maharashtra,Mumbai,PlazaCinemaDadarW,Marathi,12:30,BoxSofa,350₹,25,0
Maharashtra,Mumbai,PlazaCinemaDadarW,Marathi,12:30,Sofa,300₹,54,0
Maharashtra,Mumbai,PlazaCinemaDadarW,Marathi,12:30,Platinum,150₹,208,23
Maharashtra,Mumbai,PlazaCinemaDadarW,Marathi,12:30,Gold,130₹,161,23
Maharashtra,Mumbai,PlazaCinemaDadarW,Marathi,12:30,Silver,120₹,184,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,12:45,Vip,200₹,10,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,12:45,Normal,130₹,36,0
Maharashtra,Mumbai,CinepolisMagnetMall,Marathi,12:45,Executive,130₹,71,0
Maharashtra,Ambernath,StarMirajCinemasAmbernath,Marathi,12:45,Platinum,100₹,70,0
Maharashtra,Akola,MirajRadhaKrishnaAkola,Marathi,12:50,Platinum,200₹,12,1
Maharashtra,Akola,MirajRadhaKrishnaAkola,Marathi,12:50,Silver,110₹,75,1
Maharashtra,Akola,MirajRadhaKrishnaAkola,Marathi,12:50,Gold,110₹,103,1
Maharashtra,Mumbai,GoldCinemaDadarE,Marathi,14:45,Balcony,150₹,15,0
Maharashtra,Mumbai,GoldCinemaDadarE,Marathi,14:45,Executive,150₹,52,0
Maharashtra,Mumbai,GoldCinemaDadarE,Marathi,14:45,Gold,150₹,178,0
Maharashtra,Mumbai,MovietimeChembur,Marathi,16:40,Silver,140₹,74,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,17:40,Prime,110₹,166,17
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Marathi,17:40,Classic,90₹,56,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,17:50,SofaOffline,180₹,18,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,17:50,PlatinumOffline,160₹,48,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,17:50,GoldOffline,140₹,65,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,17:50,SilverOffline,120₹,48,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,18:50,GoldOffline,110₹,46,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,18:50,SilverOffline,90₹,24,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,19:20,ReclinerOffline,220₹,13,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,19:20,GoldOffline,160₹,114,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,19:20,SilverOffline,150₹,95,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,19:20,SpecialOffline,120₹,18,0
Maharashtra,Chandrapur,MirajCinemaChandrapur,Marathi,19:30,Gold,100₹,30,10
Maharashtra,Chandrapur,MirajCinemaChandrapur,Marathi,19:30,Special,100₹,70,0
Maharashtra,Chandrapur,MirajCinemaChandrapur,Marathi,19:30,Executive,100₹,105,0
Maharashtra,Mumbai,BharatChitraMandirKurlaW,Marathi,21:30,Sofa,150₹,18,0
Maharashtra,Mumbai,BharatChitraMandirKurlaW,Marathi,21:30,Premium,100₹,181,0
Maharashtra,Ulhasnagar,MirajCinemasFuncityUlhasnagar,Marathi,22:00,Special,130₹,63,0
