City,Name,Language,Time,Type,Price,Capacity,Booked
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,09:30,Recliner,190₹,12,2
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,09:30,Prime,110₹,108,0
Mumbai,PvrXperiaPalavaDombivaliE,Marathi,09:30,Classic,100₹,36,0
Pune,PvrMarketCityVimanNagar,Marathi,10:30,PrimePlus,200₹,10,10
Pune,PvrMarketCityVimanNagar,Marathi,10:30,Classic,150₹,52,52
Pune,PvrMarketCityVimanNagar,Marathi,10:30,Prime,150₹,119,119
Aurangabad,MohanNovaCinemazSarafaRoad,Marathi,11:30,Platinum,150₹,100,0
Aurangabad,MohanNovaCinemazSarafaRoad,Marathi,11:30,Gold,150₹,100,0
Aurangabad,MohanNovaCinemazSarafaRoad,Marathi,11:30,Silver,150₹,100,0
Pune,AlakaTalkiesSadashivPeth,Marathi,12:30,Balcony,100₹,100,0
Pune,AlakaTalkiesSadashivPeth,Marathi,12:30,Stall,90₹,100,0
Ulhasnagar,MirajCinemasFuncityUlhasnagar,Marathi,12:30,Special,150₹,70,0
Mumbai,MovietimeHubMallGoregaonE,Marathi,13:45,Mhraja,120₹,44,8
Mumbai,CinepolisMagnetMall,Marathi,14:05,Vip,200₹,15,0
Mumbai,CinepolisMagnetMall,Marathi,14:05,Normal,130₹,30,0
Mumbai,CinepolisMagnetMall,Marathi,14:05,Premium,130₹,46,3
Mumbai,CinepolisMagnetMall,Marathi,14:05,Executive,130₹,34,0
Mumbai,CarnivalMoviestarGoregaonW,Marathi,14:30,GoldOffline,110₹,46,0
Mumbai,CarnivalMoviestarGoregaonW,Marathi,14:30,SilverOffline,90₹,24,0
Nagpur,PvrEmpressCityMallNagpur,Marathi,14:40,Prime,150₹,95,13
Nagpur,PvrEmpressCityMallNagpur,Marathi,14:40,Classic,130₹,26,0
Junnar,PlatinumCinema,Marathi,15:00,Flat,100₹,100,0
Latur,RegalCinemaLatur,Marathi,18:00,Balcony,80₹,150,0
Latur,RegalCinemaLatur,Marathi,18:00,FirstClass,60₹,322,0
Nagpur,AlankarCinemaGorepeth,Marathi,18:30,Balcony,100₹,100,0
Nagpur,AlankarCinemaGorepeth,Marathi,18:30,FirstBalcony,70₹,100,0
