City,Name,Language,Time,Type,Price,Capacity,Booked
Varanasi,CarnivalPdrMallLuxaRoad,Hindi,07:15,Diamond,300₹,47,0
Varanasi,CarnivalPdrMallLuxaRoad,Hindi,07:15,Gold,250₹,161,0
Varanasi,CarnivalPdrMallLuxaRoad,Hindi,07:15,Silver,200₹,95,0
Kanpur,JugulPalaceCinemaKrishnaNagar,Hindi,08:15,Balcony,110₹,20,0
Anand,RajshivalayCinemasAnand,Hindi,08:45,RedLounge,340₹,100,0
Anand,RajshivalayCinemasAnand,Hindi,08:45,Gold,110₹,100,0
Anand,RajshivalayCinemasAnand,Hindi,08:45,Platinum,110₹,100,0
Mumbai,CinepolisAndheri,Hindi,08:55,Platinum,170₹,26,2
Mumbai,CinepolisAndheri,Hindi,08:55,Premium,100₹,44,0
Mumbai,CinepolisAndheri,Hindi,08:55,Executive,100₹,96,0
Mumbai,CinepolisAndheri,Hindi,08:55,Normal,80₹,32,0
Bhilai,PvrTreasureIslandBhilai,Hindi,09:00,PrimePlus,170₹,43,14
Bhilai,PvrTreasureIslandBhilai,Hindi,09:00,Classic,112₹,33,0
Bhilai,PvrTreasureIslandBhilai,Hindi,09:00,Prime,112₹,86,4
Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Hindi,09:00,Club,140₹,60,2
Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Hindi,09:00,Executive,140₹,20,0
Vadodara,InoxTakshGalaxyMallMadhavpuraVadodara,Hindi,09:00,Royal,140₹,62,5
Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:00,RoyaleRecliners,280₹,13,0
Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:00,Royale,150₹,32,3
Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:00,Club,140₹,95,0
Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:00,Executive,110₹,22,0
Surat,PvrRahulRajMallDumasRoad,Hindi,09:00,Recliner,270₹,24,5
Surat,PvrRahulRajMallDumasRoad,Hindi,09:00,Prime,140₹,72,11
Surat,PvrRahulRajMallDumasRoad,Hindi,09:00,Classic,110₹,30,0
Surat,PvrRahulRajMallDumasRoad,Hindi,09:00,ClassicPlus,110₹,30,0
Mumbai,CinepolisVivianaMall,Hindi,09:00,Normal,120₹,24,0
Mumbai,CinepolisVivianaMall,Hindi,09:00,Premium,120₹,12,2
Mumbai,CinepolisVivianaMall,Hindi,09:00,Executive,120₹,72,0
Surat,PvrRahulRajMallDumasRoad,Hindi,09:00,Recliner,270₹,24,7
Surat,PvrRahulRajMallDumasRoad,Hindi,09:00,Prime,140₹,72,11
Surat,PvrRahulRajMallDumasRoad,Hindi,09:00,Classic,110₹,30,0
Surat,PvrRahulRajMallDumasRoad,Hindi,09:00,ClassicPlus,110₹,30,0
Allahabad,PvrVinayakCivilLines,Hindi,09:05,Recliner,290₹,10,0
Allahabad,PvrVinayakCivilLines,Hindi,09:05,Prime,170₹,64,0
Allahabad,PvrVinayakCivilLines,Hindi,09:05,Classic,150₹,136,0
Pune,CinepolisSeasonsMall,Hindi,09:10,Premium,170₹,40,3
Pune,CinepolisSeasonsMall,Hindi,09:10,Normal,150₹,23,0
Pune,CinepolisSeasonsMall,Hindi,09:10,Executive,150₹,68,0
Vadodara,MirajCinemasSwcMallTandalja,Hindi,09:10,Executive,130₹,93,0
Vadodara,MirajCinemasSwcMallTandalja,Hindi,09:10,Special,130₹,72,0
Lucknow,InoxRiversideMallGomtiNagar,Hindi,09:20,Club,140₹,93,0
Lucknow,InoxRiversideMallGomtiNagar,Hindi,09:20,Executive,110₹,20,0
Surat,InoxDrWorldParvatPatiya,Hindi,09:20,Club,112₹,55,0
Surat,InoxDrWorldParvatPatiya,Hindi,09:20,Executive,112₹,11,0
Surat,InoxDrWorldParvatPatiya,Hindi,09:20,Royal,112₹,22,2
Mumbai,CinepolisMagnetMall,Hindi,09:20,Vip,250₹,18,0
Mumbai,CinepolisMagnetMall,Hindi,09:20,Normal,100₹,36,0
Mumbai,CinepolisMagnetMall,Hindi,09:20,Executive,100₹,71,0
Mumbai,MetroInoxCinemaMGRoad,Hindi,09:20,Club,130₹,129,0
Mumbai,MetroInoxCinemaMGRoad,Hindi,09:20,Royale,130₹,81,0
Mumbai,MetroInoxCinemaMGRoad,Hindi,09:20,Executive,112₹,30,0
Goa,InoxOldGmcDbRoad,Hindi,09:25,Club,140₹,90,2
Goa,InoxOldGmcDbRoad,Hindi,09:25,Executive,140₹,36,0
Goa,InoxOldGmcDbRoad,Hindi,09:25,Royal,140₹,75,7
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,09:30,SofaOffline,110₹,18,0
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,09:30,PlatinumOffline,100₹,48,1
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,09:30,GoldOffline,90₹,65,2
Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,09:30,SilverOffline,80₹,48,2
Pune,CinepolisWestendMall,Hindi,09:30,Normal,200₹,21,0
Pune,CinepolisWestendMall,Hindi,09:30,Premium,200₹,35,1
Pune,CinepolisWestendMall,Hindi,09:30,Executive,200₹,72,0
Indore,CarnivalMalharMegaMallVijayNagar,Hindi,09:45,Lounge,250₹,40,8
Surat,InoxVrSuratDumasRoad,Hindi,09:45,RoyalRecliner,230₹,12,2
Surat,InoxVrSuratDumasRoad,Hindi,09:45,Royal,140₹,54,4
Surat,InoxVrSuratDumasRoad,Hindi,09:45,Club,112₹,102,0
Surat,InoxVrSuratDumasRoad,Hindi,09:45,Executive,112₹,34,0
Pune,InoxBundGarden,Hindi,09:50,Royale,200₹,32,2
Bhubaneswar,CinepolisEsplanade,Hindi,09:50,Vip,450₹,10,2
Bhubaneswar,CinepolisEsplanade,Hindi,09:50,Premium,170₹,48,8
Bhubaneswar,CinepolisEsplanade,Hindi,09:50,Executive,160₹,52,1
Bhubaneswar,CinepolisEsplanade,Hindi,09:50,Normal,150₹,23,0
Agra,CarnivalTdiMallAgra,Hindi,10:15,Ebony,350₹,19,0
Agra,CarnivalTdiMallAgra,Hindi,10:15,Gold,220₹,218,0
Agra,CarnivalTdiMallAgra,Hindi,10:15,Smart,190₹,76,0
Agra,CarnivalTdiMallAgra,Hindi,10:15,Silver,170₹,36,0
Mumbai,CarnivalImaxWadala,Hindi,10:15,PremiumOffline,110₹,38,0
Mumbai,CarnivalImaxWadala,Hindi,10:15,GoldOffline,90₹,60,0
Mumbai,CarnivalImaxWadala,Hindi,10:15,PlatinumOffline,90₹,167,0
Anand,DiyaCinema100FeetRoad,Hindi,10:30,Sofa,150₹,100,0
Anand,DiyaCinema100FeetRoad,Hindi,10:30,Platinum,100₹,100,0
Mumbai,MaxusCinemasKurla,Hindi,10:40,Royal,150₹,100,0
Kanpur,JugulPalaceCinemaKrishnaNagar,Hindi,11:00,Balcony,110₹,20,0
DelhiNcr,CinepolisDlfAvenue,Hindi,11:00,Vip,300₹,5,0
DelhiNcr,CinepolisDlfAvenue,Hindi,11:00,Normal,150₹,42,0
DelhiNcr,CinepolisDlfAvenue,Hindi,11:00,Premium,150₹,34,0
DelhiNcr,CinepolisDlfAvenue,Hindi,11:00,Executive,150₹,56,0
Vapi,EmpressMultiplexVapi,Hindi,11:00,Platinum,200₹,100,0
Vapi,EmpressMultiplexVapi,Hindi,11:00,Gold,170₹,100,0
Vapi,EmpressMultiplexVapi,Hindi,11:00,Silver,150₹,100,0
Lucknow,CinepolisOneAwadhCenterMall,Hindi,11:20,Vip,450₹,10,2
Lucknow,CinepolisOneAwadhCenterMall,Hindi,11:20,Premium,160₹,34,0
Lucknow,CinepolisOneAwadhCenterMall,Hindi,11:20,Executive,150₹,67,1
Lucknow,CinepolisOneAwadhCenterMall,Hindi,11:20,Normal,140₹,25,2
Valsad,CineParkMultiplexValsad,Hindi,11:30,Recliner,200₹,100,0
Valsad,CineParkMultiplexValsad,Hindi,11:30,Gold,110₹,100,0
Valsad,CineParkMultiplexValsad,Hindi,11:30,Executive,100₹,100,0
Valsad,CineParkMultiplexValsad,Hindi,11:30,Special,100₹,100,0
Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,11:30,Recliner,170₹,11,4
Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,11:30,Classic,110₹,48,0
Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,11:30,Prime,110₹,117,26
Gandhinagar,InoxR16Gandhinagar,Hindi,12:00,Platinum,150₹,6,1
Gandhinagar,InoxR16Gandhinagar,Hindi,12:00,Gold,100₹,118,3
Gandhinagar,InoxR16Gandhinagar,Hindi,12:00,Silver,100₹,20,0
Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,12:00,Gold,130₹,125,0
Veraval,FunCinemaAradhanaCineplex,Hindi,12:00,Gold,150₹,100,0
Veraval,FunCinemaAradhanaCineplex,Hindi,12:00,Silver,150₹,100,0
Varanasi,IpCinemasIpSigraMallShastriNagar,Hindi,12:05,Platinum,550₹,12,2
Varanasi,IpCinemasIpSigraMallShastriNagar,Hindi,12:05,Gold,260₹,81,16
Varanasi,IpCinemasIpSigraMallShastriNagar,Hindi,12:05,Silver,210₹,75,2
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,12:05,RoyaleRecliners,250₹,15,0
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,12:05,Club,140₹,39,3
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,12:05,Executive,140₹,26,0
Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,12:05,Royale,140₹,21,4
Bharuch,InoxBlueChipMallBharuch,Hindi,12:15,Gold,160₹,6,4
Bharuch,InoxBlueChipMallBharuch,Hindi,12:15,Executive,140₹,63,0
Bharuch,InoxBlueChipMallBharuch,Hindi,12:15,Silver,140₹,166,4
Goa,ZSquareMultiplexVasco,Hindi,12:20,Golden,125₹,100,0
