State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:20,Recliner,149₹,8,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:20,Classic,99₹,48,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,13:20,Prime,99₹,94,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:15,Club,100₹,72,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:15,Executive,100₹,36,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,14:15,Royal,100₹,40,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,15:30,Prime,190₹,11,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,15:30,Classic,160₹,200,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,19:05,Club,100₹,90,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,19:05,Executive,100₹,30,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,19:05,Royal,100₹,63,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:20,Recliner,149₹,12,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:20,Classic,99₹,80,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:20,Prime,99₹,11,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,19:35,Premier,150₹,34,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,19:35,Silver,150₹,157,10
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,19:50,DressCircle,100₹,140,2
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,19:50,Galleria,100₹,49,0
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,19:50,Royale,100₹,30,1
