State,City,Name,Language,Time,Type,Price,Capacity,Booked
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,09:00,Classic,145₹,78,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Hindi,09:00,Gold,100₹,24,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:00,Normal,100₹,29,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:00,Premium,100₹,42,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:00,Executive,100₹,92,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,09:05,SofaOffline,110₹,18,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,09:05,PlatinumOffline,100₹,48,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,09:05,GoldOffline,90₹,65,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,09:05,SilverOffline,80₹,48,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,09:25,Silver,99₹,192,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,09:25,Gold,99₹,36,0
WestBengal,Asansol,CarnivalSentrumMallAsansol,Hindi,09:25,Premium,99₹,84,0
MadhyaPradesh,Bhopal,CinepolisAashimaMall,Hindi,09:30,Premium,110₹,22,0
MadhyaPradesh,Bhopal,CinepolisAashimaMall,Hindi,09:30,Executive,110₹,96,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:30,RoyalRecliner,200₹,12,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:30,Club,112₹,111,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:30,Executive,112₹,53,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:30,Royal,112₹,51,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:30,RoyalRecliner,200₹,12,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:30,Club,112₹,111,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:30,Executive,112₹,53,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:30,Royal,112₹,51,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Hindi,09:30,Classic,120₹,28,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Hindi,09:30,Prime,120₹,84,0
Maharashtra,Mumbai,CinemaxOdeonGhatkoparE,Hindi,09:30,PrimePlus,120₹,65,17
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Hindi,09:30,Recliner,190₹,34,5
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Hindi,09:30,Prime,110₹,147,18
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Hindi,09:30,Classic,100₹,45,0
Maharashtra,Latur,PvrLatur,Hindi,09:40,ClassicPlus,90₹,183,0
Maharashtra,Latur,PvrLatur,Hindi,09:40,Classic,90₹,42,0
Maharashtra,Latur,PvrLatur,Hindi,09:40,Prime,90₹,82,0
Maharashtra,Mumbai,CarnivalAnnexMallBorivali,Hindi,09:45,Sofa,130₹,133,0
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:55,Platinum,170₹,21,1
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:55,Premium,100₹,32,0
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:55,Executive,100₹,95,0
Maharashtra,Mumbai,CinepolisAndheri,Hindi,09:55,Normal,80₹,32,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:00,Recliner,350₹,8,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:00,PrimePlus,150₹,66,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,10:00,Prime,100₹,65,0
