State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,09:45,Recliner,250₹,8,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,09:45,Classic,100₹,39,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,09:45,Prime,100₹,90,17
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,10:00,Recliner,149₹,12,1
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,10:00,Classic,99₹,24,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,10:00,Prime,99₹,140,16
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:00,Insignia,300₹,33,2
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,10:30,Classic,99₹,84,9
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,10:30,Recliner,149₹,12,0
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,10:30,Classic,99₹,171,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Hindi,10:45,Insignia,300₹,41,2
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,11:00,Classic,99₹,28,0
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,11:00,Prime,99₹,57,2
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,11:00,PrimePlus,99₹,15,6
Jharkhand,Ranchi,PvrNuclessMallRanchi,Hindi,11:00,ClassicPlus,99₹,98,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,12:35,RoyalRecliner,280₹,12,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,12:35,Royal,160₹,54,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,12:35,Club,140₹,102,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,12:35,Executive,112₹,34,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,12:35,Royale,150₹,48,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,12:35,Club,140₹,52,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,12:35,Executive,110₹,26,0
UttarPradesh,Lucknow,InoxGardensGalleriaMallRaebareliRoad,Hindi,12:55,Royal,150₹,38,0
UttarPradesh,Lucknow,InoxGardensGalleriaMallRaebareliRoad,Hindi,12:55,Club,130₹,72,3
UttarPradesh,Lucknow,InoxGardensGalleriaMallRaebareliRoad,Hindi,12:55,Executive,112₹,24,0
UttarPradesh,Lucknow,InoxRiversideMallGomtiNagar,Hindi,12:55,Club,80₹,145,4
UttarPradesh,Lucknow,InoxRiversideMallGomtiNagar,Hindi,12:55,Executive,80₹,38,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,13:00,Recliner,230₹,11,4
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,13:00,Classic,130₹,48,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,13:00,Prime,130₹,117,23
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,13:05,Normal,150₹,17,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,13:05,Premium,150₹,22,2
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,13:05,Executive,150₹,49,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Hindi,13:10,Platinum,160₹,6,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Hindi,13:10,Gold,112₹,118,0
Gujarat,Gandhinagar,InoxR16Gandhinagar,Hindi,13:10,Silver,90₹,20,0
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,14:45,Premium,100₹,76,1
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,14:45,Classic,100₹,171,0
UttarPradesh,Lucknow,PvrSingaporeMallGomtiNagar,Hindi,15:30,Classic,99₹,180,0
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,16:00,Classic,99₹,138,0
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,16:00,Prime,99₹,9,8
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,16:30,Platinum,400₹,28,7
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,16:30,PlatinumSuperior,400₹,16,15
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,16:40,Classic,99₹,94,8
UttarPradesh,Lucknow,InoxGardensGalleriaMallRaebareliRoad,Hindi,18:55,Royal,150₹,38,0
UttarPradesh,Lucknow,InoxGardensGalleriaMallRaebareliRoad,Hindi,18:55,Club,130₹,72,0
UttarPradesh,Lucknow,InoxGardensGalleriaMallRaebareliRoad,Hindi,18:55,Executive,112₹,24,0
Rajasthan,Jaipur,InoxGtCentralMallMalviyaNagar,Hindi,19:05,Kiddles,190₹,34,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,Hindi,19:50,Club,150₹,40,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,Hindi,19:50,Executive,150₹,20,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,Hindi,19:50,Royal,150₹,73,0
Maharashtra,Pune,CinepolisWestendMall,Hindi,21:50,Normal,220₹,25,0
Maharashtra,Pune,CinepolisWestendMall,Hindi,21:50,Premium,220₹,47,0
Maharashtra,Pune,CinepolisWestendMall,Hindi,21:50,Executive,220₹,42,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,22:00,Classic,99₹,81,3
