State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,11:00,Royale,160₹,37,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,11:00,Club,150₹,98,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,11:00,Executive,150₹,24,0
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,11:15,Mhraja,120₹,44,25
Maharashtra,Ambernath,StarMirajCinemasAmbernath,Marathi,12:00,Platinum,150₹,70,0
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,12:10,PrimePlus,240₹,27,0
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,12:10,Prime,200₹,98,14
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,12:10,Classic,180₹,20,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,12:10,ReclinerOffline,250₹,13,2
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,12:10,GoldOffline,140₹,114,1
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,12:10,SilverOffline,130₹,95,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,12:10,SpecialOffline,130₹,18,0
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,12:10,Prime,120₹,98,1
Maharashtra,Mumbai,PvrCityOneMallPimpri,Marathi,12:10,Classic,100₹,26,0
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,12:15,Recliner,280₹,14,0
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,12:15,Prime,150₹,139,3
Maharashtra,Nashik,CinemaxCityCenterNasik,Marathi,12:15,Classic,110₹,34,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,12:30,Royale,280₹,6,3
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,12:30,Club,180₹,157,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,12:30,Executive,180₹,42,0
Maharashtra,Chandrapur,MirajCinemaChandrapur,Marathi,12:30,Gold,190₹,30,0
Maharashtra,Chandrapur,MirajCinemaChandrapur,Marathi,12:30,Executive,170₹,105,0
Maharashtra,Chandrapur,MirajCinemaChandrapur,Marathi,12:30,Special,150₹,70,0
Maharashtra,Sangli,AurumMultiplexSangli,Marathi,13:00,Gl,150₹,108,2
Maharashtra,Sangli,AurumMultiplexSangli,Marathi,13:00,Sl,112₹,24,0
Maharashtra,Mumbai,NyCinemasMulund,Marathi,14:00,Pr,220₹,7,0
Maharashtra,Mumbai,NyCinemasMulund,Marathi,14:00,Cl,180₹,135,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,14:10,Executive,170₹,40,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,14:10,Premier,170₹,160,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Marathi,14:10,Silver,170₹,81,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,14:50,Recliner,550₹,14,2
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,14:50,Prime,180₹,189,27
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,14:50,Classic,150₹,40,0
Maharashtra,Nandurbar,MirajCinemasNandurbar,Marathi,15:30,Gold,270₹,9,0
Maharashtra,Nandurbar,MirajCinemasNandurbar,Marathi,15:30,Executive,150₹,72,0
Maharashtra,Nandurbar,MirajCinemasNandurbar,Marathi,15:30,Special,130₹,24,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,15:30,SofaOffline,200₹,18,3
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,15:30,PlatinumOffline,180₹,48,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,15:30,GoldOffline,160₹,65,7
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,15:30,SilverOffline,140₹,48,2
Maharashtra,Ulhasnagar,MirajCinemasFuncityUlhasnagar,Marathi,16:00,Special,160₹,63,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,16:30,GoldOffline,130₹,46,5
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,16:30,SilverOffline,100₹,24,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,16:30,Recliner,380₹,12,0
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,16:30,Prime,280₹,108,1
Maharashtra,Mumbai,PvrXperiaPalavaDombivaliE,Marathi,16:30,Classic,240₹,36,0
Maharashtra,Mumbai,GoldCinemaDadarE,Marathi,17:45,Balcony,150₹,15,0
Maharashtra,Mumbai,GoldCinemaDadarE,Marathi,17:45,Executive,150₹,52,0
Maharashtra,Mumbai,GoldCinemaDadarE,Marathi,17:45,Gold,150₹,178,25
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,18:45,Premium,270₹,43,20
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,18:45,Executive,250₹,97,4
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,18:45,Normal,230₹,25,0
