State,City,Name,Language,Time,Type,Price,Capacity,Booked
Uttarakhand,Almora,HeritageCinemasAlmora,Hindi,09:00,Platinum,138₹,100,0
Uttarakhand,Almora,HeritageCinemasAlmora,Hindi,09:00,Gold,120₹,100,0
Uttarakhand,Almora,HeritageCinemasAlmora,Hindi,09:00,Silver,94₹,100,0
Gujarat,Ahmedabad,CinemaxShivAshramRoad,Hindi,09:00,Prime,120₹,64,10
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,RoyalRecliner,258₹,12,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,Royal,129₹,54,0
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,Club,106₹,102,3
Gujarat,Surat,InoxVrSuratDumasRoad,Hindi,09:00,Executive,106₹,34,0
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,Classic,110₹,33,0
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,Prime,110₹,122,32
MadhyaPradesh,Ujjain,PvrTreasureBazaarMallUjjain,Hindi,09:00,ClassicPlus,110₹,33,0
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:05,Vip,350₹,10,2
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:05,Normal,160₹,40,0
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:05,Premium,160₹,20,3
WestBengal,Kolkata,CinepolisLakeMall,Hindi,09:05,Executive,160₹,188,13
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:10,Normal,130₹,29,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:10,Premium,130₹,30,17
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:10,Executive,130₹,79,5
UttarPradesh,Kanpur,MirajGurudevPammiCinemasLakhanpur,Hindi,09:10,Balcony,150₹,102,7
UttarPradesh,Kanpur,MirajGurudevPammiCinemasLakhanpur,Hindi,09:10,Family,130₹,66,0
UttarPradesh,Kanpur,MirajGurudevPammiCinemasLakhanpur,Hindi,09:10,FirstClass,110₹,33,0
