State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Jalandhar,CarnivalVivaCollageParagpur,Punjabi,09:00,Platinum,250₹,29,0
Punjab,Jalandhar,CarnivalVivaCollageParagpur,Punjabi,09:00,Silver,150₹,42,0
Punjab,Jalandhar,CarnivalVivaCollageParagpur,Punjabi,09:00,Gold,150₹,126,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:05,Recliner,330₹,6,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:05,Prime,150₹,41,2
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:05,Classic,140₹,150,5
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,09:50,Prime,230₹,10,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,09:50,Classic,170₹,223,6
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,10:15,Prime,210₹,15,6
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,10:15,Classic,170₹,328,4
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,10:15,Prime,230₹,94,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,10:15,Classic,200₹,152,2
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:20,Recliner,200₹,19,11
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:20,Gold,150₹,148,22
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:20,Silver,150₹,38,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:30,Prime,265₹,181,14
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:30,ClassicPlus,200₹,92,7
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:30,Classic,175₹,64,2
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,10:30,Recliner,450₹,26,4
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,10:30,Classic,180₹,174,12
Chandigarh,Chandigarh,PvrDlfCityCenterMallItPark,Punjabi,11:00,Recliner,300₹,12,0
Chandigarh,Chandigarh,PvrDlfCityCenterMallItPark,Punjabi,11:00,Classic,109₹,90,0
Chandigarh,Chandigarh,PvrDlfCityCenterMallItPark,Punjabi,11:00,Prime,109₹,108,31
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Punjabi,11:20,Platinum,500₹,28,13
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Punjabi,11:20,PlatinumSuperior,500₹,16,8
Punjab,Dhuri,MirajCinemasMgmDhuri,Punjabi,11:40,Gold,220₹,11,0
Punjab,Dhuri,MirajCinemasMgmDhuri,Punjabi,11:40,Executive,180₹,176,8
Punjab,Dhuri,MirajCinemasMgmDhuri,Punjabi,11:40,Special,160₹,65,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,11:40,Gold,240₹,29,2
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,11:40,Special,150₹,142,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,11:40,Executive,150₹,150,6
Punjab,Pathankot,MirajCinemasPathankot,Punjabi,11:40,Silver,100₹,94,4
Punjab,Patiala,SrsOmaxeMallPatiala,Punjabi,11:50,Platinum,230₹,194,47
Punjab,Patiala,SrsOmaxeMallPatiala,Punjabi,11:50,Gold,220₹,46,2
Punjab,Firozpur,SilverBirdCinemas,Punjabi,12:15,Box,400₹,10,0
Punjab,Firozpur,SilverBirdCinemas,Punjabi,12:15,Gold,230₹,139,56
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,12:30,Executive,230₹,184,5
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,12:30,Normal,220₹,146,6
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,12:30,Vip,400₹,18,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,12:30,Premium,220₹,57,10
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,12:30,Executive,200₹,201,2
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,12:30,Normal,180₹,42,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,12:40,Normal,160₹,37,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,12:40,Premium,160₹,20,2
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,12:40,Executive,160₹,150,8
Rajasthan,ShriGanganagar,GoldCinemaSriganganagar,Punjabi,12:45,Box,300₹,5,0
Rajasthan,ShriGanganagar,GoldCinemaSriganganagar,Punjabi,12:45,Platinum,170₹,152,1
Rajasthan,ShriGanganagar,GoldCinemaSriganganagar,Punjabi,12:45,Gold,160₹,33,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,12:50,Premium,190₹,174,38
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,12:50,Executive,180₹,120,7
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,12:50,Normal,170₹,80,2
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,12:50,Executive,150₹,142,6
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,12:50,Normal,140₹,118,0
Punjab,Fazilka,MrTowerMultiplexFazilka,Punjabi,13:00,Platinum,200₹,15,9
Punjab,Fazilka,MrTowerMultiplexFazilka,Punjabi,13:00,Gold,150₹,116,0
Punjab,Fazilka,MrTowerMultiplexFazilka,Punjabi,13:00,Silver,150₹,24,0
Chandigarh,Chandigarh,PvrCentraChandigarh,Punjabi,13:00,Prime,175₹,183,51
Chandigarh,Chandigarh,PvrCentraChandigarh,Punjabi,13:00,Classic,129₹,129,4
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,13:05,Recliner,440₹,26,8
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,13:05,Prime,280₹,16,2
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,13:05,Classic,240₹,180,12
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,13:05,PrimePlus,210₹,98,70
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,13:05,Prime,180₹,90,43
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,13:05,Classic,150₹,70,18
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,13:05,Recliner,650₹,27,21
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,13:05,Classic,230₹,172,67
Delhi,DelhiNcr,PvrPrashantVihar,Punjabi,13:10,Prime,330₹,27,8
Delhi,DelhiNcr,PvrPrashantVihar,Punjabi,13:10,Classic,300₹,186,0
Punjab,Jalandhar,CarnivalVivaCollageParagpur,Punjabi,13:10,Recliner,300₹,20,0
Punjab,Jalandhar,CarnivalVivaCollageParagpur,Punjabi,13:10,Silver,150₹,68,0
Punjab,Jalandhar,CarnivalVivaCollageParagpur,Punjabi,13:10,Gold,150₹,168,2
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,13:15,Vip,400₹,12,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,13:15,Premium,240₹,147,2
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,13:15,Executive,220₹,125,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,13:15,Normal,200₹,75,0
Punjab,Amritsar,InoxTriliumMallCircularRoad,Punjabi,13:15,Normal,170₹,253,76
Punjab,Amritsar,PvrSctAmritsar,Punjabi,13:25,Recliner,400₹,30,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,13:25,Prime,200₹,61,4
Punjab,Amritsar,PvrSctAmritsar,Punjabi,13:25,Classic,190₹,79,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,13:30,Prime,195₹,25,4
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,13:30,Classic,160₹,117,14
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,13:30,Prime,450₹,88,30
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,13:30,Classic,430₹,52,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,13:35,Prime,300₹,86,30
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,13:35,Classic,270₹,136,26
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,13:40,Classic,240₹,70,22
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,13:40,Prime,285₹,167,17
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,13:40,ClassicPlus,220₹,92,4
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,13:40,Classic,200₹,64,6
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,14:30,Gold,230₹,90,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,14:30,Silver,200₹,60,0
Punjab,Sangrur,NySangrurSangrur,Punjabi,14:40,Bx,300₹,14,0
Punjab,Sangrur,NySangrurSangrur,Punjabi,14:40,Dm,220₹,102,2
Punjab,Sangrur,NySangrurSangrur,Punjabi,14:40,Gl,180₹,90,2
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,15:10,Gold,250₹,126,46
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,15:10,Silver,250₹,56,0
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,15:10,Normal,250₹,31,0
Punjab,Dasuya,PresidentCinemasAdarshNagar,Punjabi,15:20,Diamond,200₹,36,0
Punjab,Dasuya,PresidentCinemasAdarshNagar,Punjabi,15:20,Economy,150₹,53,16
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,15:30,Platinum,220₹,27,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,15:30,Gold,170₹,121,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,15:40,Vip,300₹,12,11
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,15:40,Executive,230₹,75,56
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,15:40,Normal,220₹,48,35
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,15:45,Vip,400₹,10,8
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,15:45,Premium,220₹,38,3
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,15:45,Executive,200₹,69,15
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,15:45,Normal,180₹,26,0
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,15:50,Recliner,200₹,12,10
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,15:50,Gold,170₹,146,50
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,15:50,Silver,170₹,72,18
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,15:50,Platinum,300₹,14,9
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,15:50,Royal,250₹,8,4
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,15:50,Gold,200₹,16,11
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,15:50,Silver,170₹,33,22
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,15:50,NormalClass,150₹,11,11
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,15:50,Recliner,200₹,19,17
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,15:50,Gold,150₹,148,29
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,15:50,Silver,150₹,38,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,15:50,RoyaleRecliners,470₹,38,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,15:50,Royale,290₹,40,6
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,15:50,Club,220₹,140,14
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,15:50,Executive,200₹,50,0
Haryana,Rohtak,CarnivalCinemasLibertyJopSquareMall,Punjabi,15:50,Platinum,190₹,67,0
Haryana,Rohtak,CarnivalCinemasLibertyJopSquareMall,Punjabi,15:50,Gold,170₹,84,2
Haryana,Rohtak,CarnivalCinemasLibertyJopSquareMall,Punjabi,15:50,Silver,150₹,28,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,15:50,Box1,200₹,8,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,15:50,Box2,200₹,10,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,15:50,Gold,150₹,138,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,15:50,Silver,150₹,26,0
Haryana,Ambala,FunCinemaGalaxyMall,Punjabi,15:55,Executive,200₹,152,19
