State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,09:30,Gold,200₹,10,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,09:30,Executive,110₹,192,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,09:30,Special,110₹,80,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,10:10,Premium,130₹,32,2
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,10:10,Executive,130₹,65,0
Karnataka,Bellary,RrCinemasBellary,Kannada,11:00,Gold,150₹,86,40
Karnataka,Bellary,RrCinemasBellary,Kannada,11:00,Silver,100₹,242,132
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,12:10,Prime,140₹,30,0
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,12:10,Classic,112₹,90,0
Karnataka,Belagavi,CarnivalKapeelNucleusMall,Kannada,12:45,Silver,130₹,51,0
Karnataka,Belagavi,CarnivalKapeelNucleusMall,Kannada,12:45,Gold,130₹,85,0
Karnataka,Belagavi,CarnivalKapeelNucleusMall,Kannada,12:45,Platinum,130₹,140,14
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,13:00,Classic,150₹,95,8
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,13:30,Classic,150₹,107,26
Karnataka,Bellary,RrCinemasBellary,Kannada,14:00,Gold,150₹,86,40
Karnataka,Bellary,RrCinemasBellary,Kannada,14:00,Silver,100₹,242,132
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,15:45,Gold,180₹,79,4
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,15:45,Premier,150₹,180,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,15:55,Club,140₹,209,41
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,16:50,Normal,150₹,26,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,16:50,Premium,150₹,17,5
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,16:50,Executive,150₹,64,2
Karnataka,Bellary,RrCinemasBellary,Kannada,17:00,Gold,150₹,86,40
Karnataka,Bellary,RrCinemasBellary,Kannada,17:00,Silver,100₹,242,132
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,18:40,Recliner,300₹,16,6
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,18:40,Prime,190₹,90,57
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,18:40,Classic,170₹,108,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,18:45,Premium,150₹,29,26
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,18:45,Executive,150₹,65,0
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,18:55,Club,150₹,200,30
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,19:05,Club,160₹,111,7
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,19:05,Executive,150₹,60,0
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Kannada,19:05,Club,160₹,44,32
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Kannada,19:05,Executive,150₹,134,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,19:15,Vip,200₹,12,7
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,19:15,Normal,140₹,30,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,19:15,Premium,140₹,44,5
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,19:15,Executive,140₹,63,0
Karnataka,Bellary,RrCinemasBellary,Kannada,20:00,Gold,150₹,86,40
Karnataka,Bellary,RrCinemasBellary,Kannada,20:00,Silver,100₹,242,132
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,21:30,Recliner,280₹,13,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,21:30,Prime,190₹,37,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,21:30,Classic,170₹,85,2
