State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:20,Box1,200₹,8,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:20,Box2,200₹,10,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:20,Gold,100₹,138,0
Punjab,Fazilka,OhmOrbitNovaCinemaSanjeevChowk,Punjabi,09:20,Silver,100₹,26,0
Punjab,Bathinda,FunPlazaKotkapura,Punjabi,09:30,Royal,120₹,94,83
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,09:35,Classic,160₹,70,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,09:40,Platinum,160₹,100,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,09:40,Gold,110₹,60,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,09:40,Silver,110₹,60,0
Punjab,Patran,OmJeeCinemas,Punjabi,10:00,Gold,200₹,56,0
Punjab,Patran,OmJeeCinemas,Punjabi,10:00,Silver,150₹,80,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,10:10,Normal,110₹,32,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,10:10,Premium,110₹,46,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,10:10,Executive,110₹,89,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,10:10,Normal,110₹,32,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,10:10,Premium,110₹,46,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,10:10,Executive,110₹,89,2
Haryana,Fatehabad,FilmiplexCinemaModelTown,Punjabi,10:30,Gold,200₹,86,16
Haryana,Fatehabad,FilmiplexCinemaModelTown,Punjabi,10:30,Silver,150₹,64,8
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,10:30,Executive,110₹,136,0
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,10:30,Normal,100₹,60,0
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:30,Box,270₹,3,0
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:30,Recliner,270₹,12,6
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:30,Gold,170₹,106,16
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:30,Silver,170₹,26,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,11:00,Recliner,380₹,11,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,11:00,Prime,270₹,11,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,11:00,ClassicPlus,185₹,144,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,11:00,Classic,155₹,90,0
