State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Telugu,09:55,Silver,140₹,67,0
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Telugu,09:55,Premiere,130₹,78,0
Telangana,Hyderabad,PvrInorbitCyberabad,Telugu,10:00,Classic,150₹,161,21
Telangana,Hyderabad,PvrKukatpallyHyderabad,Telugu,10:00,Recliner,350₹,13,0
Telangana,Hyderabad,PvrKukatpallyHyderabad,Telugu,10:00,Classic,150₹,278,13
Telangana,Hyderabad,PvrMusarambaghNewMalakpet,Telugu,10:00,Recliner,350₹,7,4
Telangana,Hyderabad,PvrMusarambaghNewMalakpet,Telugu,10:00,Classic,150₹,168,45
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,10:00,Recliner,350₹,11,0
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,10:00,Classic,150₹,209,19
Telangana,Hyderabad,PvrPanjaguttaHyderabad,Telugu,10:00,Classic,150₹,141,14
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,10:00,Recliner,350₹,11,1
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,Telugu,10:00,Classic,150₹,209,23
AndhraPradesh,Vijayawada,PvrRipplesVijayawada,Telugu,10:20,Recliner,295₹,13,1
AndhraPradesh,Vijayawada,PvrRipplesVijayawada,Telugu,10:20,Classic,177₹,182,20
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,10:20,Royal,350₹,4,0
Telangana,Hyderabad,InoxGsmMallHyderabad,Telugu,10:20,Executive,150₹,137,1
Telangana,Hyderabad,InoxGvkOneBanjaraHills,Telugu,10:25,Royal,350₹,11,0
Telangana,Hyderabad,InoxGvkOneBanjaraHills,Telugu,10:25,Executive,150₹,157,0
Odisha,Rayagada,AshokaTalkiesACDtsRayagada,Telugu,10:30,Balcony,100₹,355,0
Odisha,Rayagada,AshokaTalkiesACDtsRayagada,Telugu,10:30,FirstClass,70₹,222,0
Odisha,Rayagada,AshokaTalkiesACDtsRayagada,Telugu,10:30,SecondClass,40₹,57,0
AndhraPradesh,Cheepurupalli,RmCinemasVamsiVishnuVaibhavTheatersCheepurupalli,Telugu,10:30,Balcony,150₹,252,48
AndhraPradesh,Cheepurupalli,RmCinemasVamsiVishnuVaibhavTheatersCheepurupalli,Telugu,10:30,FirstClass,100₹,67,0
Telangana,Kothagudem,Maheswari70MmKothagudem,Telugu,10:30,Balcony,110₹,180,90
Telangana,Kothagudem,Maheswari70MmKothagudem,Telugu,10:30,ReservedClass,80₹,202,202
AndhraPradesh,Vizianagaram,InoxNcsMallBochuPeta,Telugu,10:35,Exclusive,177₹,240,0
