State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:35,Vip,350₹,12,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:35,Executive,210₹,60,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:35,Normal,200₹,48,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,09:55,Classic,99₹,70,5
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:15,Vip,350₹,12,1
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:15,Normal,100₹,51,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:15,Premium,100₹,106,14
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:15,Executive,100₹,68,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,10:40,Recliner,450₹,13,8
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,10:40,Classic,180₹,138,27
Punjab,Patiala,SrsOmaxeMallPatiala,Punjabi,12:25,Platinum,200₹,194,34
Punjab,Patiala,SrsOmaxeMallPatiala,Punjabi,12:25,Gold,190₹,46,0
Punjab,Amritsar,InoxTriliumMallCircularRoad,Punjabi,13:15,Normal,170₹,163,19
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,15:50,Prime,149₹,40,40
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,15:50,Classic,99₹,27,12
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,15:50,ClassicPlus,99₹,30,27
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,16:00,Classic,99₹,84,78
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,16:30,Recliner,650₹,34,33
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,16:30,Prime,380₹,100,91
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,16:30,PrimePlus,380₹,36,35
Delhi,DelhiNcr,PvrPacificSubhashNagar,Punjabi,16:30,Classic,340₹,40,0
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Punjabi,16:30,Platinum,500₹,28,23
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Punjabi,16:30,PlatinumSuperior,500₹,12,8
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,17:20,Vip,500₹,10,10
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,17:20,Premium,320₹,38,34
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,17:20,Executive,300₹,69,36
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,17:20,Normal,280₹,26,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,18:45,Recliner,149₹,15,13
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,18:45,Prime,99₹,8,7
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,18:45,Classic,99₹,116,84
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,18:50,Recliner,149₹,11,11
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,18:50,Prime,99₹,11,11
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,18:50,Classic,99₹,90,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,18:50,ClassicPlus,99₹,144,71
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,18:55,Prime,99₹,25,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,18:55,Classic,99₹,117,0
Haryana,Gurgaon,PvrMgfMallGurgaon,Punjabi,18:55,Classic,99₹,60,0
Haryana,Gurgaon,PvrMgfMallGurgaon,Punjabi,18:55,Prime,99₹,74,2
Haryana,Gurgaon,PvrMgfMallGurgaon,Punjabi,18:55,Classic,149₹,67,6
Haryana,Gurgaon,PvrMgfMallGurgaon,Punjabi,18:55,Prime,149₹,74,72
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,18:55,Prime,99₹,39,37
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,18:55,Classic,99₹,132,119
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,19:05,Premium,210₹,60,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,19:05,Executive,200₹,39,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,19:05,Normal,190₹,39,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,19:35,Prime,149₹,26,22
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,19:35,Classic,99₹,36,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,19:35,ClassicPlus,99₹,36,13
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,20:00,Business,250₹,8,8
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,20:00,Gold,180₹,58,6
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,20:00,Silver,180₹,28,0
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,20:00,Normal,180₹,28,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,22:00,Normal,150₹,32,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,22:00,Premium,150₹,31,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,22:00,Executive,150₹,39,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,22:05,Classic,99₹,70,17
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,22:10,Executive,150₹,132,0
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,22:10,Normal,140₹,48,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,22:55,Recliner,650₹,13,13
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,22:55,Classic,230₹,153,153
UttarPradesh,Noida,PvrLogixCityCentreNoida,Punjabi,22:55,Classic,285₹,78,4
